Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
age,10%,"Hellinger
 distance(+)",0.6059346759528552,0.09973794610413686,0.7056726220569921,0.06043468005281351,0.7056726220569921
age,10%,"Wasserstein
 distance(+)",0.0017106877810922833,0.0008014698290592558,0.002512157610151539,1.37106464348579e-06,0.002512157610151539
age,10%,"Contingency
 coefficient(-)",0.6864875367524558,0.7004439160810392,1.3869314528334948,0.48084601858371645,1.3869314528334948
age,10%,"Total variation
 distance(+)",0.034390129688949646,0.013890260366346985,0.048280390055296635,0.00047768785541195006,0.048280390055296635
age,10%,"Jensen-Shannon
 divergence(+)",0.018406060810954916,0.009015511764261274,0.027421572575216192,0.00016594005777487245,0.027421572575216192
age,30%,"Hellinger
 distance(+)",1.0145932854604254,0.18100080029560664,1.195594085756032,0.18364219664288586,1.195594085756032
age,30%,"Wasserstein
 distance(+)",0.0051478463395485665,0.0029188077293048646,0.008066654068853431,1.502557368514811e-05,0.008066654068853431
age,30%,"Contingency
 coefficient(-)",0.6493832086346789,0.6854949669500368,1.3348781755847157,0.44514892114093807,1.3348781755847157
age,30%,"Total variation
 distance(+)",0.09392218075139237,0.04109884611580812,0.1350210268672005,0.003860093253562591,0.1350210268672005
age,30%,"Jensen-Shannon
 divergence(+)",0.03107799528939058,0.015815793009323488,0.04689378829871407,0.0004915231406417319,0.04689378829871407
age,50%,"Hellinger
 distance(+)",1.3222378342261165,0.23367724410955876,1.5559150783356752,0.3089768931593505,1.5559150783356752
age,50%,"Wasserstein
 distance(+)",0.00885201945250475,0.004822176056182775,0.013674195508687524,4.268599625273256e-05,0.013674195508687524
age,50%,"Contingency
 coefficient(-)",0.6034984212268127,0.6679180441645387,1.2714164653913516,0.4030874851621997,1.2714164653913516
age,50%,"Total variation
 distance(+)",0.15024948649886843,0.06517612556125302,0.21542561206012145,0.00979267939756404,0.21542561206012145
age,50%,"Jensen-Shannon
 divergence(+)",0.040957358882257384,0.021970953747484544,0.06292831262974193,0.0008998722376212022,0.06292831262974193
age,70%,"Hellinger
 distance(+)",1.5757846952513388,0.27506367575084206,1.8508483710021808,0.43344113046775373,1.8508483710021808
age,70%,"Wasserstein
 distance(+)",0.013571959407180974,0.00801715405640237,0.021589113463583345,0.00010880848941460924,0.021589113463583345
age,70%,"Contingency
 coefficient(-)",0.5547475252918914,0.6485548613579625,1.2033023866498538,0.35978420435435543,1.2033023866498538
age,70%,"Total variation
 distance(+)",0.2003308041450875,0.0959375164887397,0.2962683206338272,0.019219239825871814,0.2962683206338272
age,70%,"Jensen-Shannon
 divergence(+)",0.049271660326035,0.027505762008626332,0.07677742233466134,0.0013552545626977948,0.07677742233466134
capital-gain,10%,"Hellinger
 distance(+)",0.08611480169880852,0.017124658728121137,0.10323946042692965,0.0014746865905319222,0.10323946042692965
capital-gain,10%,"Wasserstein
 distance(+)",0.0003659931854885,3.528661113354547e-05,0.00040127979662204545,1.2914659213860275e-08,0.00040127979662204545
capital-gain,10%,"Contingency
 coefficient(-)",0.7039968879862645,0.7064297559356709,1.4104266439219355,0.49732434975960865,1.4104266439219355
capital-gain,10%,"Total variation
 distance(+)",0.008150657404075733,0.0012709124988791536,0.009421569902954887,1.0358772368921766e-05,0.009421569902954887
capital-gain,10%,"Jensen-Shannon
 divergence(+)",0.007898477354477849,0.0017208681771609883,0.009619345531638837,1.3592238327347642e-05,0.009619345531638837
capital-gain,30%,"Hellinger
 distance(+)",0.1781493895347667,0.02660637446472943,0.20475576399949613,0.004739909368624953,0.20475576399949613
capital-gain,30%,"Wasserstein
 distance(+)",0.0012702829538432175,0.00020194621407106369,0.0014722291679142812,2.565288333276455e-07,0.0014722291679142812
capital-gain,30%,"Contingency
 coefficient(-)",0.6965125638059614,0.7052704158495717,1.401782979655533,0.49122970551988177,1.401782979655533
capital-gain,30%,"Total variation
 distance(+)",0.024870543835576367,0.004475512289313132,0.029346056124889497,0.00011130842457802298,0.029346056124889497
capital-gain,30%,"Jensen-Shannon
 divergence(+)",0.015619287727520434,0.0033462038203064203,0.018965491547826854,5.2265320264294063e-05,0.018965491547826854
capital-gain,50%,"Hellinger
 distance(+)",0.2897118964125995,0.051209493677600124,0.3409213900901996,0.014835999527666555,0.3409213900901996
capital-gain,50%,"Wasserstein
 distance(+)",0.0028041082335639894,0.0006492509173928866,0.003453359150956876,1.8205698431103667e-06,0.003453359150956876
capital-gain,50%,"Contingency
 coefficient(-)",0.6874097358660941,0.7016587724562113,1.3890685083223056,0.48232707144225206,1.3890685083223056
capital-gain,50%,"Total variation
 distance(+)",0.046104068448537094,0.012082237678873228,0.058186306127410325,0.0005570403129582653,0.058186306127410325
capital-gain,50%,"Jensen-Shannon
 divergence(+)",0.02364219670912705,0.006670539479959531,0.03031273618908658,0.0001577062065412013,0.03031273618908658
capital-gain,70%,"Hellinger
 distance(+)",0.32076265476268156,0.06183907202424749,0.38260172678692905,0.0198356649105583,0.38260172678692905
capital-gain,70%,"Wasserstein
 distance(+)",0.0038750593215672014,0.0011537963480568016,0.0050288556696240026,4.471029293727704e-06,0.0050288556696240026
capital-gain,70%,"Contingency
 coefficient(-)",0.679684208451618,0.6970672022560773,1.3767514107076955,0.47378556960300583,1.3767514107076955
capital-gain,70%,"Total variation
 distance(+)",0.058955516386172274,0.020134884248317306,0.07909040063448958,0.001187062498235353,0.07909040063448958
capital-gain,70%,"Jensen-Shannon
 divergence(+)",0.03019153090288853,0.009379863005097916,0.039571393907986446,0.00028319242378327457,0.039571393907986446
capital-loss,10%,"Hellinger
 distance(+)",0.21025552540487283,0.05874443200058917,0.268999957405462,0.0123513414148947,0.268999957405462
capital-loss,10%,"Wasserstein
 distance(+)",0.0032402263140338164,0.0010617061265831577,0.004301932440616974,3.440168129125666e-06,0.004301932440616974
capital-loss,10%,"Contingency
 coefficient(-)",0.687908194791995,0.6984316089538491,1.386339803745844,0.480456827301111,1.386339803745844
capital-loss,10%,"Total variation
 distance(+)",0.047437815356818035,0.01897305668426217,0.0664108720410802,0.000900040359742471,0.0664108720410802
capital-loss,10%,"Jensen-Shannon
 divergence(+)",0.02223320907992937,0.009011725418459484,0.031244934498388853,0.00020035957539952368,0.031244934498388853
capital-loss,30%,"Hellinger
 distance(+)",0.399327023026909,0.12048878034513213,0.5198158033720411,0.04811442596336476,0.5198158033720411
capital-loss,30%,"Wasserstein
 distance(+)",0.009729870914562908,0.0039923379355216925,0.0137222088500846,3.884493275993864e-05,0.0137222088500846
capital-loss,30%,"Contingency
 coefficient(-)",0.6437941273962954,0.6799025607394739,1.3236966881357692,0.4377172758057763,1.3236966881357692
capital-loss,30%,"Total variation
 distance(+)",0.12854501465152635,0.05342152485949671,0.18196653951102304,0.006867070695770883,0.18196653951102304
capital-loss,30%,"Jensen-Shannon
 divergence(+)",0.03990479187018648,0.01626935851250639,0.05617415038269287,0.0006492253653030142,0.05617415038269287
capital-loss,50%,"Hellinger
 distance(+)",0.5501316206001098,0.15080058664251766,0.7009322072426274,0.08296017111709551,0.7009322072426274
capital-loss,50%,"Wasserstein
 distance(+)",0.017174833061087885,0.0070047263967359715,0.02417955945782386,0.00012030500650253597,0.02417955945782386
capital-loss,50%,"Contingency
 coefficient(-)",0.5892040488366586,0.6581200675891651,1.2473241164258235,0.38776700844419143,1.2473241164258235
capital-loss,50%,"Total variation
 distance(+)",0.20115828618064113,0.08280512919388264,0.28396341537452374,0.016656937875608006,0.28396341537452374
capital-loss,50%,"Jensen-Shannon
 divergence(+)",0.05268207831062419,0.020843032160831915,0.0735251104714561,0.0010980542525278055,0.0735251104714561
capital-loss,70%,"Hellinger
 distance(+)",0.6299774787660781,0.17472217440788845,0.8046996531739665,0.11007103491800854,0.8046996531739665
capital-loss,70%,"Wasserstein
 distance(+)",0.026448303855874815,0.010097952280916055,0.03654625613679087,0.00026707371024779194,0.03654625613679087
capital-loss,70%,"Contingency
 coefficient(-)",0.5250874574406205,0.6294364561120708,1.1545239135526912,0.33050918836032195,1.1545239135526912
capital-loss,70%,"Total variation
 distance(+)",0.27048891372113115,0.10921278789058855,0.3797017016117197,0.029540848360981604,0.3797017016117197
capital-loss,70%,"Jensen-Shannon
 divergence(+)",0.0613050947350649,0.02504499475352535,0.08635008948859026,0.001535385776004075,0.08635008948859026
hours-per-week,10%,"Hellinger
 distance(+)",0.4233924388039266,0.09397041363751726,0.5173628524414439,0.03978636260540219,0.5173628524414439
