Swap_ration,Measurement,Feature,age,hours-per-week,sex,capital-gain,race,capital-loss
0.5,Hellinger distance,age,1,3.0532181049639227(0.030238446740347147),2.2701703387652934(0.020391019695268575),4.63782638391176(0.007773811115624252),2.329168636256644(0.040096974244675954),3.8813019617951383(0.03877678517308003)
0.5,Wasserstein distance,age,1,0.00793306688770595(0.00011528235735044998),0.00661287081525495(0.0004128257377561499),0.022397426124446347(0.00035359555237425046),0.00618134058381245(1.8090480381349836e-05),0.0159799358474395(0.0003195136022325004)
0.5,Contingency coefficient,age,1,0.995551632392197(7.511365633583456e-05),0.994716038396064(0.00023928296799641258),0.9958964600919158(0.00014075633123478148),0.9950572525653558(0.00011485375747127824),0.9959489693586934(0.0001249853513040633)
0.5,Total variation distance,age,1,0.2098928878084498(0.0012503854823213978),0.18068466758278484(0.0014768073434338475),0.3680292263647108(0.00046376923585764174),0.1769455976044377(0.0017896007509312917),0.2892153404972325(0.004455721778653859)
0.5,Jensen–Shannon divergence,age,1,0.0650159733320716(0.0006428670137162001),0.04790561284948115(0.0005141518378664507),0.0944678957733599(3.4136556844033272e-06),0.04928237334476735(0.0008966604355560501),0.08091906524043724(0.0006937439354074496)
0.5,Propensity score,age,1,10.733(0.3120000000000003),5.7170000000000005(0.12799999999999967),26.712(0.1789999999999985),6.198499999999999(0.0665),18.738(0.34299999999999997)
0.5,Combined score,age,1,0.0036(0.0002),0.0007(0.0001),0.0969(0.0025),0.0008(0.0),0.0274(0.002)
0.5,Hellinger distance,hours-per-week,3.072671108255327(0.030372108785906127),1,2.688684072037713(0.06371895426427265),4.554883211119449(0.013581893128072675),2.8179327020532043(0.045788088611304456),3.8700990154573676(0.020621585165910394)
0.5,Wasserstein distance,hours-per-week,0.0081235635545588(0.00012845314451680016),1,0.0080372683182398(0.0001665291798557001),0.022824595507975(0.0002770595011060001),0.009191919843256149(0.0004981885813607504),0.01605988034601355(0.00014449669031264996)
0.5,Contingency coefficient,hours-per-week,0.9955747742953089(0.00011127453149101241),1,0.9956820738270907(9.805485104608103e-05),0.9959400020057114(0.00012128066357858236),0.9957461924000202(0.00014994653891220455),0.9959680696062294(0.00012411107757981377)
0.5,Total variation distance,hours-per-week,0.20696805162280005(0.00018427979921414872),1,0.18403592588648432(0.0041962733108093925),0.3586401240287095(0.0004192664536805113),0.17840041491842257(0.001483388507527758),0.2888464472810296(0.001872205845184216)
0.5,Jensen–Shannon divergence,hours-per-week,0.06540872490424104(0.0006559581985087493),1,0.05709506289788005(0.0013727977092810525),0.09241275298214116(0.00017598903507495128),0.05982210471862505(0.0009187547071155475),0.0806523776342539(0.000512423839256898)
0.5,Propensity score,hours-per-week,10.840499999999999(0.3174999999999999),1,8.4145(0.3174999999999999),26.292(0.3020000000000014),10.047(0.3020000000000005),19.035(0.045999999999999375)
0.5,Combined score,hours-per-week,0.0037(0.0002),1,0.0019(0.0002),0.091(0.0027),0.0028(0.0003),0.0277(0.0003)
0.5,Hellinger distance,sex,2.2729306658016153(0.01729383899613235),2.679991932310341(0.062375404837553106),1,4.567176651785618(0.024258327945623215),2.0762582081675065(0.027948509837677937),3.846189342536248(0.11104779563505107)
0.5,Wasserstein distance,sex,0.0065574446879257(0.0004112132814682),0.0080263189799091(6.834452852429954e-05),1,0.0229734995451552(0.0002353591663789012),0.0074441588936559(0.00013960085686489992),0.01651077116716505(0.0012441043385961505)
0.5,Contingency coefficient,sex,0.994690963238265(0.00019697022751163917),0.9956626150622564(0.0001085717757688398),1,0.9959115073618542(0.00013510659765980648),0.99559544549644(0.0001792312160887044),0.9959439762186904(0.00011943389851259978)
0.5,Total variation distance,sex,0.1806532124619314(0.0025852312553115986),0.1847930388839769(0.0013934576159670004),1,0.359840345049805(0.0021458734043497962),0.1657780389490407(9.535079080780218e-05),0.2861187500999144(0.01293236529752309)
0.5,Jensen–Shannon divergence,sex,0.0479812727344168(0.00042502088191869944),0.05692177362659845(0.0013732258413793504),1,0.0925343187062573(0.00043257183971859986),0.0434374122840073(0.0006717429790807986),0.07989887585424045(0.0018685550673362555)
0.5,Propensity score,sex,5.717(0.07699999999999996),8.0815(0.19950000000000045),1,26.656(0.22499999999999964),4.7705(0.4095),18.5945(1.1724999999999994)
0.5,Combined score,sex,0.0007(0.0001),0.0018(0.0001),1,0.0936(0.0032),0.0005(0.0001),0.0277(0.0064)
0.5,Hellinger distance,capital-gain,4.668988832655234(0.004432332653371507),4.533826428408191(0.007466613195608041),4.538034575171416(0.01125019717119935),1,4.580638740266987(0.02205562738495459),4.742875873938614(0.0016026980164980387)
0.5,Wasserstein distance,capital-gain,0.023145343163697853(0.0001367040613140507),0.02206173821368105(0.0003667632556935505),0.0225165353920328(0.0003428446202641995),1,0.02438798237088255(0.00022512504682354988),0.02831857620245535(0.0006457458944312492)
0.5,Contingency coefficient,capital-gain,0.9958968359961664(0.00012440648907319218),0.9959352315506433(0.00011596579019773623),0.9959144466682444(0.00013777449116897378),1,0.9958636481196177(0.00012573381612640544),0.9959668665313608(0.00012123610105796434)
0.5,Total variation distance,capital-gain,0.3714406507594557(0.001299070153438886),0.35590423427121626(0.000598279372068633),0.35711315389199627(0.0016938600520109703),1,0.3617303098983793(0.002186704985604415),0.3777755131233247(6.646339025870307e-05)
0.5,Jensen–Shannon divergence,capital-gain,0.09477959693827825(3.173843249395375e-05),0.09229942826086125(2.0059502103153548e-05),0.09211184937898725(0.000410227146736053),1,0.09211078797609015(0.0006443853070421529),0.09379650095885085(0.0003741692227143545)
0.5,Propensity score,capital-gain,27.234(0.12799999999999834),25.975(0.05599999999999916),26.107999999999997(0.11800000000000033),1,27.2035(0.05650000000000155),28.810499999999998(0.03550000000000075)
0.5,Combined score,capital-gain,0.104(0.0006),0.0857(0.0019),0.0881(0.0001),1,0.1017(0.0007),0.1377(0.0028)
0.5,Hellinger distance,race,2.325199593375166(0.0416875672490673),2.8054660105928235(0.07870673085482283),2.066229379733299(0.018754141367023358),4.564358303197091(0.04269619715165396),1,3.8933731730265353(0.04458112973931749)
0.5,Wasserstein distance,race,0.00611846176845955(9.915213796004999e-05),0.009307721088974149(0.0004319920116049496),0.0074705914955138005(0.0001377186811937002),0.024287233689170698(0.0003362991822987004),1,0.017623458517148652(0.00022884245013255096)
0.5,Contingency coefficient,race,0.995024602306877(0.00013152548103728678),0.995768440992611(0.00012460507683298427),0.9956351007169334(0.00013671173370954914),0.995871463082293(0.00011718502338498027),1,0.9959395966840128(0.00012487771584973606)
0.5,Total variation distance,race,0.17655593904780995(0.0020764446307068585),0.17632401763853456(0.002205385029978746),0.16564179334698448(0.00021785286091420553),0.36029629742049024(0.003588872500239537),1,0.2928414041553087(0.00474232852963119)
0.5,Jensen–Shannon divergence,race,0.04924154836954345(0.0009512504664686491),0.0595358829011881(0.0016318018095375017),0.0432012770163721(0.0004652994544067021),0.0918122868082426(0.0008045189703740976),1,0.08041429851328125(0.001096130004399648)
0.5,Propensity score,race,6.080500000000001(0.010499999999999954),9.9905(0.4505000000000008),4.7035(0.36350000000000016),26.9625(0.2865000000000002),1,19.219(0.270999999999999)
0.5,Combined score,race,0.0008(0.0),0.0028(0.0004),0.0005(0.0),0.0994(0.0052),1,0.0312(0.0013)
0.5,Hellinger distance,capital-loss,3.8590394080222694(0.05427393721140272),3.8831279983666476(0.03192435651028536),3.8503199238059684(0.06732227224243559),4.718616183126379(0.006782988931215428),3.872715863191439(0.05200286797491005),1
0.5,Wasserstein distance,capital-loss,0.0156978890794338(0.0004102030681327005),0.0160030070385154(0.00025516988801639953),0.01626929629284795(0.00076615203358115),0.02724224265973585(0.0005789859262283498),0.01752497279297245(0.00010686501189554991),1
0.5,Contingency coefficient,capital-loss,0.9959383602658257(0.00011021883668993482),0.9959666031960084(0.00012059225268856721),0.9959406260838926(0.00012393896958579065),0.9959689595848923(0.00012052796874773009),0.9959374979318848(0.00012714553782922078),1
0.5,Total variation distance,capital-loss,0.28644144195073973(0.006571118204670046),0.2896791781516021(0.00294766599382279),0.2868298194665062(0.007751591119806361),0.3756504175029562(0.0005961326615750995),0.29054222359386594(0.0056483082223673375),1
0.5,Jensen–Shannon divergence,capital-loss,0.08056365700886295(0.0009929911267961555),0.08096326392703955(0.0008149893899287441),0.08010263022174485(0.0011236768667220523),0.0938378670730757(0.00014405919075279744),0.07999313975107145(0.0012047722654192489),1
0.5,Propensity score,capital-loss,18.3945(0.7164999999999999),18.845(0.1330000000000009),18.445999999999998(0.5939999999999994),28.468(0.13299999999999912),19.075499999999998(0.13849999999999874),1
0.5,Combined score,capital-loss,0.0259(0.003),0.0276(0.0001),0.0268(0.0037),0.1295(0.0036),0.0302(0.0015),1
