ID,ID2,Feature,Feature2,swap_proportion,Acc,Acc_after,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,age,sex,0.1,70.0,70.0,0.23986440854254557,-1,0.7071067811865476,[0.03121693 0.03068783],[0.00773028 0.00878031],[0.04385842 0.04796849],0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_2,age,cp,0.1,70.0,71.667,0.5478420681491434,-1,0.7071067811865476,[0.00803747 0.035049  ],[0.00480571 1.69247472],[0.0354389  0.38878762],0.17111348938666637,0.0026161925980381596,0.6688972286098527,0.06601731601731603,0.008791789280144176,0.046632677276114226,5.0,28.333,0.533,0.55,0.75,0.786,0.344,0.344
F_0,F_3,age,trestbps,0.1,70.0,68.333,0.18891520052431837,-1,0.7071067811865476,[0.00029334 0.03086152],[0.01061085        nan],[0.05083513        nan],0.17111348938666637,0.007848577794114471,0.6704015231539908,0.0964285714285714,0.00841437764867889,0.045619612416508595,5.0,31.667,0.533,0.583,0.75,0.786,0.344,0.406
F_0,F_4,age,chol,0.1,70.0,71.667,0.21146319066764302,-1,0.7071067811865476,[0.00016022 0.01817279],[0.01344693        nan],[0.05690118        nan],0.098792419159368,0.0026161925980381505,0.6951950904663117,0.032866379310344807,0.0028932135753149514,0.026774480407558185,1.667,28.333,0.533,0.517,0.75,0.75,0.344,0.312
F_0,F_5,age,fbs,0.1,70.0,70.0,0.2675421940965039,-1,0.7071067811865476,[0.08950617 0.07098765],[0.01061085 0.00955611],[0.05083513 0.04747134],0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_6,age,restecg,0.1,70.0,70.0,0.509784983497281,-1,0.7071067811865476,[0.025   0.04375],[0.01061085 0.09089506],[0.05083513 0.14421083],0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_7,age,thalach,0.1,70.0,71.667,0.18891520052431837,-1,0.7071067811865476,[0.00022042 0.01546881],[0.01061085        nan],[0.05083513        nan],0.17111348938666637,0.0026161925980381596,0.6688972286098527,0.06601731601731603,0.008791789280144176,0.046632677276114226,5.0,28.333,0.533,0.55,0.75,0.786,0.344,0.344
F_0,F_8,age,exang,0.1,70.0,70.0,0.2756668819594174,-1,0.7071067811865476,[0.06208477 0.06162658],[0.01061085 0.01150263],[0.05083513 0.0524055 ],0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_9,age,oldpeak,0.1,70.0,68.333,0.7355750939733888,-1,0.7071067811865476,[0.0253616 0.0684466],[0.01061085 0.19068204],[0.05083513 0.22464384],0.17111348938666637,0.007848577794114471,0.670903021863079,0.09526209677419359,0.008391125050424032,0.045607322683464006,5.0,31.667,0.533,0.483,0.75,0.679,0.344,0.312
F_0,F_10,age,ca,0.1,70.0,70.0,0.8476116822776794,-1,0.7071067811865476,[0.06837791 0.14225626],[0.01061085 0.42598034],[0.05083513 0.21308231],0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.533,0.533,0.75,0.75,0.344,0.344
F_0,F_11,age,thal,0.1,70.0,68.333,0.16991755968255765,-1,0.7071067811865476,[0.00555868 0.01323519],[0.00773028 0.58096528],[0.04385842 0.12775981],0.098792419159368,0.0026161925980381505,0.6951950904663117,0.032866379310344807,0.0028932135753151084,0.02677448040755697,1.667,31.667,0.533,0.517,0.75,0.714,0.344,0.344
F_1,F_0,sex,age,0.1,70.0,70.0,0.23986440854254557,-1,0.7071067811865476,[0.03068783 0.03121693],[0.00878031 0.00773028],[0.04796849 0.04385842],0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.533,0.533,0.75,0.75,0.344,0.344
F_1,F_2,sex,cp,0.1,70.0,71.667,0.5597956271673608,-1,0.7071067811865476,[0.00687603 0.02745746],[0.00878031 1.69247472],[0.04796849 0.38878762],0.17111348938666637,0.0026161925980381596,0.6688972286098527,0.06601731601731603,0.008791789280144176,0.046632677276114226,5.0,28.333,0.533,0.55,0.75,0.786,0.344,0.344
