ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,worse_case_unfair,epsilon_unfair,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,age,>=38,0.1,73.628,73.057,0.0051394234048419305,0.00010237510237510245,9.356937506095763e-32,3.584902598586607e-67,0.9899144188735253,0.04660468307087855,inf,0.3525371562480193,0.7588473097189476,0.002629340364802577,0.6889156865533107,0.040707479387852255,0.002227534939316913,0.02279692733176265,1.758,26.943,391.66666666667334,52.38095238095263,0.233,0.219,0.455,0.428,0.114,0.108
F_0,age,<=37,0.1,88.824,88.508,0.0051394234048419305,0.00010237510237510245,9.356937506095763e-32,3.584902598586607e-67,0.9899144188735253,0.04660468307087855,inf,0.3525371562480193,0.4524846837395564,0.0008763665113915248,0.6889047762767653,0.026696614788465797,0.0008150381038405062,0.01398562129302263,0.609,11.492,616.1538461538478,26.002616365462544,0.063,0.067,0.328,0.331,0.019,0.023
F_1,race,0,0.1,88.105,87.963,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.011103218867300839,0.5636831798158791,0.0997011356844115,0.018911753268850494,0.0699329844152931,0.15048337057355377,0.00047837284562992326,0.7034580453034118,0.01861588419186156,0.00040380232901248043,0.008839683202142467,0.142,12.037,983.9999999999991,204.99999999999983,0.074,0.075,0.342,0.342,0.03,0.032
F_1,race,1,0.1,80.466,80.167,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.011103218867300839,0.5636831798158791,0.0997011356844115,0.018911753268850494,0.0699329844152931,0.6609537826256058,0.0008410974396085528,0.6943489702289148,0.018300629672825967,0.000972131913160427,0.015182651462793236,0.921,19.833,5849.999999999332,1983.913043478034,0.155,0.155,0.421,0.415,0.064,0.066
F_2,sex,0,0.1,90.37,90.339,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.005672121939446016,0.6161497984834523,0.10152671755726814,0.01843526039617992,0.06826651869354193,0.4363703214027986,0.0010955120706952,0.6843197200147219,0.044793825788958984,0.0011578278867418771,0.016534655065579287,0.59,9.661,400.516129032261,133.505376344087,0.049,0.052,0.293,0.304,0.017,0.019
F_2,sex,1,0.1,77.237,76.901,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.005672121939446016,0.6161497984834523,0.10152671755726814,0.01843526039617992,0.06826651869354193,0.7234749049787241,0.0018953856712952783,0.6921513086468323,0.032475044727253835,0.0014801800780450194,0.018576901041446766,1.252,23.099,400.516129032261,54.215139442231276,0.19,0.181,0.437,0.417,0.084,0.08
F_3,capital-gain,<=3471,0.1,80.6,80.6,0.00016778532063013179,0.00010237510237510296,13.286532996897034,0.036141254801440065,0.9899281046011286,0.536564298540242,inf,0.22657384445514966,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.101,0.101,0.271,0.271,0.057,0.057
F_3,capital-gain,>=3674,0.1,94.915,94.35,0.00016778532063013179,0.00010237510237510296,13.286532996897034,0.036141254801440065,0.9899281046011286,0.536564298540242,inf,0.22657384445514966,0.17127078104321014,0.000872364082854025,0.7008942372464998,0.01741279613014384,0.001003057399529419,0.015807970057812117,0.565,5.65,16.500000000000007,0.0,0.8,0.795,0.978,0.971,0.157,0.157
F_4,capital-loss,<=1876,0.1,81.157,81.11,0.00021921303566789524,0.00010237510237510104,13.65670224057292,0.03810145845168766,0.9873728421244662,0.7253248730428095,inf,0.2286175145820403,0.197584838318736,3.6675597168758565e-05,0.7063571209244953,0.0009972750018135694,8.137371118625005e-05,0.004465012330077964,0.047,18.89,1.0,0.0,0.126,0.126,0.361,0.36,0.059,0.059
F_4,capital-loss,>=1887,0.1,92.43,90.438,0.00021921303566789524,0.00010237510237510104,13.65670224057292,0.03810145845168766,0.9873728421244662,0.7253248730428095,inf,0.2286175145820403,0.2613801725141405,0.00437769279352998,0.6818342249087548,0.06796290556683066,0.0048025064976182745,0.03457457722883385,2.789,9.562,1.0,1.0,0.741,0.713,0.942,0.91,0.129,0.113
