ID,ID2,Feature,Feature2,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,age,sex,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_0,F_2,age,cp,0.1,70.0,71.667,0,0,0.17111348938666637,0.0026161925980381596,0.6691701560804231,0.06559139784946229,0.008785493956083273,0.046625758219303884,5.0,28.333,0.05,1.0,0.5,0.517,0.714,0.75,0.312,0.312
F_0,F_3,age,trestbps,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_0,F_4,age,chol,0.1,70.0,71.667,0,0,0.098792419159368,0.0026161925980381596,0.695221787153807,0.03279569892473118,0.002896444961566907,0.02677318590912646,1.667,28.333,0.016666666666666666,1.0,0.5,0.483,0.714,0.714,0.312,0.281
F_0,F_5,age,fbs,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_0,F_6,age,restecg,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_0,F_7,age,thalach,0.1,70.0,71.667,0,0,0.17111348938666637,0.0026161925980381596,0.6691701560804231,0.06559139784946229,0.008785493956083273,0.046625758219303884,5.0,28.333,0.05,1.0,0.5,0.517,0.714,0.75,0.312,0.312
F_0,F_8,age,exang,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_0,F_9,age,oldpeak,0.1,70.0,66.667,0,0,0.197584838318736,0.0,0.6549305384178419,0.06666666666666667,0.011778097989032814,0.05398361518045377,6.667,33.333,0.06666666666666667,1.0,0.5,0.5,0.714,0.679,0.312,0.344
F_0,F_10,age,ca,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_0,F_11,age,thal,0.1,70.0,68.333,0,0,0.098792419159368,0.0026161925980381596,0.695221787153807,0.03279569892473118,0.0028964449615670644,0.02677318590912302,1.667,31.667,0.016666666666666666,1.0,0.5,0.483,0.714,0.679,0.312,0.312
F_1,F_0,sex,age,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_1,F_2,sex,cp,0.1,70.0,71.667,0,0,0.17111348938666637,0.0026161925980381596,0.6691701560804231,0.06559139784946229,0.008785493956083273,0.046625758219303884,5.0,28.333,0.05,1.0,0.5,0.517,0.714,0.75,0.312,0.312
F_1,F_3,sex,trestbps,0.1,70.0,68.333,0,0,0.098792419159368,0.0026161925980381596,0.695221787153807,0.03279569892473118,0.0028964449615670198,0.026773185909122033,1.667,31.667,0.016666666666666666,1.0,0.5,0.517,0.714,0.714,0.312,0.344
F_1,F_4,sex,chol,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_1,F_5,sex,fbs,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_1,F_6,sex,restecg,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_1,F_7,sex,thalach,0.1,70.0,73.333,0,0,0.13971357903482584,0.0,0.6823182503600111,0.03333333333333333,0.005889048994516329,0.03817218036706338,3.333,26.667,0.03333333333333333,1.0,0.5,0.5,0.714,0.75,0.312,0.281
F_1,F_8,sex,exang,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_1,F_9,sex,oldpeak,0.1,70.0,68.333,0,0,0.098792419159368,0.0026161925980381596,0.695221787153807,0.03279569892473118,0.0028964449615670644,0.026773185909124704,1.667,31.667,0.016666666666666666,1.0,0.5,0.483,0.714,0.679,0.312,0.312
F_1,F_10,sex,ca,0.1,70.0,68.333,0,0,0.098792419159368,0.0026161925980381596,0.695221787153807,0.03279569892473118,0.0028964449615670198,0.026773185909122033,1.667,31.667,0.016666666666666666,1.0,0.5,0.517,0.714,0.714,0.312,0.344
F_1,F_11,sex,thal,0.1,70.0,70.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.5,0.5,0.714,0.714,0.312,0.312
F_2,F_0,cp,age,0.1,70.0,70.0,0,0,0.13971357903482584,0.00523238519607631,0.6831300510639732,0.06458333333333327,0.005696711621064748,0.037552293074943205,3.333,30.0,0.03333333333333333,1.0,0.5,0.533,0.714,0.75,0.312,0.344
