Fold,swap_proportion,Feature,Shap,Importance
0,0.1,age,48.216697193154616,0.25896855209856606
0,0.1,race,7.150876798029911,0.01726863398311025
0,0.1,sex,26.84270499241757,0.07705888322589871
0,0.1,capital-gain,41.269011327800385,0.36659524384900455
0,0.1,capital-loss,16.825113008840955,0.14202321630503983
0,0.1,hours-per-week,26.964194427998734,0.13808547053838055
0,0.3,age,147.76247016455036,0.25896855209856606
0,0.3,race,21.383090985030123,0.01726863398311025
0,0.3,sex,79.31062026519301,0.07705888322589871
0,0.3,capital-gain,108.7368480035569,0.36659524384900455
0,0.3,capital-loss,50.28156311651105,0.14202321630503983
0,0.3,hours-per-week,80.22127243858728,0.13808547053838055
0,0.5,age,244.1802896072182,0.25896855209856606
0,0.5,race,34.06556766817292,0.01726863398311025
0,0.5,sex,134.5784630802182,0.07705888322589871
0,0.5,capital-gain,172.56969199094954,0.36659524384900455
0,0.5,capital-loss,77.84646485994627,0.14202321630503983
0,0.5,hours-per-week,137.5396765392949,0.13808547053838055
0,0.7,age,339.97532708477,0.25896855209856606
0,0.7,race,47.29208507410715,0.01726863398311025
0,0.7,sex,187.11796107030383,0.07705888322589871
0,0.7,capital-gain,236.9612010794758,0.36659524384900455
0,0.7,capital-loss,107.31901422650944,0.14202321630503983
0,0.7,hours-per-week,192.66433061200726,0.13808547053838055
1,0.1,age,45.869251433179656,0.25938418478878356
1,0.1,race,6.971504264835112,0.012807486374774593
1,0.1,sex,24.496954306014256,0.06509693173703911
1,0.1,capital-gain,37.476906502745024,0.36817259139558023
1,0.1,capital-loss,13.835480192111671,0.15664841986926212
1,0.1,hours-per-week,27.178590043554536,0.13789038583456037
1,0.3,age,138.8734457124647,0.25938418478878356
1,0.3,race,19.734195839322698,0.012807486374774593
1,0.3,sex,75.22691986033625,0.06509693173703911
1,0.3,capital-gain,106.70013495457039,0.36817259139558023
1,0.3,capital-loss,41.455462537106975,0.15664841986926212
1,0.3,hours-per-week,81.42740520275214,0.13789038583456037
1,0.5,age,234.84650002786483,0.25938418478878356
1,0.5,race,32.941558628965005,0.012807486374774593
1,0.5,sex,124.22794273657945,0.06509693173703911
1,0.5,capital-gain,166.10401909872965,0.36817259139558023
1,0.5,capital-loss,72.4555987739758,0.15664841986926212
1,0.5,hours-per-week,134.9623748552707,0.13789038583456037
1,0.7,age,330.1243857693404,0.25938418478878356
1,0.7,race,47.75018448580839,0.012807486374774593
1,0.7,sex,175.5287814388931,0.06509693173703911
1,0.7,capital-gain,237.2317795771893,0.36817259139558023
1,0.7,capital-loss,96.57343235736441,0.15664841986926212
1,0.7,hours-per-week,188.8651738290864,0.13789038583456037
2,0.1,age,48.39696463706215,0.25979346901863704
2,0.1,race,6.508983853713268,0.015038063166744801
2,0.1,sex,25.940981104444067,0.07590352300799116
2,0.1,capital-gain,34.7233895774081,0.3674907512556152
2,0.1,capital-loss,13.951925817293112,0.14296642368710497
2,0.1,hours-per-week,26.739771210418677,0.1388077698639069
2,0.3,age,140.5828074579591,0.25979346901863704
2,0.3,race,19.111063819288002,0.015038063166744801
2,0.3,sex,78.53592616236682,0.07590352300799116
2,0.3,capital-gain,99.20606240338391,0.3674907512556152
2,0.3,capital-loss,40.61347036838955,0.14296642368710497
2,0.3,hours-per-week,79.77405396169675,0.1388077698639069
2,0.5,age,232.31083061641328,0.25979346901863704
2,0.5,race,31.002386006981077,0.015038063166744801
2,0.5,sex,133.05649550604988,0.07590352300799116
2,0.5,capital-gain,167.17083664625846,0.3674907512556152
2,0.5,capital-loss,67.8495683020214,0.14296642368710497
2,0.5,hours-per-week,133.19195025217806,0.1388077698639069
2,0.7,age,329.5173478798382,0.25979346901863704
2,0.7,race,43.74240308005775,0.015038063166744801
2,0.7,sex,186.69460183724345,0.07590352300799116
2,0.7,capital-gain,230.7218483037058,0.3674907512556152
2,0.7,capital-loss,93.80472631600307,0.14296642368710497
2,0.7,hours-per-week,184.88162806526967,0.1388077698639069
3,0.1,age,48.8352378393023,0.25873182681633966
3,0.1,race,6.795762629125948,0.015455655852606668
3,0.1,sex,26.29723584146802,0.06456210423477936
3,0.1,capital-gain,31.488901832386013,0.3687274208691518
3,0.1,capital-loss,14.461697307621863,0.1567154700032063
3,0.1,hours-per-week,26.778855919831802,0.13580752222391626
3,0.3,age,143.99094782857568,0.25873182681633966
3,0.3,race,20.366171268028257,0.015455655852606668
3,0.3,sex,75.26777481999171,0.06456210423477936
3,0.3,capital-gain,104.10178227842198,0.3687274208691518
3,0.3,capital-loss,45.97106376368197,0.1567154700032063
3,0.3,hours-per-week,79.6559733436935,0.13580752222391626
3,0.5,age,231.89101399449623,0.25873182681633966
3,0.5,race,33.49420260505904,0.015455655852606668
3,0.5,sex,124.57565031431749,0.06456210423477936
3,0.5,capital-gain,180.68031532888165,0.3687274208691518
3,0.5,capital-loss,76.7519620374491,0.1567154700032063
3,0.5,hours-per-week,132.29991267665034,0.13580752222391626
3,0.7,age,326.34564310849066,0.25873182681633966
3,0.7,race,47.13482399630447,0.015455655852606668
3,0.7,sex,173.7441105444387,0.06456210423477936
3,0.7,capital-gain,249.9678149166922,0.3687274208691518
3,0.7,capital-loss,105.42464186534893,0.1567154700032063
3,0.7,hours-per-week,184.10450818759858,0.13580752222391626
4,0.1,age,47.16012369304698,0.2502985915184138
4,0.1,race,6.212315927907874,0.01550436954369969
4,0.1,sex,25.32403174049896,0.06424997745847447
4,0.1,capital-gain,31.185729832825395,0.3680782301488206
4,0.1,capital-loss,14.770723422189398,0.16021140622628433
