ID,ID2,Feature,Feature2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,age,job,0.1,NII,66.338,65.98,0,0,0.6553147729662834,0.0005621183737951279,0.6738727472388983,0.04777327935222664,0.0069976769462582935,0.04158743920682585,3.939,34.02,0.03939122649955237,1.0,0.663,0.66,0.663,0.66,0,0
F_0,F_2,age,education,0.1,NII,66.338,65.891,0,0,0.6325801335939747,0.0007026479672439054,0.6763091573029233,0.04570329518526797,0.006517790643039802,0.0401398118223423,3.671,34.109,0.03670546105640107,1.0,0.663,0.659,0.663,0.659,0,0
F_0,F_3,age,default,0.1,NII,66.338,66.607,0,0,0.6169584599071888,0.00042158878034635023,0.6777274111271314,0.04203843514069995,0.006210138585289234,0.03915917899654374,3.491,33.393,0.03491495076096687,1.0,0.663,0.666,0.663,0.666,0,0
F_0,F_4,age,balance,0.1,NII,66.338,67.502,0,0,0.6169584599071887,0.00182688471483417,0.6776415614076645,0.05181584739545151,0.006198062760276989,0.03909409111650466,3.491,32.498,0.03491495076096687,1.0,0.663,0.675,0.663,0.675,0,0
F_0,F_5,age,housing,0.1,NII,66.338,65.085,0,0,0.7652427882715496,0.0019674143082829432,0.6611185124533707,0.07240215924426469,0.009508645918169172,0.048495816160074076,5.372,34.915,0.05371530886302596,1.0,0.663,0.651,0.663,0.651,0,0
F_0,F_6,age,loan,0.1,NII,66.338,64.727,0,0,0.7124022658124648,0.002529532682078071,0.6679563306832268,0.06803297779787237,0.008212860423485352,0.045086216593275344,4.655,35.273,0.046553267681289166,1.0,0.663,0.647,0.663,0.647,0,0
F_0,F_7,age,duration,0.1,NII,66.338,64.369,0,0,0.7392947698098334,0.003091651055873199,0.6649029712911849,0.07531076434805674,0.008822793580153313,0.04673634238189363,5.013,35.631,0.050134288272157566,1.0,0.663,0.644,0.663,0.644,0,0
F_0,F_8,age,campaign,0.1,NII,66.338,64.548,0,0,0.6553147729662834,0.002810591868975635,0.6745159166736925,0.0619964830491148,0.006926534048774071,0.04142008322272244,3.939,35.452,0.03939122649955237,1.0,0.663,0.645,0.663,0.645,0,0
F_1,F_3,job,default,0.1,NII,66.338,66.07,0,0,0.3562011329062324,0.00042158878034634156,0.6977362863868678,0.01595220037103117,0.002064969023270971,0.022602192069336578,1.164,33.93,0.011638316920322292,1.0,0.663,0.661,0.663,0.661,0,0
F_1,F_4,job,balance,0.1,NII,66.338,65.712,0,0,0.6772867028946695,0.0009837071541414695,0.6715416086495074,0.05346666525723845,0.0074673981205874585,0.04296738027089434,4.208,34.288,0.04207699194270367,1.0,0.663,0.657,0.663,0.657,0,0
