ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,age,0.1,71.667,71.667,0.009090909090909092,0.1,0.24199101739560827,0.0,0.622966893767072,0.11538461538461539,0.017108456286292012,0.06506235751041317,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.333,0.517,0.517,0.75,0.75,0.312,0.312
F_1,sex,0.1,71.667,71.667,0.009090909090909092,0.1,0.24199101739560827,0.01569715558822893,0.6211173818453778,0.13636363636363621,0.0161634174837407,0.06552785058758864,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.333,0.517,0.517,0.75,0.75,0.312,0.312
F_2,cp,0.1,71.667,73.333,0.00010354764996895672,0.016949152542372888,0.5315048773823062,0.0017952378762474388,0.8287537172710042,0.040988884844751786,1.6924747154376365,0.38878762317416465,0.17111348938666637,0.0026161925980381505,0.6690796138964814,0.06573275862068964,0.008788061811194646,0.046628064128008725,5.0,26.667,0.517,0.533,0.75,0.786,0.312,0.312
F_3,trestbps,0.1,71.667,68.333,0.0013162799875284258,0.01694915254237288,0.0,0.0,0.9651460248662211,0.018486717780472266,nan,nan,0.13971357903482584,0.00523238519607631,0.6830484491941171,0.06478578892371992,0.005701004549047516,0.03755492113626754,3.333,31.667,0.517,0.55,0.75,0.75,0.312,0.375
F_4,chol,0.1,71.667,71.667,0.006944784011196724,0.01694915254237288,0.0,0.0,0.9899494936611666,0.020741786563807367,nan,nan,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.333,0.517,0.517,0.75,0.75,0.312,0.312
F_5,fbs,0.1,71.667,71.667,0.009090909090909092,0.1,0.24199101739560827,0.010464770392152625,0.5761512019156774,0.35714285714285715,0.015448289933398227,0.060570547370255905,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.333,0.517,0.517,0.75,0.75,0.312,0.312
F_6,restecg,0.1,71.667,71.667,0.009090909090909092,0.15,0.5406604604816632,0.015148176465101838,0.6597871756926396,0.12773998488284197,0.08640401604460855,0.16069146229855022,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.333,0.517,0.517,0.75,0.75,0.312,0.312
F_7,thalach,0.1,71.667,75.0,0.004735115455402598,0.01694915254237288,0.0,0.0,0.9864858652895678,0.017413490732788008,nan,nan,0.13971357903482584,0.0,0.6822892753376539,0.03337041156840934,0.005889441526783366,0.03817313448177378,3.333,25.0,0.517,0.517,0.75,0.786,0.312,0.281
F_8,exang,0.1,71.667,71.667,0.009090909090909092,0.1,0.24199101739560827,0.00523238519607631,0.6137868106173305,0.19047619047619047,0.01649620411064255,0.06325643715031908,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.333,0.517,0.517,0.75,0.75,0.312,0.312
F_9,oldpeak,0.1,71.667,70.0,0.0056436155048284285,0.01694915254237288,0.8160691133247262,0.012622167801179664,0.9756992498014437,0.1057852837284501,0.38484031751269354,0.2552182174252233,0.098792419159368,0.0026161925980381505,0.6951950904663117,0.032866379310344807,0.002898620284411009,0.026774480407556988,1.667,30.0,0.517,0.533,0.75,0.75,0.312,0.344
F_10,ca,0.1,71.667,70.0,0.008884661624173012,0.016949152542372874,0.8262908755059892,0.03256668739949816,0.8159740169816598,0.2693877551020407,0.4259803377277381,0.21308230937185724,0.098792419159368,0.0026161925980381505,0.6951950904663117,0.032866379310344807,0.002898620284411009,0.026774480407556988,1.667,30.0,0.517,0.533,0.75,0.75,0.312,0.344
F_11,thal,0.1,71.667,71.667,0.009090909090909092,0.13333333333333333,0.04701863585354915,7.386434227165909e-05,0.7307951180492325,0.0136986301369863,0.580965278297994,0.1277598117607598,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.333,0.517,0.517,0.75,0.75,0.312,0.312
F_0,age,0.3,71.667,68.333,0.02727272727272727,0.3,0.41914073710447747,0.0,0.362649746980485,0.34615384615384603,0.051325368858876036,0.11269130886824615,0.13971357903482584,0.0,0.6822892753376539,0.03337041156840934,0.005889441526783636,0.0381731344817717,3.333,31.667,0.517,0.517,0.75,0.714,0.312,0.344
F_1,sex,0.3,71.667,70.0,0.02727272727272727,0.3,0.41914073710447747,0.02616192598038155,0.3595803029496207,0.3181818181818184,0.05130570878692776,0.1131630770148363,0.098792419159368,0.0026161925980381596,0.695221787153807,0.03279569892473118,0.00289464294030313,0.0267731859091262,1.667,30.0,0.517,0.5,0.75,0.714,0.312,0.312
F_2,cp,0.3,71.667,71.667,0.0002735234129106432,0.016949152542372885,0.8157926539036613,0.009569933140281844,0.740601733624048,0.10411557892870857,2.404895774774552,0.55266265264027,0.24199101739560827,0.005232385196076319,0.6256469902827563,0.12903225806451607,0.017472009862791307,0.06576118832200528,10.0,28.333,0.517,0.483,0.75,0.714,0.312,0.281
F_3,trestbps,0.3,71.667,71.667,0.004936286477333779,0.01694915254237288,0.0,0.0,0.9580619207902301,0.053467312844382976,nan,nan,0.13971357903482584,0.00523238519607631,0.6830484491941171,0.06478578892371992,0.005701004549047517,0.037554921136267544,3.333,28.333,0.517,0.55,0.75,0.786,0.312,0.344
