ID,ID2,Feature,Feature2,Category1,Category2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_0,age,age,>=0.4935064935064935,>=0.4935064935064935,0.1,CDI,63.107,63.107,0.008298281801706353,0.0008960573476702511,0.13971357903482584,0.0,0.6918926655933282,0.020850202429149797,0.0034447127186509356,0.029179428160707677,1.942,36.893,0.019417475728155338,1.0,0.631,0.631,0.631,0.631,0,0
F_0,F_0,age,age,<=0.4805194805194805,<=0.4805194805194805,0.1,CDI,67.347,67.143,0.008298281801706353,0.0008960573476702511,0.44181312980399895,0.0003203501140454923,0.6901492174706023,0.025414078674948194,0.003628464723203913,0.029945583205447126,2.041,32.857,0.02040816326530612,1.0,0.673,0.671,0.673,0.671,0,0
F_0,F_1,age,job,>=0.4935064935064935,job,0.1,NDI,63.107,96.117,0,0,0.197584838318736,0.0030479913763551314,0.6756548036749728,0.06186174391201883,0.006841624447912241,0.04108010427899182,3.883,3.883,0.038834951456310676,1.0,0.631,0.65,0.631,0.65,0,0
F_0,F_1,age,job,>=0.4935064935064935,job,0.1,NII,65,100.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,3.883,0.0,0.0,0.0,0.631,0,0.631,0.65,0,0
F_0,F_1,age,job,<=0.4805194805194805,job,0.1,NDI,67.764,97.206,0,0,0.522760345028281,0.0003133164788069599,0.6836506402343778,0.03380274102970406,0.004968897917700241,0.03504006314943073,2.994,2.794,0.027944111776447105,1.0,0.678,0.67,0.678,0.67,0,0
F_0,F_1,age,job,<=0.4805194805194805,job,0.1,NII,687,99.112,0,0,0.296377257478104,0.0004644128872257105,0.6998980389473012,0.013354050860069074,0.0015741363059292653,0.01974005868539192,3.353,0.888,0.008875739644970414,1.0,0.678,0,0.678,0.67,0,0
F_0,F_2,age,education,>=0.4935064935064935,education,0.1,NDI,63.107,97.087,0,0,0.17111348938666637,0.0015239956881775657,0.6838679847106335,0.041467304625199396,0.0051597178706462715,0.035685143382975786,2.913,2.913,0.02912621359223301,1.0,0.631,0.641,0.631,0.641,0,0
F_0,F_2,age,education,>=0.4935064935064935,education,0.1,NII,65,99.029,0,0,0.098792419159368,0.0015239956881775657,0.699565850360587,0.02097620008067766,0.0016975064840573494,0.02054240954103373,2.913,0.971,0.009708737864077669,1.0,0.631,0,0.631,0.641,0,0
F_0,F_2,age,education,<=0.4805194805194805,education,0.1,NDI,67.416,98.264,0,0,0.4073315792043682,0.0004810160037250974,0.6926829459721525,0.02321545932093607,0.0030855423265834644,0.027620828510534483,2.043,1.736,0.017364657814096015,1.0,0.674,0.674,0.674,0.674,0,0
F_0,F_2,age,education,<=0.4805194805194805,education,0.1,NII,687,99.211,0,0,0.2794271580696517,0.00030960859148380265,0.700730704948633,0.011100282751296913,0.0014050256880820964,0.018614191371684033,2.959,0.789,0.007889546351084813,1.0,0.678,0,0.678,0.67,0,0
