ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,sex,0.0,0.1,66.99,67.961,0.004567203131796434,0.10047846889952153,0.45272373888560946,0.000751060075991819,0.624223633013537,0.10280373831775688,0.017880708620398957,0.06642268847563075,0.098792419159368,0.0015239956881775657,0.6995658503605869,0.020976200080677673,0.0016975064840573464,0.020542409541031294,0.971,32.039,0.35,0.359,0.523,0.545,0.22,0.22
F_0,sex,1.0,0.1,75.472,75.472,0.004567203131796434,0.10047846889952153,0.45272373888560946,0.000751060075991819,0.624223633013537,0.10280373831775688,0.017880708620398957,0.06642268847563075,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,24.528,0.5,0.5,0.865,0.865,0.304,0.304
F_1,age,>=0.4285714285714284,0.1,55.556,55.556,0.0013278404530730472,0.004807692307692305,0.30554819719866466,0.010201762059861175,0.8714047953959153,0.3225108225108221,0.006504981579567056,0.03912697715779719,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,44.444,0.444,0.444,0,0,0.444,0.444
F_1,age,<=0.2857142857142856,0.1,72.0,71.5,0.0013278404530730472,0.004807692307692305,0.30554819719866466,0.010201762059861175,0.8714047953959153,0.3225108225108221,0.006504981579567056,0.03912697715779719,0.098792419159368,0.0007848577794114474,0.7034749812042557,0.010192697768762683,0.0008829026508178618,0.01475605010162578,0.5,28.5,0.425,0.42,0.679,0.667,0.252,0.252
F_2,Pstatus,0.0,0.1,77.778,81.481,0.004567203131796434,0.10047846889952153,0.45272373888560946,0.011265901139877231,0.5515589136389734,0.09890109890109906,0.019111623767657286,0.07031313990933728,0.098792419159368,0.005813761328973683,0.6790398374650439,0.07486631016042782,0.006342230155972777,0.039550144281451836,3.704,18.519,0.407,0.37,0.727,0.727,0.188,0.125
F_2,Pstatus,1.0,0.1,70.33,70.33,0.004567203131796434,0.10047846889952153,0.45272373888560946,0.011265901139877231,0.5515589136389734,0.09890109890109906,0.019111623767657286,0.07031313990933728,0.197584838318736,0.0,0.6906962162057856,0.022435897435897436,0.00388764865494118,0.03100997386171928,2.198,29.67,0.429,0.429,0.671,0.671,0.277,0.277
F_3,Medu,1.0,0.1,74.667,78.667,0.0031909564940896013,0.004807692307692306,0.2991154638454061,0.0013366311584974784,0.876779971811682,0.0322836660057794,0.008082411225916358,0.044907173134161066,0.22090656490199947,0.006278862235291575,0.6499007116649659,0.11328976034858382,0.011535717881866615,0.053471851423564074,6.667,21.333,0.68,0.64,0.864,0.864,0.419,0.323
F_3,Medu,<=0.75,0.1,69.403,68.657,0.0031909564940896013,0.004807692307692306,0.2991154638454061,0.0013366311584974784,0.876779971811682,0.0322836660057794,0.008082411225916358,0.044907173134161066,0.22090656490199947,0.003514288564528863,0.673699065712844,0.06961382113821139,0.00654242277889326,0.040272694260407665,3.731,31.343,0.284,0.306,0.459,0.486,0.216,0.237
F_4,Fjob,>=0.75,0.1,82.895,82.895,0.0028887041223599748,0.004807692307692308,0.2505588972342633,0.0030716556791529057,0.8630121248420048,0.03711340206185566,0.005231713946485673,0.03607584803731827,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,17.105,0.447,0.447,0.839,0.839,0.178,0.178
F_4,Fjob,<=0.5,0.1,64.662,64.662,0.0028887041223599748,0.004807692307692308,0.2505588972342633,0.0030716556791529057,0.8630121248420048,0.03711340206185566,0.005231713946485673,0.03607584803731827,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,35.338,0.414,0.414,0.58,0.58,0.313,0.313
F_5,reason,<=0.3333333333333333,0.1,72.34,72.34,0.003470259377930874,0.004807692307692309,0.3260025544162314,0.006076069901842174,0.8239114814360639,0.11573281135307063,0.00855680346917851,0.045422757693058785,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,27.66,0.39,0.39,0.654,0.654,0.236,0.236
F_5,reason,>=0.6666666666666666,0.1,69.118,69.118,0.003470259377930874,0.004807692307692309,0.3260025544162314,0.006076069901842174,0.8239114814360639,0.11573281135307063,0.00855680346917851,0.045422757693058785,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.882,0.5,0.5,0.724,0.724,0.333,0.333
F_6,guardian,0.5,0.1,68.456,69.128,0.004567203131796434,0.050239234449760764,0.22513047076414652,0.00517923538854132,0.7273733885688389,0.07261503928170597,0.0040325476382343925,0.031153970685412872,0.098792419159368,0.0010535003750489203,0.7023140900976544,0.013419216317767064,0.0011763468805044233,0.017074962915733228,0.671,30.872,0.456,0.463,0.667,0.683,0.302,0.302
F_6,guardian,0.0,0.1,78.846,78.846,0.004567203131796434,0.050239234449760764,0.22513047076414652,0.00517923538854132,0.7273733885688389,0.07261503928170597,0.0040325476382343925,0.031153970685412872,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,21.154,0.365,0.365,0.75,0.75,0.194,0.194
F_6,guardian,1.0,0.1,75.0,75.0,0.004567203131796434,0.050239234449760764,0.22513047076414652,0.00517923538854132,0.7273733885688389,0.07261503928170597,0.0040325476382343925,0.031153970685412872,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,25.0,0.25,0.25,0.5,0.5,0.167,0.167
F_7,traveltime,<=0.3333333333333333,0.1,71.958,70.899,0.0033658405976730813,0.004807692307692306,0.34621545357402533,0.00922537232322086,0.7964170530242116,0.32946967291203577,0.008750444063470234,0.04546615418451417,0.197584838318736,0.0033221493308421023,0.6916682268361221,0.042278203723986885,0.003673875207271823,0.030116241803939806,2.116,29.101,0.439,0.418,0.703,0.662,0.27,0.261
F_7,traveltime,>=0.6666666666666667,0.1,65.0,65.0,0.0033658405976730813,0.004807692307692306,0.34621545357402533,0.00922537232322086,0.7964170530242116,0.32946967291203577,0.008750444063470234,0.04546615418451417,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,35.0,0.3,0.3,0.429,0.429,0.231,0.231
F_8,studytime,<=0.3333333333333333,0.1,74.85,74.251,0.004061347596902431,0.004807692307692308,0.27125694472616574,0.008109986715368752,0.8252668599436825,0.13413419913419936,0.005537606592290619,0.03614980329569657,0.2613801725141405,0.0009399494364208973,0.6730379680414019,0.05112598904443098,0.007425681321521658,0.042854577208137484,4.192,25.749,0.365,0.371,0.661,0.661,0.204,0.213
