Fold,swap_proportion,Feature,Shap,Importance
0,0.1,age,0.0049810765368022095,0.02292584123757903
0,0.1,sex,0.033316512235281724,0.04005516840882693
0,0.1,cp,0.3326234017294414,0.1459847985602081
0,0.1,trestbps,0.1045419363887788,0.09812572115072624
0,0.1,chol,0.10619136139584276,0.10892536196781728
0,0.1,fbs,0.00803908225017477,0.00526412010151848
0,0.1,restecg,0.0,0.0
0,0.1,thalach,0.06866204757885833,0.10087737968073927
0,0.1,exang,0.01969823963297951,0.003584905947710727
0,0.1,oldpeak,0.49447935819394107,0.0963691360335736
0,0.1,ca,0.3088160636538683,0.09055992705886166
0,0.1,thal,0.4608601907542122,0.28732763985243875
0,0.3,age,0.08570296440149384,0.02292584123757903
0,0.3,sex,0.10979996681900864,0.04005516840882693
0,0.3,cp,0.9200036232278697,0.1459847985602081
0,0.3,trestbps,0.23965158422624172,0.09812572115072624
0,0.3,chol,0.6931731155934354,0.10892536196781728
0,0.3,fbs,0.030622593021323332,0.00526412010151848
0,0.3,restecg,0.0,0.0
0,0.3,thalach,0.38695920646193555,0.10087737968073927
0,0.3,exang,0.11967929995027544,0.003584905947710727
0,0.3,oldpeak,0.8637797369707347,0.0963691360335736
0,0.3,ca,0.9119035881634037,0.09055992705886166
0,0.3,thal,1.8999593260640255,0.28732763985243875
0,0.5,age,0.16657341442514115,0.02292584123757903
0,0.5,sex,0.18059196434328545,0.04005516840882693
0,0.5,cp,2.0501582382763113,0.1459847985602081
0,0.5,trestbps,0.5283647621982208,0.09812572115072624
0,0.5,chol,0.8691286499539106,0.10892536196781728
0,0.5,fbs,0.06053268679097844,0.00526412010151848
0,0.5,restecg,0.0,0.0
0,0.5,thalach,0.7776114525476133,0.10087737968073927
0,0.5,exang,0.14064459160033882,0.003584905947710727
0,0.5,oldpeak,1.1266755825574286,0.0963691360335736
0,0.5,ca,1.4782418703046487,0.09055992705886166
0,0.5,thal,2.9802426512713023,0.28732763985243875
0,0.7,age,0.17647021653662187,0.02292584123757903
0,0.7,sex,0.2677057379209419,0.04005516840882693
0,0.7,cp,2.7759725017543997,0.1459847985602081
0,0.7,trestbps,0.862115101331155,0.09812572115072624
0,0.7,chol,0.9441454583725749,0.10892536196781728
0,0.7,fbs,0.11229442934143839,0.00526412010151848
0,0.7,restecg,0.0,0.0
0,0.7,thalach,0.9957819547527181,0.10087737968073927
0,0.7,exang,0.27426652728513784,0.003584905947710727
0,0.7,oldpeak,1.934860494351321,0.0963691360335736
0,0.7,ca,2.0528763181735603,0.09055992705886166
0,0.7,thal,3.821985264386564,0.28732763985243875
1,0.1,age,0.008584588528408755,0.03362778820095893
1,0.1,sex,0.030078281334934204,0.015471223791185297
1,0.1,cp,0.5541118743458764,0.15311035588437166
1,0.1,trestbps,0.11535693532952034,0.1158991964148901
1,0.1,chol,0.05688542257861058,0.10892259738131926
1,0.1,fbs,0.0,0.0
1,0.1,restecg,0.04350724475525694,0.006175623633903485
1,0.1,thalach,0.1476898855527423,0.1368069143841462
1,0.1,exang,0.0835243295460077,0.011173661626967134
1,0.1,oldpeak,0.37244099012800264,0.067701511290901
1,0.1,ca,0.17928283165787304,0.08702040324083607
1,0.1,thal,0.7452247458681255,0.26409072415052093
1,0.3,age,0.12597167811599858,0.03362778820095893
1,0.3,sex,0.13748805045481788,0.015471223791185297
1,0.3,cp,1.4067955815268665,0.15311035588437166
1,0.3,trestbps,0.3620018689952905,0.1158991964148901
1,0.3,chol,0.23952987853095073,0.10892259738131926
1,0.3,fbs,0.0,0.0
1,0.3,restecg,0.11876004186919815,0.006175623633903485
1,0.3,thalach,0.490361125437584,0.1368069143841462
1,0.3,exang,0.17656338071961683,0.011173661626967134
1,0.3,oldpeak,0.8556288437862678,0.067701511290901
1,0.3,ca,0.5388687604552118,0.08702040324083607
1,0.3,thal,1.894240110915443,0.26409072415052093
1,0.5,age,0.14791528313541488,0.03362778820095893
1,0.5,sex,0.176817498235343,0.015471223791185297
1,0.5,cp,2.3916889947310103,0.15311035588437166
1,0.5,trestbps,0.5525312803025035,0.1158991964148901
1,0.5,chol,0.4483654267143301,0.10892259738131926
1,0.5,fbs,0.0,0.0
1,0.5,restecg,0.19299139628385734,0.006175623633903485
1,0.5,thalach,1.0675006342438513,0.1368069143841462
1,0.5,exang,0.23351755670234417,0.011173661626967134
1,0.5,oldpeak,1.0609460690671697,0.067701511290901
1,0.5,ca,0.8847096658038256,0.08702040324083607
1,0.5,thal,3.2106005146579686,0.26409072415052093
1,0.7,age,0.30364349821781395,0.03362778820095893
1,0.7,sex,0.2723597265564411,0.015471223791185297
1,0.7,cp,3.5207613412482694,0.15311035588437166
1,0.7,trestbps,0.8115975039533456,0.1158991964148901
1,0.7,chol,0.7268479863850248,0.10892259738131926
1,0.7,fbs,0.0,0.0
1,0.7,restecg,0.2338571979163924,0.006175623633903485
1,0.7,thalach,1.7047744057752432,0.1368069143841462
1,0.7,exang,0.2673029206087861,0.011173661626967134
1,0.7,oldpeak,1.666873365017179,0.067701511290901
1,0.7,ca,1.702255424501176,0.08702040324083607
1,0.7,thal,4.4758092752739795,0.26409072415052093
2,0.1,age,0.0,0.0
2,0.1,sex,0.02669727458557121,0.015471223791185295
2,0.1,cp,0.2160138388296759,0.1014002574451333
