ID,ID2,Feature,Feature2,Category1,Category2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_11,age,thal,1.0,7.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0,0,0,0,0,0
F_1,F_1,sex,sex,0.0,0.0,0.5,CDI,50.0,50.0,0.04545454545454544,0.5,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
F_1,F_1,sex,sex,1.0,1.0,0.5,CDI,79.167,79.167,0.04545454545454544,0.5,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.833,0.0,0.0,0.542,0.542,0.833,0.833,0.25,0.25
F_1,F_0,sex,age,1.0,0.0,0.5,NDI,60.0,60.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.8,0.8,0.833,0.833,0.75,0.75
F_1,F_0,sex,age,1.0,0.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0,0,0,0,0,0
F_1,F_0,sex,age,1.0,1.0,0.5,NDI,92.857,92.857,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,7.143,0.0,0.0,0.357,0.357,0.833,0.833,0.0,0.0
F_1,F_0,sex,age,1.0,1.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
F_1,F_2,sex,cp,0.0,<=2.0,0.5,NDI,33.333,100.0,0,0,0.13971357903482584,0.10464770392152623,0.0,0.5833333333333334,0.03924911882130254,0.10048460920792893,66.667,0.0,0.6666666666666666,1.0,0.667,0.0,0,0,0.667,0.0
F_1,F_2,sex,cp,0.0,<=2.0,0.5,NII,0,0,0,0,0.098792419159368,0.05232385196076311,0.0,0.4166666666666667,0.03979838739579626,0.09950562917154632,33.333,33.333,0.3333333333333333,1.0,0,0,0,0,0,0
F_1,F_2,sex,cp,0.0,>=3.0,0.5,NDI,66.667,66.667,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.333,0.333,0.5,0.5,0.0,0.0
F_1,F_2,sex,cp,0.0,>=3.0,0.5,NII,0,0,0,0,0.13971357903482584,0.01494967198878946,0.6353500804836986,0.17692307692307693,0.01522245188540658,0.06150951826803176,4.762,4.762,0.09523809523809523,1.0,0,0,0,0,0,0
F_1,F_2,sex,cp,1.0,<=2.0,0.5,NDI,100.0,66.667,0,0,0.098792419159368,0.05232385196076311,0.0,0.4166666666666667,0.03979838739579626,0.09950562917154632,33.333,33.333,0.3333333333333333,1.0,0.0,0.333,0,0,0.0,0.333
F_1,F_2,sex,cp,1.0,<=2.0,0.5,NII,0,0,0,0,0.13971357903482584,0.10464770392152623,0.0,0.5833333333333334,0.03924911882130254,0.10048460920792893,33.333,0.0,0.6666666666666666,1.0,0,0,0,0,0,0
F_1,F_2,sex,cp,1.0,>=3.0,0.5,NDI,76.19,66.667,0,0,0.13971357903482584,0.01494967198878946,0.6353500804836986,0.17692307692307693,0.01522245188540658,0.06150951826803176,9.524,33.333,0.09523809523809523,1.0,0.619,0.524,0.833,0.667,0.333,0.333
F_1,F_2,sex,cp,1.0,>=3.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0,0,0,0,0,0
F_1,F_3,sex,trestbps,0.0,>=135.0,0.5,NDI,50.0,50.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.75,0.75,1.0,1.0,0.667,0.667
