ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_8,exang,1.0,0.1,64.286,64.286,0.009244992295839752,0.1016949152542373,0.24199101739560827,0.015963209072775184,0.6144862577762424,0.29999999999999993,0.015791325913432627,0.06057576599623169,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,35.714,0.643,0.643,0.667,0.667,0.5,0.5
F_9,oldpeak,>=0.9,0.1,87.5,87.5,0.005687017316291544,0.01724137931034482,0.694133817351303,0.019591658975881554,0.9740159078130055,0.15822784810126578,0.35688608020941925,0.1935262088161172,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,12.5,0.667,0.667,0.882,0.882,0.143,0.143
F_9,oldpeak,<=0.8,0.1,71.429,71.429,0.005687017316291544,0.01724137931034482,0.694133817351303,0.019591658975881554,0.9740159078130055,0.15822784810126578,0.35688608020941925,0.1935262088161172,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,28.571,0.057,0.057,0.1,0.1,0.04,0.04
F_10,ca,<=1.0,0.1,77.551,73.469,0.007080358141069111,0.017241379310344827,0.7389516712232473,0.019745430169337285,0.8012696973320093,0.22192691029900333,0.3074090299953131,0.1967258406564352,0.13971357903482584,0.006407002280909764,0.6670410933553637,0.10323886639676111,0.006959584432098171,0.041622462946551704,4.082,26.531,0.224,0.265,0.5,0.5,0.065,0.129
F_10,ca,>=2.0,0.1,80.0,80.0,0.007080358141069111,0.017241379310344827,0.7389516712232473,0.019745430169337285,0.8012696973320093,0.22192691029900333,0.3074090299953131,0.1967258406564352,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.7,0.7,0.778,0.778,0.0,0.0
F_11,thal,3.0,0.1,84.848,81.818,0.009244992295839752,0.2711864406779661,0.09408999835023314,0.0003004640928426591,0.7547961443068695,0.04904851246314661,2.742694604261983,0.2522179519371836,0.098792419159368,0.004756713814614826,0.5712405705774795,0.265625,0.00535967498854829,0.036506218372181314,3.03,18.182,0.03,0.061,0.167,0.167,0.0,0.037
F_11,thal,6.0,0.1,62.5,62.5,0.009244992295839752,0.2711864406779661,0.09408999835023314,0.0003004640928426591,0.7547961443068695,0.04904851246314661,2.742694604261983,0.2522179519371836,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,37.5,0.625,0.625,0.667,0.667,0.5,0.5
F_11,thal,7.0,0.1,72.222,72.222,0.009244992295839752,0.2711864406779661,0.09408999835023314,0.0003004640928426591,0.7547961443068695,0.04904851246314661,2.742694604261983,0.2522179519371836,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,27.778,0.667,0.667,0.733,0.733,0.333,0.333
F_0,age,0.0,0.3,72.973,72.973,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.010642139381850123,0.35073886518832004,0.4230769230769229,0.05095598513411233,0.11215564240713176,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,27.027,0.405,0.405,0.619,0.619,0.125,0.125
F_0,age,1.0,0.3,86.364,86.364,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.010642139381850123,0.35073886518832004,0.4230769230769229,0.05095598513411233,0.11215564240713176,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,13.636,0.136,0.136,0.5,0.5,0.0,0.0
F_1,sex,0.0,0.3,81.818,81.818,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.010642139381850131,0.35073886518832004,0.29729729729729737,0.05553492164212665,0.11732275414834711,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,18.182,0.091,0.091,0.333,0.333,0.0,0.0
F_1,sex,1.0,0.3,75.676,75.676,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.010642139381850131,0.35073886518832004,0.29729729729729737,0.05553492164212665,0.11732275414834711,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,24.324,0.432,0.432,0.667,0.667,0.125,0.125
F_2,cp,<=3.0,0.3,81.25,71.875,0.0002789544310655469,0.017241379310344827,0.6787351157837007,0.007649266834410145,0.7513701199796096,0.09231865977544106,1.8124452229375272,0.49660572464205766,0.2613801725141405,0.034337527849250794,0.38153587020510216,0.5055555555555555,0.030646876887168994,0.08727869316759387,21.875,28.125,0.062,0.281,0.25,0.5,0.0,0.208
F_2,cp,4.0,0.3,74.074,77.778,0.0002789544310655469,0.017241379310344827,0.6787351157837007,0.007649266834410145,0.7513701199796096,0.09231865977544106,1.8124452229375272,0.49660572464205766,0.098792419159368,0.005813761328973683,0.6790398374650439,0.07486631016042782,0.006342230155972777,0.03955014428145187,3.704,22.222,0.593,0.63,0.737,0.789,0.25,0.25
F_3,trestbps,>=132.0,0.3,69.231,65.385,0.0047537474091510845,0.017241379310344827,0.0,0.0,0.9763613182650299,0.038950978423569774,nan,nan,0.098792419159368,0.00603736753393421,0.6783234474692019,0.07670454545454546,0.0065268598518580315,0.0402642680380009,3.846,34.615,0.385,0.423,0.562,0.562,0.1,0.2
F_3,trestbps,<=130.0,0.3,84.848,81.818,0.0047537474091510845,0.017241379310344827,0.0,0.0,0.9763613182650299,0.038950978423569774,nan,nan,0.098792419159368,0.0047567138146148245,0.6785511437439767,0.07555555555555554,0.00521719730297714,0.0360378498147276,3.03,18.182,0.242,0.273,0.636,0.636,0.045,0.091
F_4,chol,<=243.0,0.3,78.049,78.049,0.02791146274817419,0.01724137931034483,0.0,0.0,0.9896370260347827,0.07326639046510834,nan,nan,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,21.951,0.317,0.317,0.6,0.6,0.048,0.048
F_4,chol,>=244.0,0.3,77.778,77.778,0.02791146274817419,0.01724137931034483,0.0,0.0,0.9896370260347827,0.07326639046510834,nan,nan,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,22.222,0.278,0.278,0.571,0.571,0.091,0.091
F_5,fbs,0.0,0.3,76.923,76.923,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.02660534845462531,0.11304088659457545,0.8235294117647058,0.04380595501017321,0.10358372367853115,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,23.077,0.269,0.269,0.545,0.545,0.067,0.067
F_5,fbs,1.0,0.3,85.714,85.714,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.02660534845462531,0.11304088659457545,0.8235294117647058,0.04380595501017321,0.10358372367853115,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,14.286,0.571,0.571,0.8,0.8,0.0,0.0
F_6,restecg,0.0,0.3,80.0,80.0,0.027734976887519257,0.4576271186440678,0.9364513871978258,0.026047064600597768,0.5465877950312618,0.38888888888888895,0.29372150797686003,0.26027551939229726,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.25,0.25,0.562,0.562,0.042,0.042
F_6,restecg,1.0,0.3,100.0,100.0,0.027734976887519257,0.4576271186440678,0.9364513871978258,0.026047064600597768,0.5465877950312618,0.38888888888888895,0.29372150797686003,0.26027551939229726,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.667,0.667,1.0,1.0,0.0,0.0
F_6,restecg,2.0,0.3,68.75,68.75,0.027734976887519257,0.4576271186440678,0.9364513871978258,0.026047064600597768,0.5465877950312618,0.38888888888888895,0.29372150797686003,0.26027551939229726,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,31.25,0.375,0.375,0.556,0.556,0.143,0.143
F_7,thalach,<=153.0,0.3,75.0,72.222,0.011166521636145843,0.017241379310344827,0.0,0.0,0.9858816444292032,0.04483206816528205,nan,nan,0.098792419159368,0.004360320996730257,0.6868028197434451,0.055059523809523836,0.004788310599977558,0.03438864404479128,2.778,27.778,0.444,0.417,0.667,0.619,0.133,0.133
F_7,thalach,>=154.0,0.3,82.609,82.609,0.011166521636145843,0.017241379310344827,0.0,0.0,0.9858816444292032,0.04483206816528205,nan,nan,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,17.391,0.087,0.087,0.333,0.333,0.0,0.0
F_8,exang,0.0,0.3,82.222,82.222,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.03724748783647544,0.39294973050444315,0.5714285714285713,0.0426175337384786,0.10199155587461817,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,17.778,0.2,0.2,0.533,0.533,0.033,0.033
F_8,exang,1.0,0.3,64.286,64.286,0.027734976887519257,0.3050847457627119,0.41914073710447747,0.03724748783647544,0.39294973050444315,0.5714285714285713,0.0426175337384786,0.10199155587461817,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,35.714,0.643,0.643,0.667,0.667,0.5,0.5
