0,43,2,8,65,1,3,3,1,0,3,3,52,1,0,0,2,2,0,1, -1.0
3,55,3,4,168,4,1,2,1,0,0,2,8,1,2,0,0,1,1,1, -1.0
0,46,4,5,97,1,1,2,1,0,2,1,43,0,1,2,1,0,1,1, -1.0
1,72,2,5,152,3,2,3,1,1,2,3,11,1,0,1,2,1,0,1, -1.0
0,44,0,8,34,0,2,2,1,0,3,2,36,0,0,1,2,1,0,0, -1.0
1,54,2,7,174,2,2,1,1,2,1,0,71,0,1,0,0,0,0,1, -1.0
1,48,1,6,35,3,0,1,1,0,3,0,58,2,2,2,1,2,1,0, -1.0
2,23,0,9,160,3,0,3,1,0,2,0,67,0,0,3,3,2,0,1, -1.0
0,65,1,2,72,2,1,3,1,0,1,0,65,2,1,0,1,2,1,1, -1.0
2,65,4,1,18,1,1,0,1,1,1,3,0,2,1,1,2,2,0,1, -1.0
1,53,1,0,165,0,0,2,1,0,1,2,3,0,2,0,3,0,0,0, -1.0
2,49,1,5,130,4,1,2,1,0,2,2,23,1,1,2,2,2,0,1, -1.0
3,47,4,7,195,4,1,2,1,1,3,2,52,0,1,1,2,2,0,0, -1.0
3,78,4,0,110,1,3,2,1,1,3,2,10,1,0,1,0,2,0,0, -1.0
0,51,4,2,55,3,0,2,1,2,1,1,3,2,0,3,0,2,1,0, -1.0
1,32,0,7,12,2,2,3,1,1,2,2,27,0,2,1,1,2,1,0, -1.0
1,36,3,9,185,3,3,3,1,0,3,3,56,1,0,3,0,1,0,1, -1.0
1,66,2,2,130,1,2,3,1,0,3,0,5,1,2,1,2,0,0,0, -1.0
1,37,2,0,187,4,2,2,1,0,2,2,10,1,2,0,3,1,0,1, -1.0
0,57,0,10,49,2,0,0,1,1,2,0,6,0,2,3,0,1,1,0, -1.0
2,22,0,5,66,2,4,1,1,0,2,0,6,1,0,0,3,2,1,0, -1.0
0,49,0,2,121,4,3,3,1,2,0,3,58,0,2,3,3,0,0,0, -1.0
0,71,4,4,14,2,2,2,1,0,3,0,37,2,2,2,3,0,1,0, -1.0
3,77,4,4,178,0,4,1,1,1,0,1,44,0,0,1,3,2,1,1, -1.0
