"Swap 
 Percentage",Measurement,Feature,age,balance,default,campaign,job,education,loan,housing,duration,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",age,-,0.3413/0.3465,0.3483/0.0361,0.3447/0.3089,0.3793/0.1964,0.3464/0.1871,0.3586/0.2431,0.3608/0.3286,0.3355/0.4711,,0.3569869689924976,0.3569869689924976,1.4158702617663406,4.932743651476685,[],"[0.34648758198366014, 0.03614135315603068, 0.3088524983108095, 0.1964015443598384, 0.187118928319055, 0.2431458443013809, 0.3285649179021714, 0.47105391721473994]","[0.6877955256863563, 0.38447382015403336, 0.6536004901617667, 0.5756836309935738, 0.5334755321548316, 0.6017496872758517, 0.6893849374012484, 0.8065800276490235]"
10%,"Wasserstein
 distance",age,-,0.002/0.001,0.0017/0.0002,0.0023/0.0021,0.0024/0.0005,0.0014/0.0006,0.0023/0.0012,0.0022/0.001,0.0021/0.0044,,0.00193520026259099,0.00193520026259099,0.007428084343176945,0.02738134070042053,[],"[0.00104480244236601, 0.00015483273406349, 0.0020765858381893852, 0.00046939798855797, 0.00062746615906035, 0.001246322368650625, 0.000987118785817025, 0.004379241844467055]","[0.0030522752346721447, 0.0018707874123703348, 0.00441326712512834, 0.00285412079921744, 0.0020068562660737, 0.0035216500211939497, 0.00316463731752102, 0.0064977465242436]"
10%,"Total variation
 distance",age,-,0.0446/0.0375,0.0431/0.0022,0.047/0.0372,0.0512/0.0142,0.0406/0.0156,0.0482/0.0256,0.05/0.0329,0.0408/0.0835,,0.04764462114209866,0.04764462114209866,0.17202139272019065,0.8628365398574516,[],"[0.03751357936376843, 0.0022287424978947997, 0.0371531936295213, 0.014195139929520564, 0.01561470043978814, 0.0256208399701295, 0.03291627882999782, 0.08351106849556342]","[0.11959299134999235, 0.04751718497584968, 0.12129261433849656, 0.07957381020223793, 0.07183421058754964, 0.0993994738898288, 0.11582171655893592, 0.2078045379545606]"
10%,"Jensen-Shannon
 divergence",age,-,0.0345/0.0337,0.0343/0.003,0.0342/0.0296,0.0359/0.0172,0.0339/0.0187,0.0354/0.0241,0.0361/0.031,0.032/0.0468,,0.03643127138181567,0.03643127138181567,0.13850408394005115,0.480431396303615,[],"[0.033732568851657756, 0.00303199477291166, 0.029621586962528194, 0.017186403188717725, 0.018671630537477116, 0.024146367885408335, 0.030984356496719455, 0.046770716421050705]","[0.068253340215371, 0.0372842146927606, 0.06381711082003473, 0.0531057973959453, 0.052581836394967316, 0.05954072454319649, 0.06711854035144263, 0.07872983188989693]"
30%,"Hellinger
 distance",age,-,0.6204/0.5836,0.6239/0.0874,0.5932/0.5472,0.6483/0.3699,0.6055/0.334,0.6195/0.4486,0.6084/0.5818,0.5624/0.8196,,0.6096574008397607,0.6096574008397607,2.4957430627843897,8.6536523311484,[],"[0.5836133957690844, 0.0874091881052871, 0.5472222603869448, 0.36994840731192224, 0.3339739501118403, 0.44859416868241764, 0.5818139273903935, 0.8195960261313683]","[1.2039924225766927, 0.7112842599037382, 1.1403900618377625, 1.018213653239388, 0.9395063690848228, 1.068058366894407, 1.190192234486583, 1.382014963125007]"
30%,"Wasserstein
 distance",age,-,0.0052/0.0025,0.0051/0.0005,0.0048/0.0059,0.0062/0.0013,0.0048/0.0012,0.0069/0.0043,0.0046/0.0019,0.0059/0.0119,,0.005230263614432275,0.005230263614432275,0.020013641321178686,0.07293830873440134,[],"[0.00249074212053099, 0.00047676901794666004, 0.00588613067564443, 0.0013437181535458352, 0.001229043050901395, 0.004344108776437984, 0.0018675371494418901, 0.01192870646904364]","[0.00764824556452766, 0.005614867746972554, 0.010648186268347789, 0.007497821460519225, 0.00601780255898677, 0.011242094106336968, 0.006465232983522815, 0.01780405804518756]"
30%,"Total variation
 distance",age,-,0.1338/0.1009,0.131/0.0086,0.1154/0.1091,0.1368/0.0416,0.1232/0.0371,0.1411/0.0824,0.1262/0.0907,0.1155/0.2264,,0.12742890234842488,0.12742890234842488,0.47580530065427473,2.416461947097397,[],"[0.10090924760225758, 0.008551822479798351, 0.10906590412144117, 0.041627156630190496, 0.03712061241679633, 0.08235193374858708, 0.0907415873058451, 0.22638453230678374]","[0.33562547314959823, 0.14812778124842046, 0.33350907196049734, 0.22005945921293119, 0.19746450728297782, 0.30581360542940966, 0.3076388975359608, 0.5682231512776015]"
30%,"Jensen-Shannon
 divergence",age,-,0.0636/0.0587,0.0625/0.0096,0.0576/0.0538,0.0626/0.0359,0.0607/0.033,0.0623/0.0456,0.0618/0.0564,0.0552/0.0807,,0.06067845311861233,0.06067845311861233,0.2475850354322218,0.8600693377439843,[],"[0.0586675232274538, 0.009612698899558864, 0.05382950703234392, 0.03591697186950458, 0.033035224874079006, 0.04563402692563813, 0.056389310527365386, 0.08072790127127524]","[0.12227392034267423, 0.07206297890042214, 0.11144296598941683, 0.09851700063198027, 0.09371489232901897, 0.10793028128334844, 0.11817395776782705, 0.13595334049929644]"
50%,"Hellinger
 distance",age,-,0.7811/0.7668,0.7898/0.113,0.7732/0.6946,0.8428/0.5004,0.8017/0.4245,0.7958/0.5889,0.7943/0.7388,0.7338/1.0495,,0.8021616373341205,0.8021616373341205,3.240451467660959,11.18917915045786,[],"[0.7668361478577871, 0.11303740081126257, 0.6945558206682293, 0.5004371027708402, 0.42445327710652603, 0.5889148177323036, 0.7388008715253795, 1.0495442221813487]","[1.5479762006855533, 0.9028280745229805, 1.4677301652540913, 1.343238588902723, 1.2261868625241812, 1.3847381856540677, 1.5331414149116978, 1.7833396580025669]"
50%,"Wasserstein
 distance",age,-,0.0069/0.0036,0.0083/0.0009,0.0076/0.0082,0.0092/0.0021,0.0083/0.0024,0.0107/0.0067,0.008/0.0031,0.0103/0.0187,,0.007115530274295495,0.007115530274295495,0.029997576601508532,0.11502375330046175,[],"[0.003626876198183125, 0.0008734245345499901, 0.008160421174748144, 0.002088888661061445, 0.002429225712018325, 0.0067414370267936344, 0.00310797807049896, 0.018735841276572452]","[0.010564048141086666, 0.009171042978038231, 0.015792373316212825, 0.01129447441070736, 0.010691884027101023, 0.01740553334388183, 0.01110596017774108, 0.02899843690569273]"
