ID,Feature,Category,swap_proportion,hellinger_casuality,wasserstein_casuality,cramers_v_casuality,total_variation_casuality,JS_casuality,Casuality,Importance,combined_scores
F_0,sex,0.0,0.1,0.09592743900374633,0.0014797998132203526,1.3878261667164475,0.02013237639553431,0.019941843034343067,0.971,31.068,8.897424372885632e-08
F_0,sex,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,23.585,0.0
F_1,age,>=0.4285714285714284,0.1,0.0,0.0,0.0,0.0,0.0,0.0,44.444,0.0
F_1,age,<=0.2857142857142856,0.1,0.1397135790348258,0.0,1.4290597447690068,0.0102301790281329,0.0209183566180115,1.0,28.0,0.0
F_2,Pstatus,0.0,0.1,0.36592712056629906,0.021534171962518216,5.448326355196362,0.2700833333333331,0.14640991439549983,3.704,14.815,9.019246336929958e-06
F_2,Pstatus,1.0,0.1,0.43429147462458173,0.0,3.1825574195647435,0.04947878787878785,0.06816492892360677,2.198,29.121,0.0
F_3,Medu,1.0,0.1,1.47278406820163,0.06976862420448138,10.197838303143723,0.9015551048005409,0.34870803292575775,6.667,24.0,0.00016673998819128087
F_3,Medu,<=0.75,0.1,0.8242023936493597,0.013111810634256952,5.538081006617119,0.25972916666666634,0.15025742228558076,3.731,29.851,1.2053453695617938e-05
F_4,Fjob,>=0.75,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.789,0.0
F_4,Fjob,<=0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,34.586,0.0
F_5,reason,<=0.3333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,27.66,0.0
F_5,reason,>=0.6666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,27.941,0.0
F_6,guardian,0.5,0.1,0.06628971325593593,0.000706898751657812,0.9554129832518378,0.009004294149221657,0.011457300116450202,0.671,30.872,2.27843359931443e-08
F_6,guardian,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,21.154,0.0
