"Swap 
 Percentage",Measurement,Feature,studytime,Pstatus,Medu,Fjob,higher,goout,reason,internet,Walc,age,nursery,activities,romantic,famrel,sex,absences,schoolsup,famsup,freetime,guardian,traveltime,health,paid,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Total variation
 distance",studytime,-,0.1564/0.1649,0.2727/0.2727,0.2269/0.2269,0.2848/0.2359,0.1698/0.1698,0.2045/0.2045,0.2025/0.1244,0.2457/0.2343,0.1486/0.1486,0.157/0.2081,0.169/0.1601,0.165/0.1561,0.1823/0.1823,0.1808/0.1841,0.2176/0.1496,0.1695/0.1984,0.1821/0.1661,0.1799/0.1799,0.1669/0.2109,0.2301/0.2021,0.1745/0.1745,0.2229/0.1888,,0.14428948477600245,0.5310623350179272,0.6781561201219922,2.12097903901816,"[0.20449796309926643, 0.18227488714265833]","[0.1697667401172431, 0.20449796309926643, 0.12442083009088704, 0.18227488714265833]","[0.5093002203517293, 0.6134938892977992, 0.4513602679406564, 0.546824661427975]"
50%,"Jensen-Shannon
 divergence",studytime,-,0.0517/0.063,0.0901/0.0901,0.0786/0.0786,0.0784/0.0585,0.065/0.065,0.0771/0.0771,0.0616/0.0633,0.0789/0.0744,0.0531/0.0531,0.0585/0.0742,0.0644/0.0685,0.068/0.0659,0.0671/0.0671,0.0601/0.0722,0.0694/0.0539,0.0611/0.0636,0.0658/0.0689,0.0677/0.0677,0.0542/0.0702,0.0735/0.0665,0.0686/0.0686,0.0726/0.0746,,0.06705585511236939,0.3378998339264276,0.33874233868572995,0.5433729671467211,"[0.06501399282224984, 0.07707509332938134, 0.06163156216236672, 0.06712333050006034]","[0.06501399282224984, 0.07707509332938134, 0.06331657168097135, 0.06712333050006034]","[0.1300279856444997, 0.15415018665876268, 0.12494813384333807, 0.13424666100012067]"
70%,"Hellinger
 distance",studytime,-,0.1565/0.3507,0.3575/0.3575,0.3007/0.3007,0.2651/0.3472,0.2714/0.2714,0.3081/0.3081,0.1628/0.3275,0.3043/0.2872,0.2534/0.2534,0.1638/0.3775,0.1675/0.3835,0.166/0.3555,0.2864/0.2864,0.1649/0.3918,0.3196/0.2921,0.1772/0.3396,0.1764/0.3755,0.2841/0.2841,0.1382/0.2705,0.2793/0.2613,0.2903/0.2903,0.1805/0.3645,,0.37691462779411716,0.5397217873911171,1.054989947771101,2.2220157903711453,[0.16280715959699993],"[0.2714319316518602, 0.30808268397456573, 0.3274783299397904, 0.2863505347907516]","[0.5428638633037204, 0.6161653679491315, 0.49028548953679035, 0.5727010695815032]"
70%,"Wasserstein
 distance",studytime,-,0.016/0.0135,0.0208/0.0208,0.0157/0.0157,0.0291/0.0183,0.0103/0.0103,0.0113/0.0113,0.0089/0.0067,0.0151/0.0147,0.013/0.013,0.0134/0.0148,0.0094/0.0101,0.0116/0.0103,0.0139/0.0139,0.0084/0.0121,0.0168/0.0108,0.0157/0.0151,0.0101/0.009,0.0118/0.0118,0.0208/0.0177,0.02/0.0165,0.0127/0.0127,0.0205/0.0138,,0.008695694343730449,0.039247032416521055,0.04508024206391939,0.08662605140477501,"[0.010321469174102529, 0.011314609521983404, 0.008915259376704671]","[0.010321469174102529, 0.011314609521983406, 0.00672472270710422, 0.01385695596439713]","[0.020642938348205058, 0.02262921904396681, 0.01563998208380889, 0.02771391192879426]"
70%,"Total variation
 distance",studytime,-,0.2192/0.2457,0.3755/0.3755,0.2851/0.2851,0.3577/0.287,0.2306/0.2306,0.279/0.279,0.2205/0.1989,0.3205/0.3025,0.2219/0.2219,0.2081/0.2898,0.199/0.2424,0.2007/0.2279,0.2681/0.2681,0.2145/0.2617,0.291/0.209,0.2289/0.2691,0.2505/0.23,0.2512/0.2512,0.2541/0.2717,0.3012/0.2617,0.2726/0.2726,0.2579/0.2926,,0.2026457036831255,0.9327322912071864,1.0559773667292587,2.951348983679405,"[0.23060308868411963, 0.27897439208941577, 0.22050910675052546]","[0.23060308868411963, 0.27897439208941577, 0.19889033877573797, 0.26810891901893236]","[0.6918092660523589, 0.8369231762682473, 0.6182897843020014, 0.8043267570567971]"
70%,"Jensen-Shannon
 divergence",studytime,-,0.0626/0.0814,0.1057/0.1057,0.0893/0.0893,0.0866/0.0659,0.0837/0.0837,0.0926/0.0926,0.0679/0.0773,0.0901/0.0846,0.0652/0.0652,0.066/0.0912,0.0743/0.0879,0.0723/0.082,0.0881/0.0881,0.0741/0.0895,0.0821/0.0635,0.0677/0.0777,0.0799/0.0863,0.0855/0.0855,0.0713/0.0824,0.0849/0.0764,0.0914/0.0914,0.0813/0.095,,0.07991010889375938,0.14783589034869857,0.28473053958126504,0.674018612085858,[0.06792578145493919],"[0.08374491377965677, 0.09257690713419395, 0.07733732920922544, 0.08805592979699596]","[0.16748982755931355, 0.1851538142683879, 0.14526311066416464, 0.17611185959399192]"
10%,"Hellinger
 distance",Pstatus,0.0638/0.0638,-,0.0912/0.0912,0.0586/0.0586,0.1198/0.0375,0.0497/0.0497,0.0673/0.0673,0.0804/0.0198,0.0686/0.0686,0.074/0.074,0.0909/0.0099,0.1066/0.0099,0.0957/0.0099,0.0623/0.0623,0.0926/0.0099,0.0634/0.0634,0.063/0.0239,0.0984/0.0099,0.0577/0.0577,0.0639/0.0071,0.054/0.0491,0.0518/0.0518,0.0725/0.0,,0.05681726100374577,0.2848931227026866,0.5505733908664147,2.1873018299038054,"[0.05857720433296522, 0.11976069796566913, 0.04973795940030644]","[0.0638405565051954, 0.09123508521984981, 0.05857720433296522, 0.03747760192817354, 0.04973795940030644, 0.06734518768807458, 0.019758483831873598, 0.06855606830508922, 0.009879241915936799, 0.009879241915936799, 0.009879241915936799, 0.062291081189211096, 0.06339610466796382, 0.023850599819419383, 0.009879241915936799, 0.057712373843126316, 0.007056601368526286, 0.04908452226287518, 0.0]","[0.1276811130103908, 0.18247017043969962, 0.11715440866593044, 0.15723829989384266, 0.09947591880061288, 0.13469037537614914, 0.10013915506785337, 0.13711213661017843, 0.10077631778533447, 0.11644268562966227, 0.10557800696388452, 0.12458216237842219, 0.12679220933592764, 0.08686842206007181, 0.10829719762169893, 0.11542474768625263, 0.07092127485772706, 0.10310866548371875, 0.07254856223644779]"
10%,"Wasserstein
 distance",Pstatus,0.0012/0.0012,-,0.0022/0.0022,0.0016/0.0016,0.0036/0.0028,0.0009/0.0009,0.0012/0.0012,0.0013/0.0018,0.0021/0.0021,0.0019/0.0019,0.0014/0.0006,0.0013/0.0008,0.0018/0.0011,0.003/0.003,0.0016/0.0009,0.0016/0.0016,0.0004/0.006,0.0013/0.001,0.0023/0.0023,0.0032/0.0005,0.0011/0.0008,0.0016/0.0016,0.003/0.0,,0.00087683081330528,0.018621493940348344,0.025596617611599138,0.06646219061207193,"[0.001615935206222055, 0.00358786153420099, 0.00092495216451286, 0.00132947522398865, 0.00299717940038422, 0.00044323187455238, 0.00130402563761085, 0.00229585211153032, 0.00324614997404074]","[0.001214266829993235, 0.002186631681058375, 0.001615935206222055, 0.0027928414999569555, 0.00092495216451286, 0.00115585611346134, 0.0018313348186267003, 0.0021194853284889252, 0.00060373675339342, 0.0008261660835909901, 0.0011212253991592, 0.00299717940038422, 0.0016109478922194474, 0.005979868795515779, 0.00104647703921526, 0.00229585211153032, 0.0005339168567424786, 0.0008382364954730951, 0.0]","[0.00242853365998647, 0.00437326336211675, 0.00323187041244411, 0.006380703034157945, 0.00184990432902572, 0.00231171222692268, 0.0031608100426153505, 0.0042389706569778505, 0.00203632495695723, 0.00214014994793127, 0.0029587582201332204, 0.00599435880076844, 0.0032218957844388947, 0.006423100670068159, 0.00235050267682611, 0.00459170422306064, 0.0037800668307832186, 0.0019567793407359903, 0.00303278143612188]"
10%,"Total variation
 distance",Pstatus,0.0196/0.0196,-,0.04/0.04,0.0245/0.0245,0.0636/0.0357,0.016/0.016,0.0227/0.0227,0.0233/0.0234,0.0318/0.0318,0.0337/0.0337,0.0222/0.0078,0.0267/0.0102,0.0273/0.0134,0.0458/0.0458,0.026/0.0281,0.0256/0.0256,0.0102/0.0624,0.0256/0.0145,0.0334/0.0334,0.052/0.0075,0.0162/0.0127,0.0231/0.0231,0.037/0.0,,0.01549195621572522,0.24644982987215774,0.35450725151850315,1.4576633025997447,"[0.02449753148983535, 0.015955890319070434, 0.02333952429559151, 0.04584482579412387, 0.010227784207829039, 0.025649450502010777, 0.033419379931825186, 0.052023487116146364]","[0.019572983553973744, 0.03996559606644555, 0.02449753148983535, 0.0356575106348246, 0.015955890319070434, 0.022686368674224664, 0.023429487179487167, 0.03183519673266831, 0.0077922077922077905, 0.01023017902813299, 0.01339285714285714, 0.04584482579412387, 0.02561499568353162, 0.06242424242424242, 0.014545454545454539, 0.033419379931825186, 0.007482993197278907, 0.012725016758938976, 0.0]","[0.05871895066192123, 0.11989678819933665, 0.07349259446950604, 0.13491978785412415, 0.0478676709572113, 0.068059106022674, 0.07019849865456584, 0.09550559019800493, 0.037753617964352976, 0.04712990149622934, 0.05407620339130645, 0.13753447738237162, 0.07684498705059487, 0.13507626905631387, 0.054740359592919854, 0.10025813979547556, 0.06698947351070418, 0.041627431229197875, 0.036973455112933915]"
10%,"Jensen-Shannon
 divergence",Pstatus,0.0132/0.0132,-,0.0239/0.0239,0.0147/0.0147,0.0255/0.0154,0.0113/0.0113,0.0154/0.0154,0.0188/0.0098,0.0171/0.0171,0.0181/0.0181,0.0187/0.004,0.0232/0.0047,0.0212/0.0054,0.019/0.019,0.0208/0.005,0.0155/0.0155,0.0104/0.0144,0.0216/0.0052,0.016/0.016,0.0209/0.0032,0.0113/0.0094,0.0132/0.0132,0.0174/0.0,,0.01126903060743842,0.09770276534878096,0.16328348691765002,0.552713629200239,"[0.01467670881791637, 0.025523927402494477, 0.01125869804977234, 0.01898953620454083, 0.01598486426661852]","[0.013201270902520634, 0.02393756402268645, 0.01467670881791637, 0.015439568776434934, 0.01125869804977234, 0.015394664801482017, 0.009795317561166231, 0.017119543442412392, 0.00402043255521643, 0.00466381711528908, 0.00539216445710914, 0.01898953620454083, 0.015528294141510083, 0.01441103484531434, 0.00523790989765705, 0.01598486426661852, 0.003192408946106493, 0.00935137907532732, 0.0]","[0.026402541805041268, 0.0478751280453729, 0.02935341763583274, 0.040963496178929415, 0.02251739609954468, 0.030789329602964034, 0.028626642028077083, 0.034239086884824785, 0.02274278403665743, 0.027861285916921413, 0.02656061050998738, 0.03797907240908166, 0.031056588283020166, 0.024836540762963363, 0.026879381952407612, 0.03196972853323704, 0.02406496213636791, 0.02064396976859732, 0.01735166661041093]"
