"Swap 
 Percentage",Measurement,Feature,studytime,Pstatus,Medu,Fjob,higher,goout,reason,internet,Walc,age,nursery,activities,romantic,famrel,sex,absences,schoolsup,famsup,freetime,guardian,traveltime,health,paid,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
30%,"Total variation
 distance",higher,0.193/0.1467,0.1838/0.1201,0.1711/0.1711,0.1401/0.1401,-,0.1301/0.1301,0.1682/0.1392,0.144/0.0949,0.1651/0.1651,0.1405/0.1405,0.1595/0.1311,0.1647/0.1343,0.169/0.1324,0.1493/0.1493,0.1742/0.0884,0.1394/0.1205,0.2172/0.0651,0.1634/0.0771,0.1533/0.1533,0.1403/0.0706,0.1773/0.1548,0.0846/0.0846,0.1336/0.0644,,0.20598188763488912,0.672393894432634,1.1781798559871084,4.842699989707385,"[0.14404088905028797, 0.1690483682702471, 0.15332274947720975]","[0.14674377690932172, 0.13014038224235006, 0.13923698633168335, 0.09490589869900215, 0.1651353870001594, 0.1323611111111111, 0.14925586997589974, 0.07714285714285714, 0.15332274947720975, 0.07055555555555555, 0.15475654770140254, 0.06442680776014109]","[0.4865218661729124, 0.3904211467270502, 0.4466261224239739, 0.33385268644829225, 0.4954061610004782, 0.4337705904924693, 0.4477676099276992, 0.3176895880161092, 0.45996824843162926, 0.28136205520790564, 0.48681866271205076, 0.2624952521468141]"
30%,"Jensen-Shannon
 divergence",higher,0.0562/0.043,0.0679/0.0284,0.0522/0.0522,0.0443/0.0443,-,0.0424/0.0424,0.0535/0.0458,0.0586/0.0196,0.0518/0.0518,0.0406/0.0406,0.0617/0.0248,0.0644/0.0282,0.062/0.0284,0.0472/0.0472,0.0648/0.0186,0.0403/0.0362,0.0722/0.0121,0.0626/0.0181,0.0489/0.0489,0.0516/0.0096,0.0485/0.0442,0.033/0.033,0.0532/0.0158,,0.056481765653532426,0.10542700444843206,0.28840503428175013,1.051433858723065,[0.04894523879489963],"[0.043048547456690844, 0.04235110412756984, 0.04579824936758463, 0.019554831174678593, 0.051825148101657205, 0.028437818200496366, 0.04715003038513953, 0.018099615264844847, 0.04894523879489963, 0.00962973721099532, 0.044233510387508, 0.01582746798947092]","[0.0992913540334242, 0.08470220825513966, 0.09933361327599785, 0.07812747030695362, 0.10365029620331441, 0.09047392577735863, 0.09430006077027905, 0.08067644592434636, 0.09789047758979925, 0.0612333865319145, 0.09276626764258408, 0.06898835241195328]"
50%,"Hellinger
 distance",higher,0.2701/0.2142,0.3683/0.08,0.26/0.26,0.2365/0.2365,-,0.2376/0.2376,0.2563/0.2138,0.3793/0.0485,0.2217/0.2217,0.2158/0.2158,0.3802/0.0485,0.4038/0.0445,0.3971/0.0846,0.235/0.235,0.4108/0.0617,0.2269/0.2152,0.3778/0.0669,0.3995/0.0747,0.2399/0.2399,0.2732/0.0518,0.2172/0.2051,0.2085/0.2085,0.38/0.06,,0.3746989445891832,0.6122687899998802,1.4369604129227986,5.393847104124771,[0.23756984541069698],"[0.2141716632923286, 0.23756984541069698, 0.21378169320996648, 0.048548704609261376, 0.22171017806973006, 0.0846107190029439, 0.23501486813224157, 0.07469179049344218, 0.23993846710396158, 0.05182235756184853, 0.20506961736703264, 0.06002318700307974]","[0.4842852851936629, 0.47513969082139396, 0.4701194492931754, 0.42780826583245024, 0.4434203561394601, 0.4817422292034409, 0.47002973626448313, 0.47414829803339065, 0.47987693420792316, 0.3249850383001015, 0.42223878560384565, 0.4400530352314426]"
50%,"Wasserstein
 distance",higher,0.0217/0.0164,0.0189/0.0115,0.0164/0.0164,0.0189/0.0189,-,0.0191/0.0191,0.0203/0.0164,0.0184/0.0098,0.0163/0.0163,0.0188/0.0188,0.0154/0.007,0.0185/0.0079,0.0177/0.0198,0.0148/0.0148,0.0179/0.0112,0.0143/0.0125,0.0135/0.0101,0.0191/0.0141,0.0173/0.0173,0.0128/0.0231,0.0166/0.015,0.0137/0.0137,0.0157/0.0092,,0.02271807960462096,0.07657040525294952,0.1452619246534725,0.4009353497510419,"[0.021710708028347524, 0.014806397414868394, 0.01733522020511264]","[0.016364401535030448, 0.01907322346572089, 0.016363463576793805, 0.00984186739261971, 0.0162831254631551, 0.01981981513282969, 0.014806397414868394, 0.01410545521765778, 0.01733522020511264, 0.02308893784935258, 0.014970356915241049, 0.009183100280992488]","[0.03807510956337797, 0.03814644693144178, 0.036616854118013895, 0.028266379725694887, 0.0325662509263102, 0.037472399348981444, 0.029612794829736788, 0.03317951065669777, 0.03467044041022528, 0.03586630973427159, 0.03159304599766409, 0.024869807508626218]"
50%,"Total variation
 distance",higher,0.2755/0.2139,0.2849/0.1954,0.2505/0.2505,0.2474/0.2474,-,0.2644/0.2644,0.2418/0.1993,0.2747/0.1495,0.2298/0.2298,0.2411/0.2411,0.2646/0.1246,0.2721/0.1305,0.2729/0.2563,0.2312/0.2312,0.2834/0.1584,0.2224/0.1939,0.3143/0.1669,0.2782/0.2134,0.2611/0.2611,0.2202/0.1849,0.2358/0.2076,0.1989/0.1989,0.2693/0.1484,,0.34492117129374106,1.11137992945794,2.008083641965552,8.174718107178018,"[0.2755261835935074, 0.22980477835145868, 0.261127796219233]","[0.2139135043337693, 0.26442018697448944, 0.1992643091307993, 0.1495467032967033, 0.22980477835145868, 0.2563492063492063, 0.23117764933097962, 0.21337662337662336, 0.261127796219233, 0.18486652236652237, 0.2075701300008642, 0.14844877344877344]","[0.703353192261046, 0.7932605609234683, 0.640376583237989, 0.5737805755069223, 0.689414335054376, 0.7856258528726259, 0.6935329479929389, 0.7049627461518757, 0.783383388657699, 0.5898877089209438, 0.6508966645123965, 0.5662435510857369]"
50%,"Jensen-Shannon
 divergence",higher,0.0729/0.057,0.0844/0.0419,0.0659/0.0659,0.0664/0.0664,-,0.0696/0.0696,0.0649/0.0555,0.0826/0.0335,0.0618/0.0618,0.0595/0.0595,0.0823/0.0242,0.0832/0.0257,0.0828/0.0536,0.0616/0.0616,0.0859/0.0362,0.0574/0.05,0.0893/0.0351,0.0831/0.0487,0.0677/0.0677,0.0666/0.0349,0.0598/0.0543,0.0573/0.0573,0.0856/0.0274,,0.0827643174895947,0.28510867924805594,0.49668931766997626,1.484474038735725,"[0.07292161168365907, 0.061762454574429845, 0.06766029550037232]","[0.05701880775376153, 0.06964031531258646, 0.055494992163444654, 0.03345743769398547, 0.061762454574429845, 0.05360565655603008, 0.06163775945508889, 0.04865854804260422, 0.06766029550037232, 0.0348770512387772, 0.0542582867525746, 0.027434033558646587]","[0.1299404194374206, 0.13928063062517293, 0.12036896255731323, 0.11601181167436007, 0.12352490914885969, 0.13643419017656577, 0.12327551891017778, 0.13173303455195182, 0.13532059100074464, 0.10149308714926641, 0.11401203071505026, 0.11307885278884147]"
70%,"Hellinger
 distance",higher,0.3179/0.2496,0.4389/0.063,0.304/0.304,0.2867/0.2867,-,0.2706/0.2706,0.3097/0.2598,0.4602/0.0778,0.2738/0.2738,0.2669/0.2617,0.4545/0.0683,0.4946/0.0787,0.4816/0.1071,0.2968/0.2968,0.4956/0.103,0.2706/0.2648,0.4493/0.0975,0.4827/0.1002,0.297/0.297,0.3355/0.0771,0.2676/0.2555,0.2612/0.2612,0.4629/0.1084,,0.45083158890226693,0.7214541878238699,1.773075833811111,6.63018532702663,[0.270622598921603],"[0.24961673243681648, 0.270622598921603, 0.2598073831265792, 0.07783178152862624, 0.27377009466665936, 0.10712123324407677, 0.2968073048002309, 0.1002374002537068, 0.2970326443998299, 0.07713225138490407, 0.2554528379547195, 0.10843362817833316]","[0.567467978884213, 0.541245197843206, 0.5695218629937431, 0.5380618409942359, 0.5475401893333187, 0.5887118033113479, 0.5936146096004618, 0.5829826821949085, 0.5940652887996598, 0.4126808845238983, 0.5230052267792195, 0.5712877617684166]"
70%,"Wasserstein
 distance",higher,0.0222/0.0143,0.0272/0.0079,0.0208/0.0208,0.0257/0.0257,-,0.0208/0.0208,0.0277/0.0223,0.0269/0.0132,0.0199/0.0199,0.0274/0.0233,0.0231/0.0123,0.0258/0.014,0.0262/0.0217,0.0268/0.0268,0.0256/0.0173,0.0222/0.0207,0.0222/0.0163,0.0274/0.02,0.0244/0.0244,0.0215/0.0273,0.0203/0.0186,0.023/0.023,0.0266/0.0333,,0.03105023120900205,0.11870086787210632,0.2061743630529134,0.5531940940246479,"[0.02215411435246261, 0.02083076462342556, 0.024415720738572004, 0.020250036948644114]","[0.01431153241609767, 0.02083076462342556, 0.022314091683301073, 0.01322607107530921, 0.019867192836353555, 0.02173835637139101, 0.026760241749914353, 0.01995831944684347, 0.024415720738572004, 0.027324678246176258, 0.018597704781462127, 0.03325295305587214]","[0.03646564676856028, 0.04166152924685112, 0.050058149675306404, 0.04007992568730079, 0.03973438567270711, 0.04792679339687613, 0.05352048349982871, 0.047321252615716125, 0.04883144147714401, 0.04884659302843293, 0.038847741730106244, 0.059900151225818]"
70%,"Total variation
 distance",higher,0.3293/0.2437,0.3788/0.1582,0.3114/0.3114,0.3287/0.3287,-,0.2956/0.2956,0.3273/0.271,0.3835/0.2349,0.3237/0.3237,0.3426/0.3163,0.3717/0.1908,0.3855/0.2157,0.3883/0.3249,0.3551/0.3551,0.3943/0.2838,0.3102/0.2896,0.4143/0.225,0.3875/0.3041,0.3511/0.3511,0.3294/0.2299,0.3304/0.3023,0.2983/0.2983,0.3993/0.278,,0.43395984056683173,1.4379899270526706,2.6931019221129113,11.229052055390882,"[0.3293159895769647, 0.3236561157029753, 0.3510579812058989]","[0.2437290648445952, 0.2956081786387212, 0.2710110998639303, 0.23490589869900216, 0.3236561157029753, 0.3249007936507936, 0.35507308390284437, 0.3041125541125541, 0.3510579812058989, 0.2299074074074074, 0.30225037220273815, 0.2780415263748597]","[0.8167741192661551, 0.8868245359161637, 0.8693101336102105, 0.8533612166286973, 0.9709683471089259, 1.038148294354615, 1.065219251708533, 0.9957181169815732, 1.0531739436176966, 0.789229062197319, 0.9349373911180183, 0.9553876428829747]"
70%,"Jensen-Shannon
 divergence",higher,0.0765/0.058,0.0967/0.0304,0.0734/0.0734,0.0773/0.0773,-,0.0699/0.0699,0.0753/0.065,0.0975/0.05,0.0789/0.0789,0.0797/0.0741,0.0962/0.0408,0.1006/0.0489,0.0983/0.069,0.0818/0.0818,0.1014/0.0597,0.0704/0.0658,0.1024/0.0476,0.0983/0.0647,0.0831/0.0831,0.0808/0.0445,0.0784/0.0729,0.0743/0.0743,0.1021/0.047,,0.09673117165893748,0.3352102496806306,0.6082756301914487,1.8054648054902949,"[0.07654209264370337, 0.07887171148270702, 0.08306527389528275]","[0.05802434362929982, 0.06988753630588879, 0.06501300803156208, 0.049950288025546456, 0.07887171148270702, 0.06898157482431862, 0.08181294554632952, 0.06466421149415094, 0.08306527389528275, 0.04446199572953388, 0.07286235782977564, 0.04701459224893365]","[0.1345664362730032, 0.13977507261177757, 0.14032251292057468, 0.1474871477068098, 0.15774342296541405, 0.16729369219947404, 0.16362589109265904, 0.16295315544471606, 0.1661305477905655, 0.1252295076644604, 0.15122017286945233, 0.1491172459513879]"
10%,"Hellinger
 distance",goout,0.0694/0.0694,0.0559/0.0522,0.0994/0.0994,0.0564/0.0564,0.0953/0.0766,-,0.0854/0.0854,0.0445/0.0351,0.0777/0.0777,0.0638/0.0638,0.0625/0.0589,0.0806/0.0409,0.0625/0.0388,0.0646/0.0646,0.0657/0.0211,0.0676/0.0676,0.0784/0.0347,0.0725/0.0351,0.0547/0.0547,0.041/0.0393,0.0657/0.0657,0.0672/0.0672,0.0688/0.0148,,0.057127547540476574,0.18702584200387568,0.21463997787304526,0.3796331433813507,"[0.0854417058416835, 0.0444565886217156]","[0.0854417058416835, 0.03507657764384155, 0.06460828271621326]","[0.170883411683367, 0.07953316626555715, 0.12921656543242652]"
10%,"Wasserstein
 distance",goout,0.002/0.002,0.0012/0.0012,0.0028/0.0028,0.0018/0.0018,0.0017/0.0019,-,0.003/0.003,0.0018/0.0011,0.0026/0.0026,0.0015/0.0015,0.0015/0.0027,0.0016/0.0018,0.0012/0.0017,0.0016/0.0016,0.0019/0.0011,0.0007/0.0007,0.0026/0.0005,0.0016/0.0018,0.002/0.002,0.0023/0.0019,0.0025/0.0025,0.0019/0.0019,0.0018/0.0007,,0.00085924864719912,0.0038690234696968744,0.00522968129541002,0.01223048916233738,[0.0030097748224977546],"[0.003009774822497755, 0.00107566787575987, 0.00164564777566642]","[0.006019549644995509, 0.00291964396600903, 0.00329129555133284]"
10%,"Total variation
 distance",goout,0.0287/0.0287,0.0201/0.0208,0.0463/0.0463,0.0273/0.0273,0.0765/0.057,-,0.041/0.041,0.0245/0.014,0.0451/0.0451,0.0287/0.0287,0.0186/0.0406,0.0262/0.0317,0.0185/0.0269,0.0269/0.0269,0.0241/0.0174,0.016/0.016,0.037/0.0105,0.0253/0.0251,0.0263/0.0263,0.0327/0.0317,0.0316/0.0316,0.0293/0.0293,0.0291/0.0092,,0.01253549850484632,0.053505217643016814,0.07397353001760375,0.25621186910408533,[0.04096971913817049],"[0.04096971913817049, 0.01401769793548768, 0.026918926813686194]","[0.12290915741451147, 0.052545931248515296, 0.08075678044105858]"
10%,"Jensen-Shannon
 divergence",goout,0.0182/0.0182,0.0139/0.0133,0.0276/0.0276,0.0166/0.0166,0.0234/0.023,-,0.0243/0.0243,0.0142/0.0091,0.0223/0.0223,0.0157/0.0157,0.0145/0.0187,0.0211/0.0136,0.0155/0.0126,0.0181/0.0181,0.0164/0.0073,0.0139/0.0139,0.0185/0.0088,0.019/0.0114,0.0164/0.0164,0.0127/0.0151,0.0174/0.0174,0.0196/0.0196,0.0187/0.0054,,0.01121534239307552,0.04970010165056041,0.05617196711745165,0.10798622707337932,"[0.02428086988110468, 0.01420388937638021]","[0.02428086988110468, 0.00907464268553564, 0.018072977624627055]","[0.04856173976220936, 0.023278532061915852, 0.03614595524925411]"
30%,"Hellinger
 distance",goout,0.1707/0.1707,0.0864/0.0876,0.1843/0.1843,0.1458/0.1458,0.1673/0.1571,-,0.1507/0.1507,0.1208/0.0772,0.1695/0.1695,0.1215/0.1215,0.1158/0.082,0.0985/0.0944,0.0988/0.0898,0.1221/0.1221,0.1143/0.1082,0.1357/0.1357,0.1158/0.0869,0.1482/0.105,0.132/0.132,0.0746/0.0648,0.1136/0.1136,0.1341/0.1341,0.1128/0.1136,,0.12485170188736638,0.24690264977770482,0.36084391879566824,0.7434799801014641,[0.12205094789033843],"[0.1506926238294941, 0.07718991420643276, 0.12205094789033843]","[0.3013852476589882, 0.197992836661799, 0.24410189578067687]"
30%,"Wasserstein
 distance",goout,0.0064/0.0064,0.0008/0.0038,0.0071/0.0071,0.0048/0.0048,0.0058/0.0122,-,0.0048/0.0048,0.0034/0.0025,0.0084/0.0084,0.0049/0.0049,0.0027/0.0019,0.0019/0.0052,0.0023/0.0032,0.0027/0.0027,0.0031/0.0054,0.0024/0.0024,0.0048/0.0094,0.0034/0.0057,0.0048/0.0048,0.0037/0.0035,0.0047/0.0047,0.004/0.004,0.0032/0.0095,,0.0026792184812233803,0.008736217499266716,0.010697614298595236,0.020854322398674262,"[0.0033898476597038103, 0.002667151358339525]","[0.004817530763930545, 0.00249511049443031, 0.002667151358339525]","[0.00963506152786109, 0.00588495815413412, 0.00533430271667905]"
30%,"Total variation
 distance",goout,0.1134/0.1134,0.0195/0.0713,0.1215/0.1215,0.0893/0.0893,0.0805/0.1833,-,0.0867/0.0867,0.0536/0.0553,0.1342/0.1342,0.0863/0.0863,0.053/0.0362,0.0357/0.0785,0.0356/0.0614,0.0663/0.0663,0.0524/0.0766,0.0548/0.0548,0.064/0.1223,0.063/0.0793,0.0755/0.0755,0.0544/0.0628,0.0643/0.0643,0.0783/0.0783,0.0475/0.1013,,0.03983806712167172,0.1597766914939312,0.20394047222877099,0.6231533132511975,"[0.053639910591290016, 0.06629871378096946]","[0.08668231719506006, 0.05528515486590947, 0.06629871378096946]","[0.2600469515851802, 0.16421022032310895, 0.1988961413429084]"
30%,"Jensen-Shannon
 divergence",goout,0.0507/0.0507,0.0171/0.0263,0.0526/0.0526,0.0441/0.0441,0.0312/0.0518,-,0.0437/0.0437,0.0328/0.0259,0.0527/0.0527,0.0335/0.0335,0.0304/0.0218,0.0257/0.0315,0.0245/0.0307,0.0351/0.0351,0.0305/0.0357,0.0288/0.0288,0.0282/0.0378,0.0397/0.0339,0.0395/0.0395,0.0237/0.0261,0.0288/0.0288,0.0401/0.0401,0.0286/0.0401,,0.026055508450425553,0.06120212663195096,0.09600913310874522,0.21641659320254036,[0.0351466181815254],"[0.043723662737137195, 0.025890350216451342, 0.0351466181815254]","[0.08744732547427439, 0.058676031365215174, 0.0702932363630508]"
50%,"Hellinger
 distance",goout,0.2125/0.2125,0.1426/0.1199,0.2655/0.2655,0.1819/0.1819,0.2426/0.218,-,0.2029/0.2029,0.1699/0.1504,0.2134/0.2134,0.1625/0.1625,0.1478/0.1293,0.15/0.1071,0.1512/0.1158,0.1686/0.1686,0.151/0.1112,0.1946/0.1946,0.1751/0.1271,0.189/0.1635,0.1499/0.1499,0.1119/0.0904,0.1493/0.1493,0.1768/0.1768,0.1787/0.136,,0.16468363668157843,0.3332714892172417,0.5099135516694331,1.0633106758937558,[0.16858785253566325],"[0.2029073973456316, 0.15037672755875123, 0.16858785253566325]","[0.4058147946912632, 0.32032017613116626, 0.3371757050713265]"
50%,"Wasserstein
 distance",goout,0.0077/0.0077,0.0027/0.0077,0.0103/0.0103,0.0059/0.0059,0.013/0.0221,-,0.0072/0.0072,0.0056/0.0093,0.0092/0.0092,0.0056/0.0056,0.0028/0.0063,0.0042/0.0059,0.0036/0.0031,0.0041/0.0041,0.0057/0.0031,0.006/0.006,0.0069/0.0104,0.0056/0.0059,0.0043/0.0043,0.0066/0.0055,0.0063/0.0063,0.0052/0.0052,0.0084/0.0106,,0.0024696656193217903,0.019399675243004167,0.021252492847411812,0.03756565445618004,"[0.00724183652560965, 0.00561475869905365, 0.004073414399019075]","[0.00724183652560965, 0.00932039390786894, 0.004073414399019075]","[0.0144836730512193, 0.014935152606922589, 0.00814682879803815]"
50%,"Total variation
 distance",goout,0.1648/0.1648,0.0653/0.1198,0.2081/0.2081,0.1241/0.1241,0.1864/0.2991,-,0.14/0.14,0.0939/0.1462,0.1835/0.1835,0.1132/0.1132,0.0717/0.1099,0.0708/0.0957,0.0704/0.0859,0.1069/0.1069,0.0867/0.0764,0.1164/0.1164,0.1032/0.175,0.1044/0.1193,0.0864/0.0864,0.1069/0.0968,0.1177/0.1177,0.1161/0.1161,0.1231/0.121,,0.05330818139506009,0.25416151299464623,0.3503040997395436,1.127166228629827,"[0.0939414202354597, 0.10691191136412645]","[0.14003588685147947, 0.14619070687377478, 0.10691191136412645]","[0.4201076605544384, 0.38632283398300926, 0.3207357340923793]"
50%,"Jensen-Shannon
 divergence",goout,0.0658/0.0658,0.0333/0.0398,0.0763/0.0763,0.0546/0.0546,0.0541/0.073,-,0.0599/0.0599,0.0457/0.0539,0.0669/0.0669,0.0441/0.0441,0.0377/0.0425,0.0398/0.036,0.0406/0.0409,0.051/0.051,0.041/0.0375,0.0442/0.0442,0.0411/0.0563,0.0512/0.0545,0.0446/0.0446,0.039/0.0362,0.0402/0.0402,0.0534/0.0534,0.0503/0.0463,,0.03467908963568789,0.13137326773319408,0.16543617040391148,0.3213925101970211,"[0.04565371474001654, 0.05104046335748964]","[0.05987834866057388, 0.053901171420877456, 0.05104046335748964]","[0.11975669732114776, 0.099554886160894, 0.10208092671497929]"
70%,"Hellinger
 distance",goout,0.2703/0.2703,0.1674/0.1692,0.323/0.323,0.21/0.21,0.2979/0.27,-,0.2379/0.2379,0.2087/0.1852,0.2629/0.2629,0.1984/0.1984,0.201/0.1666,0.2113/0.1783,0.2039/0.1707,0.2254/0.2254,0.1962/0.171,0.2392/0.2392,0.1943/0.1753,0.2335/0.1955,0.1999/0.1999,0.1631/0.1283,0.1951/0.1951,0.2061/0.2061,0.2063/0.1461,,0.22319995717568136,0.6865044557564471,0.7791263965633324,1.3205422315086661,"[0.2379448058253842, 0.2253596927553816]","[0.2379448058253842, 0.18524388161377042, 0.2253596927553816]","[0.4758896116507684, 0.39393323434713456, 0.4507193855107632]"
70%,"Wasserstein
 distance",goout,0.0127/0.0127,0.0036/0.0119,0.0158/0.0158,0.0073/0.0073,0.0221/0.0286,-,0.0093/0.0093,0.0073/0.0131,0.0143/0.0143,0.0079/0.0079,0.0039/0.0072,0.0062/0.0085,0.0023/0.0069,0.0075/0.0075,0.0069/0.0068,0.014/0.014,0.0072/0.014,0.0042/0.0114,0.006/0.006,0.0109/0.0117,0.0107/0.0107,0.0088/0.0088,0.0124/0.0104,,0.00407276147235624,0.01887661914630393,0.026429379648258484,0.05399473774250215,"[0.007320175212359841, 0.00748368246158785]","[0.009281501390697656, 0.0131441948255713, 0.00748368246158785]","[0.01856300278139531, 0.02046437003793114, 0.0149673649231757]"
70%,"Total variation
 distance",goout,0.2392/0.2392,0.0918/0.1743,0.3015/0.3015,0.1561/0.1561,0.2691/0.3941,-,0.1798/0.1798,0.129/0.2064,0.2603/0.2603,0.1532/0.1532,0.106/0.152,0.1129/0.1561,0.0932/0.1364,0.1782/0.1782,0.1226/0.134,0.2035/0.2035,0.115/0.2283,0.1215/0.1787,0.1312/0.1312,0.1655/0.1669,0.1855/0.1855,0.1586/0.1586,0.1652/0.1287,,0.08295108427905931,0.21197274394695018,0.42971471581266574,1.6161286436573192,[0.12902165966789086],"[0.17984760927726454, 0.2064098262085378, 0.17824816791351972]","[0.5395428278317936, 0.5418413120849664, 0.5347445037405592]"
70%,"Jensen-Shannon
 divergence",goout,0.0802/0.0802,0.0435/0.053,0.0926/0.0926,0.0636/0.0636,0.0668/0.0933,-,0.0706/0.0706,0.0548/0.065,0.0814/0.0814,0.0515/0.0515,0.0523/0.0567,0.0557/0.0592,0.0553/0.0587,0.0699/0.0699,0.0529/0.057,0.0612/0.0612,0.045/0.0698,0.0626/0.0631,0.0597/0.0597,0.0559/0.052,0.0601/0.0601,0.063/0.063,0.0572/0.0492,,0.04694049032597105,0.24223222637695202,0.2473180578769674,0.4007551351019926,"[0.07057184580662096, 0.05482280501331126, 0.06989708523104873]","[0.07057184580662096, 0.064994468013342, 0.06989708523104873]","[0.14114369161324192, 0.11981727302665325, 0.13979417046209747]"
10%,"Hellinger
 distance",reason,0.0971/0.0971,0.0459/0.109,0.1116/0.1116,0.088/0.088,0.087/0.1328,0.094/0.094,-,0.0247/0.0969,0.0841/0.0841,0.0807/0.0755,0.0518/0.0788,0.0445/0.1051,0.0485/0.1146,0.0863/0.0863,0.0288/0.0936,0.0867/0.0867,0.0369/0.1038,0.0436/0.1222,0.0717/0.0717,0.0296/0.0724,0.0728/0.0728,0.0747/0.0747,0.0337/0.1045,,0.1023308700938754,0.21336730828875022,0.24946426499275134,0.2942667897977519,"[0.024698104789842, 0.08633833340503283]","[0.09689201819784425, 0.08633833340503283]","[0.12159012298768625, 0.17267666681006566]"
10%,"Wasserstein
 distance",reason,0.0033/0.0033,0.0007/0.002,0.0029/0.0029,0.003/0.003,0.0041/0.0031,0.0034/0.0034,-,0.0007/0.003,0.0027/0.0027,0.0069/0.0028,0.0024/0.0009,0.002/0.0021,0.0014/0.0028,0.0024/0.0024,0.0006/0.0015,0.0028/0.0028,0.0007/0.0019,0.0023/0.0035,0.0021/0.0021,0.002/0.0025,0.0023/0.0023,0.0018/0.0018,0.0055/0.0031,,0.0011617148426303898,0.00424045862753953,0.005392305443003195,0.00846118120074561,"[0.0006896983838608, 0.00238904540104834]","[0.00299339201478813, 0.00238904540104834]","[0.00368309039864893, 0.00477809080209668]"
10%,"Total variation
 distance",reason,0.0601/0.0601,0.0147/0.0377,0.0527/0.0527,0.0418/0.0418,0.0533/0.0636,0.0452/0.0452,-,0.0087/0.0507,0.0411/0.0411,0.0644/0.0381,0.033/0.0189,0.0252/0.0392,0.0228/0.0478,0.0416/0.0416,0.0127/0.0322,0.0423/0.0423,0.0125/0.0352,0.0287/0.0503,0.0315/0.0315,0.0262/0.0385,0.0326/0.0326,0.0305/0.0305,0.0561/0.0424,,0.021740913295018892,0.07197646013140643,0.09298475758700245,0.2347398303315466,"[0.00865702592207759, 0.041578520914309955]","[0.050673620833269574, 0.041578520914309955]","[0.11000426758861673, 0.12473556274292986]"
10%,"Jensen-Shannon
 divergence",reason,0.0297/0.0297,0.0123/0.0236,0.0313/0.0313,0.0246/0.0246,0.0258/0.0288,0.0263/0.0263,-,0.0069/0.0254,0.0214/0.0214,0.0247/0.0191,0.0171/0.016,0.0156/0.026,0.0161/0.0297,0.0237/0.0237,0.0095/0.0238,0.0216/0.0216,0.0097/0.0225,0.0157/0.0306,0.0194/0.0194,0.0124/0.0194,0.019/0.019,0.0217/0.0217,0.0161/0.0261,,0.01995431427822661,0.050544574609419426,0.059816469114326046,0.07972430967219887,"[0.00685776934554323, 0.02373249098564959]","[0.025401558355356457, 0.02373249098564959]","[0.03225932770089969, 0.04746498197129918]"
30%,"Hellinger
 distance",reason,0.2028/0.2028,0.0769/0.1887,0.2142/0.2142,0.1674/0.1674,0.1574/0.2312,0.14/0.14,-,0.0999/0.1862,0.1873/0.1873,0.1573/0.1521,0.0867/0.1824,0.1009/0.1676,0.0954/0.1901,0.1682/0.1682,0.0886/0.1805,0.1809/0.1809,0.1148/0.1746,0.1233/0.2236,0.1534/0.1534,0.0651/0.1318,0.1483/0.1483,0.1607/0.1607,0.0876/0.1713,,0.18745145466263358,0.2873143914627345,0.41459138723222666,0.62249664392656,[0.09986293680010094],"[0.18620014955171146, 0.16821677878737382]","[0.28606308635181243, 0.33643355757474763]"
30%,"Wasserstein
 distance",reason,0.0069/0.0069,0.0028/0.0072,0.0082/0.0082,0.0054/0.0054,0.011/0.012,0.0037/0.0037,-,0.0041/0.0058,0.0074/0.0074,0.0133/0.0092,0.0059/0.004,0.0043/0.0043,0.0037/0.0039,0.0066/0.0066,0.0035/0.0044,0.0052/0.0052,0.0068/0.005,0.0029/0.0065,0.0046/0.0046,0.006/0.0062,0.0048/0.0048,0.004/0.004,0.0075/0.0032,,0.00278288325690205,0.00691575775427194,0.011043081467698,0.02307709908913582,[0.00413287449736989],"[0.00583081925667809, 0.0065567026675439205]","[0.00996369375404798, 0.013113405335087841]"
30%,"Total variation
 distance",reason,0.1482/0.1482,0.0495/0.1227,0.1465/0.1465,0.0993/0.0993,0.139/0.1645,0.0733/0.0733,-,0.0652/0.1112,0.1384/0.1384,0.1526/0.1263,0.077/0.0953,0.063/0.0807,0.0625/0.0876,0.1136/0.1136,0.0591/0.0948,0.1352/0.1352,0.1157/0.0869,0.0788/0.1227,0.0817/0.0817,0.0684/0.1033,0.0836/0.0836,0.0897/0.0897,0.0858/0.0773,,0.05798068370704643,0.12315314427252255,0.20298755864300905,0.6284671530486623,[0.06517246056547613],"[0.11122917543616118, 0.11361211387028794]","[0.28763081143779845, 0.34083634161086385]"
30%,"Jensen-Shannon
 divergence",reason,0.0628/0.0628,0.0249/0.0492,0.0602/0.0602,0.0487/0.0487,0.0436/0.0527,0.041/0.041,-,0.0331/0.0488,0.0551/0.0551,0.0479/0.0423,0.0301/0.0437,0.0344/0.0416,0.033/0.0487,0.0501/0.0501,0.0316/0.0465,0.0497/0.0497,0.0395/0.0393,0.044/0.0568,0.0444/0.0444,0.0282/0.041,0.0388/0.0388,0.0465/0.0465,0.0311/0.0424,,0.0374573363179589,0.07056118121433042,0.10347258236306062,0.1821356256638641,[0.03310384489637152],"[0.04882151362017126, 0.05010513357366066]","[0.08192535851654278, 0.10021026714732131]"
