"Swap 
 Percentage",Measurement,Feature,Saving,Age,Credit,Purpose,Checking,Sex,Job,Housing,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
30%,"Hellinger
 distance",Sex,0.0464/0.0464,-,0.0601/0.0601,0.0109/0.0109,0.0851/0.0545,-,0.0528/0.0489,0.0686/0.0151,,0.05867437459618672,0.05867437459618672,0.17661343444595998,0.5596800183056637,[],"[0.0463911683690816, 0.060050252033759764, 0.010902270912823244, 0.054534989245624464, 0.04887065604909662, 0.015128783089160784]","[0.0927823367381632, 0.12010050406751953, 0.02180454182564649, 0.13958768201978305, 0.10162718249841599, 0.08377777115613545]"
30%,"Wasserstein
 distance",Sex,0.0091/0.0091,-,0.0077/0.0077,0.0015/0.0015,0.0106/0.0176,-,0.0068/0.0065,0.0113/0.0023,,0.0043325284162790256,0.0043325284162790256,0.026673134226144188,0.09179105992362438,[],"[0.009146098397154414, 0.007687366967211046, 0.0014791550458138777, 0.01760518443118039, 0.006461157292097031, 0.002302249486273572]","[0.018292196794308827, 0.015374733934422092, 0.0029583100916277553, 0.02825143830699859, 0.013298886560146994, 0.013615494236120126]"
30%,"Total variation
 distance",Sex,0.0835/0.0835,-,0.1108/0.1108,0.0178/0.0178,0.1467/0.1602,-,0.0818/0.0773,0.1398/0.0424,,0.05939989503960089,0.05939989503960089,0.3053670979130463,1.5642777680885782,[],"[0.08346222132986839, 0.11075036075036074, 0.017807539682539678, 0.16019841269841267, 0.07727142684126487, 0.04244444444444444]","[0.2503866639896052, 0.33225108225108224, 0.05342261904761904, 0.46713781588781583, 0.23635970084736857, 0.2247198860650873]"
30%,"Jensen-Shannon
 divergence",Sex,0.0256/0.0256,-,0.036/0.036,0.006/0.006,0.0476/0.0382,-,0.0281/0.0262,0.0406/0.0107,,0.02473899576529642,0.02473899576529642,0.096108758052749,0.32661368015047115,[],"[0.02561179842965015, 0.03600456885489763, 0.006026543925657782, 0.03818396258892256, 0.026210706988316332, 0.01070194378746074]","[0.0512235968593003, 0.07200913770979527, 0.012053087851315564, 0.08573683797616083, 0.054311416005089805, 0.0512796037488094]"
50%,"Hellinger
 distance",Sex,0.0613/0.0613,-,0.0815/0.0815,0.0074/0.0074,0.121/0.078,-,0.0768/0.0737,0.0903/0.0444,,0.07907002114554143,0.07907002114554143,0.25224352701825836,0.7846961882541146,[],"[0.06127635307392799, 0.08153802206259567, 0.0074094314369526, 0.0779848711320878, 0.07371082719106775, 0.04442750684880213]","[0.12255270614785597, 0.16307604412519133, 0.0148188628739052, 0.19901489735441508, 0.1505198161947443, 0.13471386155800272]"
50%,"Wasserstein
 distance",Sex,0.0065/0.0097,-,0.0139/0.0139,0.0024/0.0024,0.0167/0.0194,-,0.0095/0.0132,0.0135/0.0082,,0.0035052215152508947,0.0035052215152508947,0.036888764638064876,0.12918825305063159,[],"[0.009729989728575838, 0.013856502207349816, 0.0023948224551272324, 0.019401729609087266, 0.013204080055621861, 0.008179962189865952]","[0.016278123594672837, 0.02771300441469963, 0.004789644910254465, 0.03608696859229393, 0.022667182468399782, 0.021653329070310944]"
50%,"Total variation
 distance",Sex,0.113/0.1164,-,0.1815/0.1815,0.0245/0.0245,0.2337/0.2202,-,0.1258/0.1295,0.191/0.1206,,0.07648304065215827,0.07648304065215827,0.4727792374330686,2.454598184911652,[],"[0.11642263517263517, 0.18146960678210675, 0.024479166666666663, 0.22019841269841267, 0.1294670166864439, 0.12055555555555555]","[0.3458895271395271, 0.5444088203463202, 0.07343749999999999, 0.6740537703037702, 0.38473633895460513, 0.4320722281674294]"
50%,"Jensen-Shannon
 divergence",Sex,0.0362/0.0338,-,0.0507/0.0507,0.006/0.006,0.0669/0.0526,-,0.0422/0.0391,0.0537/0.0324,,0.0330971718489723,0.0330971718489723,0.14039763535727368,0.47030351930644876,[],"[0.033753791700145114, 0.05074479876511201, 0.005985214955374673, 0.052626915179984926, 0.03908580090858753, 0.032404405507398544]","[0.06998071843881101, 0.10148959753022402, 0.011970429910749345, 0.1195066156141643, 0.08126973373553661, 0.0860864240769634]"
70%,"Hellinger
 distance",Sex,0.0882/0.0882,-,0.1233/0.1233,0.0188/0.0188,0.1526/0.0838,-,0.09/0.0824,0.1138/0.0515,,0.10409365359038034,0.10409365359038034,0.3280376298567944,1.0345686103153362,[],"[0.08819426959284753, 0.12328496857947768, 0.018781233179257277, 0.08377199706047882, 0.08238629523970727, 0.05146918888105961]","[0.17638853918569505, 0.24656993715895537, 0.037562466358514554, 0.23639787685093488, 0.17233937787288595, 0.1653104128883504]"
70%,"Wasserstein
 distance",Sex,0.0146/0.0179,-,0.0252/0.0252,0.0042/0.0042,0.0245/0.0226,-,0.0143/0.0122,0.0159/0.0115,,0.00553180406093452,0.00553180406093452,0.05230566266592146,0.19210834805482263,[],"[0.01793327730999557, 0.025178221600188493, 0.004170255722513805, 0.022615720328192288, 0.01219131866967661, 0.011458923579407108]","[0.03250287842251351, 0.05035644320037699, 0.00834051144502761, 0.04709607597356782, 0.026447690181703943, 0.027364748831632767]"
70%,"Total variation
 distance",Sex,0.1839/0.1875,-,0.3361/0.3361,0.0545/0.0545,0.3245/0.2498,-,0.1689/0.1477,0.2473/0.1416,,0.10651546765498003,0.10651546765498003,0.6650660619762081,3.5494129880966123,[],"[0.18748354819783392, 0.33605023448773447, 0.05451770451770452, 0.24976190476190474, 0.14773224112172292, 0.14155555555555555]","[0.5588792160220732, 1.0081507034632033, 0.16355311355311355, 0.8240340909090909, 0.4643441412933835, 0.5304517228557476]"
70%,"Jensen-Shannon
 divergence",Sex,0.0511/0.0485,-,0.081/0.081,0.0141/0.0141,0.0837/0.0584,-,0.0512/0.0456,0.0684/0.0341,,0.04264978472370738,0.04264978472370738,0.18346024860586624,0.6311143739973007,[],"[0.04846496326284369, 0.08098857143308057, 0.014116825503100703, 0.058360837041959414, 0.04561736134777131, 0.03407236917556202]","[0.09954438356640936, 0.16197714286616113, 0.028233651006201406, 0.1420679371226269, 0.09683047350489202, 0.1024607859310099]"
10%,"Hellinger
 distance",Job,0.0268/0.019,-,0.0313/0.0291,0.0072/0.0067,0.0/0.0351,-,-,0.0/0.0277,,0.032930806386456,0.032930806386456,0.09175761480550929,0.18290429478414122,[],"[0.018983361348445426, 0.029131844559243628, 0.006735846760866, 0.03509388039787144, 0.02770868377168006]","[0.04574188275582585, 0.060395287500870934, 0.013964560357892928, 0.03509388039787144, 0.02770868377168006]"
10%,"Wasserstein
 distance",Job,0.0036/0.0008,-,0.0031/0.0029,0.0006/0.0006,0.0/0.0035,-,-,0.0/0.003,,0.0013852064140646952,0.0013852064140646952,0.0068160825418256115,0.018239877357751556,[],"[0.000813537444198527, 0.002896324865541214, 0.0005814732879997863, 0.003536094976351417, 0.0030343216814308865]","[0.0044502757036106, 0.006013691594407875, 0.0012054934019507767, 0.003536094976351417, 0.0030343216814308865]"
10%,"Total variation
 distance",Job,0.0361/0.0131,-,0.0415/0.0386,0.0076/0.0071,0.0/0.046,-,-,0.0/0.0382,,0.017672717443451808,0.017672717443451808,0.0891802748642318,0.37119410143920084,[],"[0.013071667492399196, 0.038572011767198926, 0.007106088356088355, 0.046017501017501, 0.038247846208372516]","[0.062219800444003784, 0.1186053837905931, 0.021838222752856896, 0.092035002035002, 0.07649569241674503]"
10%,"Jensen-Shannon
 divergence",Job,0.0126/0.0068,-,0.015/0.014,0.0035/0.0032,0.0/0.0172,-,-,0.0/0.0139,,0.011168981747403514,0.011168981747403514,0.038694731768285175,0.08614454578477462,[],"[0.006837807587649038, 0.013957454217966044, 0.0032217729277147886, 0.01717773811054065, 0.013856727197892797]","[0.019469510920560974, 0.028961284217834907, 0.006679285337945293, 0.01717773811054065, 0.013856727197892797]"
30%,"Hellinger
 distance",Job,0.0444/0.0379,-,0.0749/0.0676,0.0257/0.0239,0.0/0.0827,-,-,0.0123/0.0534,,0.0758394394775339,0.0758394394775339,0.20858808994996503,0.42287452132464987,[],"[0.03791971973876695, 0.06757650469958763, 0.023927645725821435, 0.08266844816229192, 0.053404982618394305]","[0.08233874045833202, 0.142507202893276, 0.049606094797434684, 0.08266844816229192, 0.06575403501331531]"
30%,"Wasserstein
 distance",Job,0.0048/0.0051,-,0.0114/0.0105,0.0027/0.0025,0.0/0.0093,-,-,0.0055/0.004,,0.004876434694727457,0.004876434694727457,0.020605552780626007,0.05585937541034668,[],"[0.005086454941097447, 0.010474130767010488, 0.0025306406111380727, 0.009327517096037958, 0.00403949275651314]","[0.00989335703201312, 0.02190215723238828, 0.00524645004748137, 0.009327517096037958, 0.009489894002425956]"
30%,"Total variation
 distance",Job,0.0579/0.0438,-,0.1426/0.1306,0.0393/0.0367,0.0/0.1251,-,-,0.05/0.0685,,0.07607801590863464,0.07607801590863464,0.27836968199673406,1.0990111027276273,[],"[0.043757072564845664, 0.13062614468864467, 0.03665056534374716, 0.1250520612285318, 0.0684974883504295]","[0.14540308981162242, 0.40387546904315186, 0.11263344471493028, 0.2501041224570636, 0.18699497670085902]"
30%,"Jensen-Shannon
 divergence",Job,0.0209/0.0145,-,0.0431/0.0392,0.0141/0.0131,0.0/0.042,-,-,0.0109/0.0257,,0.029837258021115594,0.029837258021115594,0.09705949344533968,0.22350297994698953,[],"[0.01447768109397313, 0.03916826669995859, 0.013140752017107694, 0.041972586570665486, 0.025685184466743276]","[0.03536527075812381, 0.08229025607881671, 0.027243022474491563, 0.041972586570665486, 0.03663184406489195]"
50%,"Hellinger
 distance",Job,0.0704/0.058,-,0.0909/0.0792,0.0337/0.0291,0.0/0.0894,-,-,0.0141/0.0696,,0.09775402495217633,0.09775402495217633,0.2604697142856077,0.5344930394772048,[],"[0.05803342457783007, 0.07924537048071753, 0.029131844559243628, 0.0893819725234944, 0.06963876652557714]","[0.12844783681912314, 0.17010640217207768, 0.06280485869987992, 0.0893819725234944, 0.08375196926262972]"
50%,"Wasserstein
 distance",Job,0.0104/0.0099,-,0.0113/0.0102,0.0063/0.0056,0.0/0.0106,-,-,0.0044/0.0068,,0.006485684353861175,0.006485684353861175,0.027989986939421216,0.07549395279448841,[],"[0.009850840632201081, 0.010245609736132437, 0.005581624692492729, 0.010565196311847621, 0.00676533379844621]","[0.0202978598752074, 0.02156788621681117, 0.011866166681213425, 0.010565196311847621, 0.01119684370940879]"
50%,"Total variation
 distance",Job,0.1285/0.0943,-,0.1892/0.1695,0.073/0.0647,0.0/0.1576,-,-,0.0536/0.1152,,0.11860459178363912,0.11860459178363912,0.4192511791804436,1.6468242252870229,[],"[0.09431365921115221, 0.16946248196248195, 0.06467352092352091, 0.1576257212286624, 0.11521779146779146]","[0.3171611150033961, 0.5280949741315595, 0.20230968218773093, 0.3152514424573248, 0.28400701150701146]"
50%,"Jensen-Shannon
 divergence",Job,0.0391/0.0276,-,0.0539/0.0475,0.0211/0.0184,0.0/0.0474,-,-,0.0119/0.0358,,0.04286786987625388,0.04286786987625388,0.13119314937804252,0.3027249732252166,[],"[0.027553324430424506, 0.0475386811586272, 0.018432687973348325, 0.0473677721559879, 0.03575809328518935]","[0.06669086934306893, 0.10146993140135269, 0.03957551157314745, 0.0473677721559879, 0.04762088875165961]"
70%,"Hellinger
 distance",Job,0.081/0.0663,-,0.1208/0.0949,0.0535/0.0387,0.0258/0.1044,-,-,0.026/0.0679,,0.11862175905546304,0.11862175905546304,0.30467406551356085,0.679218938651205,[],"[0.06626865865006283, 0.09487344652637669, 0.038667336651906005, 0.10441614840769811, 0.067879022680152]","[0.1472535819668798, 0.21571586565499068, 0.09218437946666685, 0.13018808384057673, 0.09387702772209094]"
70%,"Wasserstein
 distance",Job,0.012/0.0098,-,0.0194/0.0191,0.01/0.0078,0.0162/0.0088,-,-,0.0101/0.0043,,0.007133826485561152,0.007133826485561152,0.03203700527077806,0.11753266657990427,[],"[0.009820600367247068, 0.019090442739175695, 0.007768666578473411, 0.008789051345406536, 0.004337596540131113]","[0.02183421378956437, 0.038525964288901704, 0.017763325176112885, 0.02494119695068557, 0.014467966374639745]"
70%,"Total variation
 distance",Job,0.1731/0.1347,-,0.2929/0.2454,0.1221/0.0919,0.1232/0.1841,-,-,0.093/0.0982,,0.14475351505586936,0.14475351505586936,0.52184647542928,2.3126170411849802,[],"[0.13468415745278994, 0.24536552462688824, 0.09187581598295884, 0.18405534008475183, 0.09820508259943243]","[0.4424867956865993, 0.7836199015938482, 0.3058186365987118, 0.4912990859666051, 0.2893926213392157]"
70%,"Jensen-Shannon
 divergence",Job,0.0448/0.0334,-,0.0725/0.0573,0.0349/0.0259,0.0261/0.0544,-,-,0.0225/0.0297,,0.05051191515148241,0.05051191515148241,0.15083605417098334,0.4014281487873729,[],"[0.033365410622465515, 0.05729904469112645, 0.025850874737316714, 0.05439407029785256, 0.029738877690240636]","[0.0781366639304194, 0.12980333226246793, 0.06075676020055458, 0.08049910719894135, 0.052232285194989576]"
10%,"Hellinger
 distance",Housing,0.0178/0.0261,-,0.027/0.0378,0.0051/0.0082,0.0152/0.0391,-,-,-,,0.037022922374001774,0.037022922374001774,0.041139273172308775,0.013342654311753724,[],[0.008232701596614],[0.013342654311753724]
10%,"Wasserstein
 distance",Housing,0.003/0.0019,-,0.0057/0.0044,0.0009/0.0009,0.0049/0.0041,-,-,-,,0.0026218738318320865,0.0026218738318320865,0.0030953478183248597,0.0018705627653963863,[],[0.0009469479729855467],[0.0018705627653963863]
10%,"Total variation
 distance",Housing,0.0327/0.0234,-,0.0656/0.059,0.0107/0.0119,0.051/0.0521,-,-,-,,0.032772470907145815,0.032772470907145815,0.03872854778234033,0.03454490873862069,[],[0.011912153750389039],[0.03454490873862069]
10%,"Jensen-Shannon
 divergence",Housing,0.0101/0.0104,-,0.018/0.0204,0.0034/0.0044,0.0127/0.0194,-,-,-,,0.014724755383630191,0.014724755383630191,0.016921094946278945,0.007752321973071745,[],[0.00439267912529751],[0.007752321973071745]
30%,"Hellinger
 distance",Housing,0.0409/0.0484,-,0.0488/0.0713,0.0071/0.0082,0.0358/0.0815,-,-,-,,0.07916297995115262,0.07916297995115262,0.08327933074945962,0.015289302965140285,[],[0.008232701596614],[0.015289302965140285]
30%,"Wasserstein
 distance",Housing,0.0089/0.0059,-,0.0083/0.0083,0.0015/0.0013,0.013/0.0083,-,-,-,,0.009508686825019864,0.009508686825019864,0.010151235226845716,0.0027620956467748906,[],[0.001285096803651705],[0.0027620956467748906]
30%,"Total variation
 distance",Housing,0.0911/0.0676,-,0.1045/0.1123,0.0172/0.0159,0.1407/0.1213,-,-,-,,0.13260195154003201,0.13260195154003201,0.14057318169876218,0.04905116213151926,[],[0.015942460317460314],[0.04905116213151926]
30%,"Jensen-Shannon
 divergence",Housing,0.0261/0.0229,-,0.0295/0.037,0.0048/0.005,0.0333/0.041,-,-,-,,0.04158792297783079,0.04158792297783079,0.044093584080784315,0.009828518002037549,[],[0.005011322205907055],[0.009828518002037549]
50%,"Hellinger
 distance",Housing,0.0603/0.0757,-,0.0547/0.0821,0.0104/0.0171,0.0607/0.1127,-,-,-,,0.09680912007859023,0.09680912007859023,0.10538283134083304,0.027546624541261208,[],[0.01714742252448563],[0.027546624541261208]
50%,"Wasserstein
 distance",Housing,0.0121/0.0099,-,0.0109/0.0111,0.0016/0.0025,0.0174/0.0094,-,-,-,,0.00927012103283734,0.00927012103283734,0.010536520390409723,0.0041325077679262665,[],[0.002532798715144765],[0.0041325077679262665]
50%,"Total variation
 distance",Housing,0.1442/0.1159,-,0.1304/0.1591,0.0222/0.0323,0.2232/0.1775,-,-,-,,0.15296121460413423,0.15296121460413423,0.16911645982187945,0.08680491292333395,[],[0.032310490435490426],[0.08680491292333395]
50%,"Jensen-Shannon
 divergence",Housing,0.0397/0.0357,-,0.0359/0.0462,0.0064/0.0101,0.0526/0.0569,-,-,-,,0.0474922546546953,0.0474922546546953,0.05253578132313604,0.016521179458808967,[],[0.010087053336881481],[0.016521179458808967]
70%,"Hellinger
 distance",Housing,0.0673/0.0809,-,0.0862/0.1103,0.0278/0.0227,0.0678/0.1308,-,-,-,,0.12157452478563784,0.12157452478563784,0.13292768088640589,0.050552198520259474,[],[0.022706312201536103],[0.050552198520259474]
70%,"Wasserstein
 distance",Housing,0.0115/0.0101,-,0.0241/0.02,0.0084/0.005,0.0198/0.0125,-,-,-,,0.010261697947763087,0.010261697947763087,0.012739023857189006,0.01333302385994663,[],[0.004954651818851836],[0.01333302385994663]
70%,"Total variation
 distance",Housing,0.1615/0.1351,-,0.2453/0.2638,0.1047/0.0685,0.2553/0.2297,-,-,-,,0.2161109436372594,0.2161109436372594,0.2503591459998685,0.24173182043944755,[],[0.06849640472521829],[0.24173182043944755]
70%,"Jensen-Shannon
 divergence",Housing,0.0424/0.038,-,0.057/0.0665,0.0244/0.0181,0.0571/0.065,-,-,-,,0.06322889297782042,0.06322889297782042,0.07228609434279931,0.04246778472699521,[],[0.01811440272995778],[0.04246778472699521]
