"Swap 
 Percentage",Measurement,Feature,Saving,Age,Credit,Purpose,Checking,Sex,Job,Housing,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Total variation
 distance",Age,0.0378/0.0283,-,0.0392/0.0392,0.0167/0.0167,0.0417/0.0434,0.0475/0.0275,0.0276/0.0283,0.0332/0.0278,,0.042841909737336425,0.042841909737336425,0.13466435865261112,0.5634003107291408,[],"[0.028290645647456775, 0.03921609640359639, 0.016729837768440704, 0.04337320087320086, 0.028276886806094876, 0.027758230331759736]","[0.09433139640182978, 0.11764828921078918, 0.05018951330532211, 0.12841306841306838, 0.08410561203864117, 0.08871243135949017]"
10%,"Jensen-Shannon
 divergence",Age,0.0139/0.0117,-,0.0146/0.0146,0.006/0.006,0.0102/0.0175,0.0119/0.0115,0.0129/0.0133,0.0083/0.013,,0.022769161231192676,0.022769161231192676,0.06076558164092975,0.1418111617311624,[],"[0.011734180261632336, 0.014603441219165385, 0.0059596212766798076, 0.017470668835821913, 0.013251975674636601, 0.01297295355153811]","[0.02558948722578373, 0.02920688243833077, 0.011919242553359615, 0.027702987913314873, 0.0261641571012056, 0.021228404499167814]"
30%,"Hellinger
 distance",Age,0.069/0.0625,-,0.0712/0.0688,0.0448/0.0448,0.0509/0.0607,0.0485/0.0956,0.0717/0.0773,0.0373/0.0627,,0.13532434912092728,0.13532434912092728,0.323734740667756,0.7217970735625364,[],"[0.06254409543992626, 0.06875555919475504, 0.0448178338953003, 0.060720432589959614, 0.07730461552491037, 0.06267824644880578]","[0.13153429893915505, 0.13998092886849428, 0.0896356677906006, 0.11157811216519567, 0.14904466195854543, 0.1000234038405453]"
30%,"Wasserstein
 distance",Age,0.0093/0.0095,-,0.0122/0.012,0.0063/0.0063,0.0249/0.0052,0.0117/0.008,0.0103/0.011,0.0131/0.0057,,0.00933191292363152,0.00933191292363152,0.03420463152976568,0.12596940790571376,[],"[0.009522993092981675, 0.011993096427602743, 0.006285513437396551, 0.005239956535449447, 0.010954611483241623, 0.005749266235596289]","[0.018843963591520244, 0.024217033378561792, 0.012571026874793102, 0.030187221666741842, 0.021262434429891296, 0.018887727964205472]"
30%,"Total variation
 distance",Age,0.1094/0.0864,-,0.1472/0.1444,0.0832/0.0832,0.2083/0.0801,0.1363/0.1139,0.1282/0.1359,0.1237/0.0907,,0.15384040437770746,0.15384040437770746,0.4642081162387997,2.041491102001599,[],"[0.08639151143021111, 0.14439994033744033, 0.08320464257964258, 0.08007693695193693, 0.13594672286600606, 0.09071566955694743]","[0.2821475072636063, 0.436012321012321, 0.24961392773892774, 0.3684872072372072, 0.4000808509176933, 0.3051492878318436]"
30%,"Jensen-Shannon
 divergence",Age,0.0326/0.025,-,0.0434/0.0422,0.0262/0.0262,0.0462/0.0306,0.0362/0.0446,0.0377/0.0402,0.0325/0.0304,,0.05558877508938446,0.05558877508938446,0.15285942480130538,0.4130294818396172,[],"[0.025024145538421114, 0.04215392307051612, 0.0261953531974567, 0.030573261000627388, 0.040243987628882344, 0.03035062898793816]","[0.057602966901209154, 0.08553933949504178, 0.0523907063949134, 0.07676530974838705, 0.07791221201405651, 0.06281894728600934]"
50%,"Hellinger
 distance",Age,0.0842/0.0724,-,0.1129/0.1129,0.0535/0.0535,0.0602/0.1114,0.0641/0.1348,0.0961/0.1059,0.0445/0.0922,,0.16241395218693438,0.16241395218693438,0.4365751705164636,0.9996530905579301,[],"[0.07243314638491484, 0.11285703189087311, 0.05348832556722978, 0.11143123699376331, 0.1059425936426353, 0.09217010217964215]","[0.15665253159450346, 0.22571406378174622, 0.10697665113445956, 0.17166309723547077, 0.20199443722767402, 0.13665230958407606]"
50%,"Wasserstein
 distance",Age,0.0143/0.0089,-,0.0147/0.0147,0.011/0.011,0.023/0.0126,0.014/0.0116,0.0139/0.0192,0.0133/0.0104,,0.008987494254670065,0.008987494254670065,0.04737098153613266,0.16701150142718862,[],"[0.00885463595465688, 0.014690496304874285, 0.010996773909075646, 0.012617008262441255, 0.019185712134233195, 0.010422347997643935]","[0.023163881959277474, 0.02938099260974857, 0.021993547818151292, 0.035602128945205036, 0.03311608212639097, 0.02375486796841529]"
50%,"Total variation
 distance",Age,0.1634/0.1157,-,0.2332/0.2332,0.1156/0.1156,0.2366/0.2046,0.2089/0.1998,0.1863/0.2119,0.1555/0.1653,,0.2047431551114415,0.2047431551114415,0.727904348344778,3.1833283139369946,[],"[0.11565810381179203, 0.23324834887334886, 0.11560678904428903, 0.2045582331611743, 0.21193399883802358, 0.1653169127380454]","[0.39472205918312386, 0.6997450466200466, 0.3468203671328671, 0.6457236091794915, 0.6101889008508692, 0.48612833097059627]"
50%,"Jensen-Shannon
 divergence",Age,0.045/0.0347,-,0.0666/0.0666,0.0334/0.0334,0.0539/0.0599,0.0529/0.0659,0.0513/0.0547,0.0365/0.0473,,0.06920557335891189,0.06920557335891189,0.21751059496806796,0.5833809814442648,[],"[0.03472162183365801, 0.06664979654733669, 0.033426876572527145, 0.059869001803034234, 0.05468340709113415, 0.047259339370621885]","[0.07968726082064367, 0.13329959309467337, 0.06685375314505429, 0.11381313152769201, 0.1059566214701019, 0.08377062138609945]"
70%,"Hellinger
 distance",Age,0.1222/0.108,-,0.1418/0.1322,0.0799/0.0764,0.0683/0.1275,0.076/0.1735,0.1204/0.1283,0.0813/0.1054,,0.19981647414381115,0.19981647414381115,0.5387369593834805,1.291753452828325,[],"[0.10804067829012809, 0.13217165037186862, 0.07643126199947864, 0.12746980806806057, 0.1283372747946985, 0.1053902969551044]","[0.23020390954526251, 0.27397304113453347, 0.15635536347482792, 0.19579039903139348, 0.24876883985039086, 0.18666189979191677]"
70%,"Wasserstein
 distance",Age,0.0229/0.021,-,0.0217/0.025,0.0197/0.0262,0.0297/0.0151,0.0231/0.0158,0.0183/0.0217,0.0289/0.0108,,0.014513806649282479,0.014513806649282479,0.07443796878476472,0.26098444633852835,[],"[0.021041840582190083, 0.025015079246685522, 0.026208870303186887, 0.015063932906475203, 0.021746599643055975, 0.01077200158937079]","[0.043900481579684444, 0.046709606349707236, 0.045958236501217664, 0.04472968825922927, 0.04000694131945781, 0.03967949232923192]"
70%,"Total variation
 distance",Age,0.2819/0.2312,-,0.3441/0.3318,0.2021/0.2097,0.2773/0.2414,0.2461/0.2805,0.2759/0.2887,0.3003/0.192,,0.27150801535800057,0.27150801535800057,1.018844940727865,4.670908662189996,[],"[0.23118276005756655, 0.3317798867798868, 0.2097102203352203, 0.2413544557294557, 0.288696184947407, 0.1919503428901925]","[0.744242724617144, 1.0076376401376401, 0.6215264943389942, 0.759983571322857, 0.853297033172463, 0.6842211986008978]"
70%,"Jensen-Shannon
 divergence",Age,0.0698/0.0549,-,0.088/0.0813,0.0493/0.0442,0.0592/0.0653,0.062/0.0816,0.0722/0.0728,0.0699/0.054,,0.08196257600611713,0.08196257600611713,0.2681591028885984,0.7806948290106626,[],"[0.05493458998204288, 0.08127746526177702, 0.04419300055602249, 0.06526955899101969, 0.07275367044138577, 0.053964768532714646]","[0.12472118770222275, 0.16923368483659862, 0.09344746789218869, 0.1244445646118089, 0.14496756355729068, 0.12388036041055298]"
10%,"Hellinger
 distance",Credit,-,-,-,0.0233/0.0233,-,-,-,-,,0.06409005803033599,0.06409005803033599,0.07571571968420811,0.04650264661548849,[],[0.023251323307744244],[0.04650264661548849]
10%,"Wasserstein
 distance",Credit,-,-,-,0.0024/0.0024,-,-,-,-,,0.0044888482420694905,0.0044888482420694905,0.005675850432667223,0.0047480087623909305,[],[0.0023740043811954653],[0.0047480087623909305]
10%,"Total variation
 distance",Credit,-,-,-,0.0354/0.0354,-,-,-,-,,0.05867263251454426,0.05867263251454426,0.07636383020574194,0.1061471861471861,[],[0.03538239538239537],[0.1061471861471861]
10%,"Jensen-Shannon
 divergence",Credit,-,-,-,0.0131/0.0131,-,-,-,-,,0.026171541024214613,0.026171541024214613,0.03271198805670712,0.026161788129970043,[],[0.013080894064985022],[0.026161788129970043]
30%,"Hellinger
 distance",Credit,-,-,-,0.0423/0.0423,-,-,-,-,,0.1552769628492227,0.1552769628492227,0.17645097455738076,0.0846960468326322,[],[0.0423480234163161],[0.0846960468326322]
30%,"Wasserstein
 distance",Credit,-,-,-,0.0051/0.0051,-,-,-,-,,0.00897004151002875,0.00897004151002875,0.011515306986417851,0.010181061905556406,[],[0.005090530952778203],[0.010181061905556406]
30%,"Total variation
 distance",Credit,-,-,-,0.0745/0.0745,-,-,-,-,,0.16200262650146546,0.16200262650146546,0.1992422098347988,0.22343749999999996,[],[0.07447916666666665],[0.22343749999999996]
30%,"Jensen-Shannon
 divergence",Credit,-,-,-,0.0246/0.0246,-,-,-,-,,0.0648922001166536,0.0648922001166536,0.07720266871344192,0.049241874387153266,[],[0.024620937193576633],[0.049241874387153266]
50%,"Hellinger
 distance",Credit,-,-,-,0.0929/0.0929,-,-,-,-,,0.20699410572299634,0.20699410572299634,0.25345269243679824,0.18583434685520772,[],[0.09291717342760386],[0.18583434685520772]
50%,"Wasserstein
 distance",Credit,-,-,-,0.0125/0.0125,-,-,-,-,,0.01352383007654585,0.01352383007654585,0.019757284098860094,0.024933816089256974,[],[0.012466908044628489],[0.024933816089256974]
50%,"Total variation
 distance",Credit,-,-,-,0.2057/0.2057,-,-,-,-,,0.2654367772750125,0.2654367772750125,0.36826415822739345,0.6169642857142856,[],[0.2056547619047619],[0.6169642857142856]
50%,"Jensen-Shannon
 divergence",Credit,-,-,-,0.0576/0.0576,-,-,-,-,,0.08687626684095526,0.08687626684095526,0.11565397903498861,0.11511084877613342,[],[0.05755542438806671],[0.11511084877613342]
70%,"Hellinger
 distance",Credit,-,-,-,0.1078/0.1053,-,-,-,-,,0.23972116262101711,0.23972116262101711,0.2923640623962286,0.21304140957983017,[],[0.10528579955042298],[0.21304140957983017]
70%,"Wasserstein
 distance",Credit,-,-,-,0.0153/0.0149,-,-,-,-,,0.014524969184280239,0.014524969184280239,0.021962494416429182,0.030186133028268787,[],[0.014875050464297882],[0.030186133028268787]
70%,"Total variation
 distance",Credit,-,-,-,0.2753/0.2694,-,-,-,-,,0.33739619449178265,0.33739619449178265,0.47207129369813183,0.814002976190476,[],[0.26935019841269836],[0.814002976190476]
70%,"Jensen-Shannon
 divergence",Credit,-,-,-,0.0701/0.0684,-,-,-,-,,0.1041200461551959,0.1041200461551959,0.13832698150148903,0.13847965954740654,[],[0.06841387069258623],[0.13847965954740654]
10%,"Hellinger
 distance",Purpose,-,-,-,-,-,-,-,-,,0.019758483831873598,0.019758483831873598,0.019758483831873598,0,[],[],[]
10%,"Wasserstein
 distance",Purpose,-,-,-,-,-,-,-,-,,0.00123608493710337,0.00123608493710337,0.00123608493710337,0,[],[],[]
10%,"Total variation
 distance",Purpose,-,-,-,-,-,-,-,-,,0.015364912864912861,0.015364912864912861,0.015364912864912861,0,[],[],[]
10%,"Jensen-Shannon
 divergence",Purpose,-,-,-,-,-,-,-,-,,0.00812531762185479,0.00812531762185479,0.00812531762185479,0,[],[],[]
30%,"Hellinger
 distance",Purpose,-,-,-,-,-,-,-,-,,0.035299837252948205,0.035299837252948205,0.035299837252948205,0,[],[],[]
30%,"Wasserstein
 distance",Purpose,-,-,-,-,-,-,-,-,,0.002433856825945625,0.002433856825945625,0.002433856825945625,0,[],[],[]
30%,"Total variation
 distance",Purpose,-,-,-,-,-,-,-,-,,0.034392864080364065,0.034392864080364065,0.034392864080364065,0,[],[],[]
30%,"Jensen-Shannon
 divergence",Purpose,-,-,-,-,-,-,-,-,,0.01518646605440228,0.01518646605440228,0.01518646605440228,0,[],[],[]
