"Swap 
 Percentage",Measurement,Feature,race,sex,capital-loss,hours-per-week,age,capital-gain,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",race,-,0.0/0.0,0.0515/0.0515,0.1022/0.1022,-,0.0074/0.0074,,0.34273327610796744,0.34273327610796744,0.42332749330930836,0.3223768688053637,[],"[0.0, 0.05153227497584937, 0.10224672798987988, 0.0074094314369526]","[0.0, 0.10306454995169874, 0.20449345597975976, 0.0148188628739052]"
10%,"Wasserstein
 distance",race,-,0.0/0.0,0.0011/0.0011,0.0003/0.0003,-,0.0/0.0,,0.0009463341173454451,0.0009463341173454451,0.0016240732581178537,0.002710956563089635,[],"[0.0, 0.0010511831750933819, 0.0002693179493969171, 3.4977157054518534e-05]","[0.0, 0.0021023663501867637, 0.0005386358987938342, 6.995431410903707e-05]"
10%,"Total variation
 distance",race,-,0.0/0.0,0.0165/0.0165,0.0052/0.0052,-,0.0007/0.0007,,0.024499589049045065,0.024499589049045065,0.03572457172195411,0.06734989603745427,[],"[0.0, 0.016528365997947804, 0.0052478103318385275, 0.0006737890160317575]","[0.0, 0.04958509799384341, 0.015743430995515582, 0.002021367048095272]"
10%,"Jensen-Shannon
 divergence",race,-,0.0/0.0,0.0095/0.0095,0.007/0.007,-,0.0008/0.0008,,0.015635797144647745,0.015635797144647745,0.024302173167515526,0.03466550409147113,[],"[0.0, 0.009509260230175034, 0.007045847187337723, 0.0007776446282228075]","[0.0, 0.019018520460350068, 0.014091694374675445, 0.001555289256445615]"
30%,"Hellinger
 distance",race,-,0.0/0.0,0.1123/0.1123,0.1977/0.1977,-,0.0125/0.0125,,0.5710648367194945,0.5710648367194945,0.7323402102848894,0.6451014942615795,[],"[0.0, 0.11230273486445988, 0.19769839728485292, 0.012549614981476947]","[0.0, 0.22460546972891976, 0.39539679456970583, 0.025099229962953894]"
30%,"Wasserstein
 distance",race,-,0.0/0.0,0.0053/0.0053,0.0011/0.0011,-,0.0003/0.0003,,0.0027855962808519047,0.0027855962808519047,0.006094869017211436,0.013237090945438129,[],"[0.0, 0.005300687288221103, 0.001057051191464225, 0.0002608069930337362]","[0.0, 0.010601374576442207, 0.00211410238292845, 0.0005216139860674724]"
30%,"Total variation
 distance",race,-,0.0/0.0,0.0743/0.0743,0.02/0.02,-,0.0061/0.0061,,0.06738657165853099,0.06738657165853099,0.1175237146788292,0.30082285812178927,[],"[0.0, 0.0742552723290855, 0.019966339593903776, 0.006052674117607148]","[0.0, 0.2227658169872565, 0.05989901878171133, 0.018158022352821445]"
30%,"Jensen-Shannon
 divergence",race,-,0.0/0.0,0.0248/0.0248,0.0162/0.0162,-,0.0024/0.0024,,0.02573537847661649,0.02573537847661649,0.047473333359475386,0.0869518195314356,[],"[0.0, 0.024813887152842638, 0.016249764867916593, 0.00241225774495857]","[0.0, 0.049627774305685275, 0.032499529735833185, 0.00482451548991714]"
50%,"Hellinger
 distance",race,-,0.0/0.0,0.1414/0.1414,0.2442/0.2442,-,0.0196/0.0196,,0.7289197519809212,0.7289197519809212,0.9315066215660862,0.8103474783406601,[],"[0.0, 0.14138711443785773, 0.2441685608679832, 0.01961806386448916]","[0.0, 0.28277422887571546, 0.4883371217359664, 0.03923612772897832]"
50%,"Wasserstein
 distance",race,-,0.0/0.0,0.0115/0.0115,0.0018/0.0018,-,0.0002/0.0002,,0.00459974398155677,0.00459974398155677,0.01132362821341798,0.02689553692744484,[],"[0.0, 0.011506665368275652, 0.0017772116288997226, 0.00016389146654704497]","[0.0, 0.023013330736551305, 0.003554423257799445, 0.00032778293309408994]"
50%,"Total variation
 distance",race,-,0.0/0.0,0.1386/0.1386,0.0347/0.0347,-,0.0036/0.0036,,0.10421475993513016,0.10421475993513016,0.19265384448266942,0.5306345072852355,[],"[0.0, 0.1385602994948747, 0.03469851179011059, 0.0036193578100932227]","[0.0, 0.4156808984846241, 0.10409553537033177, 0.010858073430279669]"
50%,"Jensen-Shannon
 divergence",race,-,0.0/0.0,0.0355/0.0355,0.0233/0.0233,-,0.0027/0.0027,,0.03256185997778658,0.03256185997778658,0.06332002924955263,0.12303267708706421,[],"[0.0, 0.03549493143571572, 0.023305674025702668, 0.0027157330821137174]","[0.0, 0.07098986287143144, 0.046611348051405335, 0.005431466164227435]"
70%,"Hellinger
 distance",race,-,0.0/0.0,0.1768/0.1768,0.3045/0.3045,-,0.0282/0.0282,,0.865310906105516,0.865310906105516,1.1200932755540773,1.0191294777942457,[],"[0.0, 0.17679341134566856, 0.3045234115647307, 0.028247915986723583]","[0.0, 0.3535868226913371, 0.6090468231294613, 0.056495831973447166]"
70%,"Wasserstein
 distance",race,-,0.0/0.0,0.0196/0.0196,0.0036/0.0036,-,0.0007/0.0007,,0.006355603039073216,0.006355603039073216,0.018320614280571225,0.047860044965992034,[],"[0.0, 0.019635661571482298, 0.003635150201967685, 0.0006592107095460332]","[0.0, 0.039271323142964595, 0.00727030040393537, 0.0013184214190920663]"
70%,"Total variation
 distance",race,-,0.0/0.0,0.2153/0.2153,0.0689/0.0689,-,0.011/0.011,,0.137685216926205,0.137685216926205,0.28532213098049686,0.885821484325751,[],"[0.0, 0.21534963363223344, 0.06888310416323687, 0.011041090313113365]","[0.0, 0.6460489008967003, 0.2066493124897106, 0.033123270939340095]"
70%,"Jensen-Shannon
 divergence",race,-,0.0/0.0,0.0479/0.0479,0.0353/0.0353,-,0.0058/0.0058,,0.038406101641823696,0.038406101641823696,0.08289139190958678,0.1779411610710523,[],"[0.0, 0.04792476742519856, 0.03525194403379103, 0.005793869076536555]","[0.0, 0.09584953485039711, 0.07050388806758207, 0.01158773815307311]"
10%,"Hellinger
 distance",sex,-,-,0.0534/0.0534,0.1122/0.1122,-,0.0125/0.0125,,0.40184581315880596,0.40184581315880596,0.490916696756402,0.35628353439038407,[],"[0.05341972656925601, 0.11221352840389318, 0.012508512222042861]","[0.10683945313851202, 0.22442705680778635, 0.025017024444085722]"
10%,"Wasserstein
 distance",sex,-,-,0.0017/0.0017,0.0003/0.0003,-,0.0001/0.0001,,0.001599310944163285,0.001599310944163285,0.0026346386794526954,0.004141310941157643,[],"[0.0016847539879506345, 0.0003084898129238025, 7.74116697043844e-05]","[0.003369507975901269, 0.000616979625847605, 0.0001548233394087688]"
10%,"Total variation
 distance",sex,-,-,0.025/0.025,0.0061/0.0061,-,0.0017/0.0017,,0.04118733106720137,0.04118733106720137,0.05758952978197618,0.09841319228864887,[],"[0.025042369927163844, 0.006059827854593263, 0.0017021996477925125]","[0.07512710978149154, 0.01817948356377979, 0.005106598943377538]"
10%,"Jensen-Shannon
 divergence",sex,-,-,0.0125/0.0125,0.0078/0.0078,-,0.0016/0.0016,,0.017380224676773824,0.017380224676773824,0.028291846721653312,0.04364648817951795,[],"[0.012451617070165084, 0.007797885037478765, 0.0015737419821151301]","[0.024903234140330167, 0.01559577007495753, 0.0031474839642302603]"
30%,"Hellinger
 distance",sex,-,-,0.1047/0.1047,0.2122/0.2122,-,0.0142/0.0142,,0.6859879152820196,0.6859879152820196,0.8515404596779491,0.6622101775837179,[],"[0.10472508123669547, 0.21219157880581396, 0.014188428749349585]","[0.20945016247339093, 0.4243831576116279, 0.02837685749869917]"
30%,"Wasserstein
 distance",sex,-,-,0.0053/0.0053,0.0012/0.0012,-,0.0001/0.0001,,0.004724271524858665,0.004724271524858665,0.007978676830165553,0.013017621221227554,[],"[0.005250372598306364, 0.00117310477353054, 8.533323877687204e-05]","[0.010500745196612728, 0.00234620954706108, 0.0001706664775537441]"
