"Swap 
 Percentage",Measurement,Feature,priors_count,race,sex,age,c_charge_degree,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Jensen-Shannon
 divergence",race,0.032/0.0339,-,0.037/0.0367,0.0425/0.0637,0.0336/0.0334,,0.03804963395354217,0.03804963395354217,0.1218665322194176,0.31269657625868785,[],"[0.033881449802271854, 0.03667062933658727, 0.06366961235034135, 0.03341210504255036]","[0.06583424503894159, 0.07364564955023845, 0.1061903752703584, 0.06702630639914939]"
70%,"Hellinger
 distance",race,0.3349/0.3675,-,0.3793/0.3888,0.4545/0.7155,0.3543/0.3766,,0.41422174130846595,0.41422174130846595,1.3383906108501167,3.371420434797587,[],"[0.36748353765188896, 0.3887602846024344, 0.7154654744266995, 0.37662844240227855]","[0.7024009102341113, 0.768086108449125, 1.1700129336155694, 0.7309204824987816]"
70%,"Wasserstein
 distance",race,0.0044/0.0025,-,0.0037/0.0036,0.0038/0.0244,0.0043/0.0046,,0.00516551266046209,0.00516551266046209,0.022770965223696683,0.051407696090422304,[],"[0.002531503350572655, 0.003587205508444195, 0.02444777202973301, 0.004644424237719325]","[0.006949814275206335, 0.007261519179070395, 0.028294879041142102, 0.008901483595003472]"
70%,"Total variation
 distance",race,0.1045/0.1085,-,0.1139/0.1126,0.1337/0.3081,0.1161/0.1163,,0.13648731613726114,0.13648731613726114,0.4591911935359573,1.75902171855686,[],"[0.10848010853463834, 0.11259947850960819, 0.3080680159811328, 0.1162601517720129]","[0.3214241205284871, 0.3391217643962036, 0.749848578164265, 0.3486272554679041]"
70%,"Jensen-Shannon
 divergence",race,0.0376/0.0403,-,0.0426/0.0421,0.0516/0.0736,0.0402/0.0403,,0.04516530414534255,0.04516530414534255,0.1433211876236023,0.36838495362472606,[],"[0.040275600307694094, 0.042106348015547454, 0.07362014623541381, 0.04030967239786413]","[0.07791851680097353, 0.0847368582080816, 0.12518077634934138, 0.08054880226632954]"
10%,"Hellinger
 distance",sex,0.1473/0.1371,-,-,0.1402/0.2643,0.149/0.1523,,0.18908612297328858,0.18908612297328858,0.46596588618484297,0.990280198250403,[],"[0.13712568103746298, 0.26431595124378227, 0.15231789414186353]","[0.2844135962008989, 0.40455383803395417, 0.30131276401554996]"
10%,"Wasserstein
 distance",sex,0.0019/0.0007,-,-,0.001/0.0037,0.0018/0.0011,,0.0021391652353791547,0.0021391652353791547,0.004902908601253052,0.010273462402716212,[],"[0.00073473853985431, 0.0037160066201501704, 0.001076741571743315]","[0.0026550616111029003, 0.004751985607876851, 0.00286641518373646]"
10%,"Total variation
 distance",sex,0.0292/0.0177,-,-,0.0184/0.0589,0.0281/0.0216,,0.03458279829019856,0.03458279829019856,0.08368437203885362,0.27201793393804136,[],"[0.017701565967146234, 0.058921715256655974, 0.0215798662735079]","[0.06455919183819911, 0.13623623926790346, 0.07122250283193879]"
10%,"Jensen-Shannon
 divergence",sex,0.0182/0.0149,-,-,0.0163/0.0298,0.018/0.0164,,0.021460117590563106,0.021460117590563106,0.052029394853048264,0.11370469833648779,[],"[0.014934693114218276, 0.029836875907178845, 0.01636698550357319]","[0.03314390107940272, 0.046169741448587896, 0.034391055808497176]"
30%,"Hellinger
 distance",sex,0.2541/0.2421,-,-,0.2371/0.4488,0.2644/0.2619,,0.31996463792772006,0.31996463792772006,0.7964033160822321,1.7085262490673006,[],"[0.2421425357207227, 0.44880283412433003, 0.2619319864639713]","[0.4962897157506988, 0.6858589032594179, 0.5263776300571837]"
30%,"Wasserstein
 distance",sex,0.0051/0.0014,-,-,0.0029/0.0102,0.0052/0.0025,,0.005943549967473255,0.005943549967473255,0.01299277916251609,0.027364480890212758,[],"[0.0014044615249427799, 0.0101901918560843, 0.00250380500905859]","[0.0065154378435455795, 0.013131525853795145, 0.0077175171928720344]"
30%,"Total variation
 distance",sex,0.0754/0.0472,-,-,0.0515/0.1524,0.0774/0.0572,,0.09272351445986045,0.09272351445986045,0.2211395730043994,0.7180005362801596,[],"[0.04715198095517427, 0.15244299563763644, 0.057237140496267214]","[0.16967759882597572, 0.3564320000939608, 0.1918909373602231]"
30%,"Jensen-Shannon
 divergence",sex,0.0307/0.026,-,-,0.0283/0.0498,0.0314/0.0273,,0.03578163503735326,0.03578163503735326,0.08733369628678372,0.1934785553918545,[],"[0.026038043687787858, 0.04978682653517845, 0.027279252275894634]","[0.056755151083251125, 0.07804379443160687, 0.05867960987699651]"
50%,"Hellinger
 distance",sex,0.3263/0.3171,-,-,0.3197/0.5866,0.3464/0.3372,,0.4147933439531234,0.4147933439531234,1.0352739837341902,2.2333298962260653,[],"[0.31708857503559723, 0.5866401302322835, 0.33723257429425313]","[0.6433506232365019, 0.9063250523457731, 0.6836542206437899]"
50%,"Wasserstein
 distance",sex,0.0083/0.002,-,-,0.0049/0.0175,0.0086/0.0036,,0.010478000393238051,0.010478000393238051,0.02203023056795652,0.04491365491299164,[],"[0.00196852486564634, 0.017525387363844024, 0.00361054811994658]","[0.010261037415605835, 0.02245409005494561, 0.012198527442440195]"
50%,"Total variation
 distance",sex,0.1164/0.0789,-,-,0.0989/0.239,0.1237/0.0903,,0.1477435564393143,0.1477435564393143,0.35183932189280537,1.1553938067257143,[],"[0.07891486215041604, 0.23895513352019981, 0.09032153523636624]","[0.2742450836419237, 0.5768452160925517, 0.304303506991239]"
50%,"Jensen-Shannon
 divergence",sex,0.0392/0.0342,-,-,0.0391/0.0634,0.041/0.0351,,0.045971096617964155,0.045971096617964155,0.11229496352400516,0.2519027759510438,[],"[0.03417923822205105, 0.06340029084651645, 0.035068204743514506]","[0.0733648664822357, 0.1024787340282042, 0.07605917544060392]"
70%,"Hellinger
 distance",sex,0.3875/0.374,-,-,0.3792/0.6923,0.4014/0.3896,,0.49174369444697835,0.49174369444697835,1.21966867530631,2.6240522105470983,[],"[0.37395397941209757, 0.6922875228043459, 0.3896084595022197]","[0.7614974567355997, 1.0715300110704815, 0.7910247427410171]"
70%,"Wasserstein
 distance",sex,0.0116/0.0023,-,-,0.0061/0.0257,0.0125/0.0051,,0.01496223712645094,0.01496223712645094,0.03147939168762831,0.06320471030294103,[],"[0.0022995282563481553, 0.025662598749757643, 0.005072182116248944]","[0.013884365426501585, 0.031723417476040586, 0.017596927400398855]"
70%,"Total variation
 distance",sex,0.1523/0.1076,-,-,0.1326/0.3154,0.161/0.1209,,0.19319637021555708,0.19319637021555708,0.4651739276501278,1.5338197359403818,[],"[0.10757895944973461, 0.315446051907987, 0.12093010351141986]","[0.3675048491538203, 0.763457254174404, 0.40285763261215735]"
70%,"Jensen-Shannon
 divergence",sex,0.046/0.0406,-,-,0.0459/0.0735,0.0468/0.0407,,0.05404924236010766,0.05404924236010766,0.13144341760144382,0.2935604489387334,[],"[0.04060497029472752, 0.07348385823235797, 0.040699521955586834]","[0.08664058687460743, 0.11938835375889997, 0.08753150830522599]"
10%,"Hellinger
 distance",age,0.2472/0.1939,-,-,-,0.2428/0.1631,,0.25278612483616253,0.25278612483616253,0.43128290271157677,0.8470382179429613,[],"[0.19386682384715265, 0.16312673190367577]","[0.4410641754442006, 0.4059740424987607]"
10%,"Wasserstein
 distance",age,0.0045/0.0012,-,-,-,0.0037/0.0009,,0.004113815293910375,0.004113815293910375,0.005165014190972962,0.010304660431950049,[],"[0.001171974048679665, 0.00093042374544551]","[0.005646792588792655, 0.004657867843157395]"
10%,"Total variation
 distance",age,0.0617/0.0256,-,-,-,0.058/0.0218,,0.06008187965676688,0.06008187965676688,0.08376961446179024,0.2144199798424663,[],"[0.025598624166930328, 0.021776845443116373]","[0.11287350982262717, 0.10154647001983913]"
10%,"Jensen-Shannon
 divergence",age,0.0281/0.0204,-,-,-,0.0276/0.0179,,0.029226383032999893,0.029226383032999893,0.04840019484745841,0.09403306006140424,[],"[0.020433452315828535, 0.0179141713130885]","[0.04852806697213934, 0.04550499308926491]"
30%,"Hellinger
 distance",age,0.4256/0.3473,-,-,-,0.4169/0.2864,,0.4386232443289469,0.4386232443289469,0.7554842125452517,1.4762227447262153,[],"[0.34728955228586517, 0.2864323841467443]","[0.7729317592557154, 0.7032909854705]"
30%,"Wasserstein
 distance",age,0.0122/0.002,-,-,-,0.0098/0.0022,,0.011108076763504504,0.011108076763504504,0.013202406047581956,0.026185536592421337,[],"[0.001982399278498505, 0.0022062592896564]","[0.01420024988786618, 0.011985286704555155]"
30%,"Total variation
 distance",age,0.1595/0.0683,-,-,-,0.1456/0.0596,,0.15415946254213345,0.15415946254213345,0.21808463523133975,0.5607762552728406,[],"[0.06829939527377724, 0.05955095010463535]","[0.29608792932428074, 0.2646883259485598]"
30%,"Jensen-Shannon
 divergence",age,0.0477/0.0367,-,-,-,0.047/0.0321,,0.04867861864725048,0.04867861864725048,0.08305466984185161,0.16347480350338311,[],"[0.03665396830906272, 0.032098134080139534]","[0.08433109780375012, 0.07914370569963299]"
50%,"Hellinger
 distance",age,0.5532/0.4591,-,-,-,0.5505/0.3808,,0.5498740973659543,0.5498740973659543,0.9698291263809904,1.9435696338097557,[],"[0.45914621501897435, 0.380763843011098]","[1.0123232361099512, 0.9312463976998044]"
50%,"Wasserstein
 distance",age,0.0185/0.0024,-,-,-,0.0171/0.0026,,0.018267849782871826,0.018267849782871826,0.02078858360279017,0.04057638999840228,[],"[0.00240759560419256, 0.002633872035644135]","[0.020870515979260935, 0.019705874019141346]"
50%,"Total variation
 distance",age,0.2296/0.1112,-,-,-,0.2301/0.0945,,0.22502054347608066,0.22502054347608066,0.32783052132087054,0.8709714271041975,[],"[0.1111509383065223, 0.09446901738305749]","[0.4519317238127774, 0.41903970329142015]"
50%,"Jensen-Shannon
 divergence",age,0.0604/0.0485,-,-,-,0.0612/0.0421,,0.05936641430535826,0.05936641430535826,0.10469649198775852,0.21230492780512794,[],"[0.04854023047378882, 0.0421199248910117]","[0.10898390563119917, 0.10332102217392877]"
70%,"Hellinger
 distance",age,0.6511/0.5292,-,-,-,0.6393/0.426,,0.6519942415467517,0.6519942415467517,1.12956651971849,2.2455657639286315,[],"[0.5291842536104193, 0.42596030273305746]","[1.1803021085884806, 1.0652636553401509]"
70%,"Wasserstein
 distance",age,0.0267/0.0027,-,-,-,0.0223/0.0037,,0.025559655279931766,0.025559655279931766,0.028710818463258615,0.05529728541485293,[],"[0.0026503643437852, 0.0036519620228684948]","[0.02935016477724516, 0.02594712063760777]"
70%,"Total variation
 distance",age,0.2906/0.1525,-,-,-,0.284/0.1258,,0.28328864677492127,0.28328864677492127,0.42246329784088943,1.1312949637901477,[],"[0.15249952727311317, 0.1258497748588232]","[0.5956067167844199, 0.5356882470057279]"
70%,"Jensen-Shannon
 divergence",age,0.0682/0.0563,-,-,-,0.0686/0.0473,,0.06826043953386263,0.06826043953386263,0.12008200706447988,0.24042158056301155,[],"[0.05632033383456355, 0.04732280122667097]","[0.12450987210844783, 0.11591170845456372]"
10%,"Hellinger
 distance",c_charge_degree,0.1421/0.1489,-,-,-,-,,0.1624664210699853,0.1624664210699853,0.23689330947649853,0.2909960752325138,[],[0.14885377681302647],[0.2909960752325138]
