Feature,"Swap 
 Percentage",Metric,CDI,NDI,NII,Impact_Sum,AVERAGE,NDI2,NII2
sex,70%,"Hellinger
 distance(+)",0.49174369444697835,0,1.455849961718663,1.9475936561656415,0.6491978853885472
sex,70%,"Wasserstein
 distance(+)",0.01496223712645094,0,1.455849961718663,0.01496223712645094,0.015998848749601894
sex,70%,"Contingency
 coefficient(-)",0.35792343595789855,0,1.254598857751178,0.35792343595789855,0.5375074312363588
sex,70%,"Total variation
 distance(+)",0.19319637021555708,0,0.5439551148691415,0.19319637021555708,0.24571716169489952
sex,70%,"Jensen–Shannon
 divergence(+)",0.05404924236010766,0,0.1547883504826723,0.05404924236010766,0.06961253094759333
age,10%,"Hellinger
 distance(+)",0.25278612483616253,0,0.3569935557508284,0.609779680586991,0.20325989352899698
age,10%,"Wasserstein
 distance(+)",0.004113815293910375,0,0.3569935557508284,0.004113815293910375,0.0020720710293451834
age,10%,"Contingency
 coefficient(-)",0.6661419602352018,0,1.3671302700913457,0.6661419602352018,0.6777574101088492
age,10%,"Total variation
 distance(+)",0.06008187965676688,0,0.0473754696100467,0.06008187965676688,0.035819116422271195
age,10%,"Jensen–Shannon
 divergence(+)",0.029226383032999893,0,0.038347623628917034,0.029226383032999893,0.022524668887305643
age,30%,"Hellinger
 distance(+)",0.4386232443289469,0,0.6337219364326094,1.0723451807615563,0.35744839358718544
age,30%,"Wasserstein
 distance(+)",0.011108076763504504,0,0.6337219364326094,0.011108076763504504,0.005098911777219803
age,30%,"Contingency
 coefficient(-)",0.5603940984732743,0,1.2527197335278806,0.5603940984732743,0.6043712773337183
age,30%,"Total variation
 distance(+)",0.15415946254213345,0,0.12785034537841258,0.15415946254213345,0.09400326930684867
age,30%,"Jensen–Shannon
 divergence(+)",0.04867861864725048,0,0.06875210238920226,0.04867861864725048,0.03914357367881758
age,50%,"Hellinger
 distance(+)",0.5498740973659543,0,0.8399100580300723,1.3897841553960266,0.4632613851320089
age,50%,"Wasserstein
 distance(+)",0.018267849782871826,0,0.8399100580300723,0.018267849782871826,0.007769772474236173
age,50%,"Contingency
 coefficient(-)",0.4458825966707184,0,1.1292860036969348,0.4458825966707184,0.525056200122551
age,50%,"Total variation
 distance(+)",0.22502054347608066,0,0.2056199556895798,0.22502054347608066,0.14354683305522017
age,50%,"Jensen–Shannon
 divergence(+)",0.05936641430535826,0,0.09066015536480052,0.05936641430535826,0.050008856556719584
