"Swap 
 Percentage",Measurement,Feature,age,freetime,activities,romantic,famrel,goout,guardian,health,higher,internet,Pstatus,nursery,absences,Walc,Medu,Fjob,traveltime,famsup,studytime,sex,reason,schoolsup,paid,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",age,-,0.0398/0.0481,0.0471/0.01,0.0462/0.032,0.0405/0.0424,0.0325/0.0298,0.0502/0.0208,0.0497/0.0656,0.0289/0.1025,0.0419/0.013,0.032/0.0372,0.0312/0.0377,0.0462/0.0904,0.0355/0.0606,0.0346/0.1012,0.0497/0.0363,0.0471/0.0282,0.0457/0.0458,0.0545/0.0734,-,0.0346/0.0453,0.0367/0.0308,0.0457/0.0367,,0.04193215686577658,0.04193215686577658,0.5356695480276124,1.8577752589293242,[],"[0.048058043836911445, 0.009953146769184726, 0.03195812241576821, 0.04235732443254379, 0.029804377159165174, 0.020798404033551158, 0.06556887169215961, 0.10252662497442801, 0.012999002520969473, 0.037157723424156, 0.03765884182013587, 0.09043302073538198, 0.060610991110290065, 0.10119189842045137, 0.0362656129289743, 0.02815175029854199, 0.04578377670384757, 0.07344155633249776, 0.045271586054588316, 0.030751550802735884, 0.03673255585738879]","[0.08783645544608498, 0.057084904643349095, 0.07812181896553823, 0.08289625240715881, 0.062263617970913246, 0.07097601765950028, 0.11527954238969423, 0.1314388916384115, 0.05493115938674605, 0.06911584583992421, 0.0688564478704626, 0.136596717285152, 0.09611608767382289, 0.1357707090212371, 0.08597628362650893, 0.07528350817270636, 0.09149875030457055, 0.12792666047165296, 0.07985039665537406, 0.06748410666012468, 0.08247108484039159]"
10%,"Wasserstein
 distance",age,-,0.0016/0.001,0.0018/0.0,0.0013/0.0005,0.0008/0.0014,0.0012/0.0004,0.002/0.0003,0.0012/0.0013,0.0007/0.0026,0.0015/0.0005,0.0003/0.0014,0.0013/0.0006,0.0008/0.0019,0.0007/0.0012,0.0003/0.0024,0.0008/0.0004,0.0018/0.0005,0.0016/0.0008,0.002/0.0011,-,0.0005/0.0008,0.0006/0.0016,0.0009/0.0006,,0.0014894261153256315,0.0014894261153256315,0.012171408966946065,0.045179253510940445,[],"[0.0010346870126164737, 4.049833743092631e-05, 0.0004918321317102421, 0.0013500532573624475, 0.00044600663689579477, 0.0003490602155646053, 0.001280969183474795, 0.0026313422854199265, 0.00046168716891025786, 0.0014212717356985264, 0.0006005086543692895, 0.001939446067118042, 0.0011506352629098368, 0.002369666358204911, 0.00035069667403602107, 0.0005349382970866262, 0.0008023547159698947, 0.0010987397817245421, 0.0007540737802750473, 0.0016446496568320262, 0.0006108484896306316]","[0.002610729980243358, 0.0018891270977961208, 0.0018200673117417581, 0.0021952826669484737, 0.0016030720349039526, 0.0023806814635806686, 0.0024437152664560577, 0.003318413202308432, 0.0019511132842358894, 0.0017489279922698422, 0.0019279258481794317, 0.0027679719676359316, 0.0018022937907203633, 0.002691354438733774, 0.0011249743752240159, 0.0023835670574518207, 0.0023968772102789687, 0.0031066997025000626, 0.0012453272811218052, 0.002216113457056553, 0.0015550180815531735]"
10%,"Total variation
 distance",age,-,0.0256/0.0143,0.03/0.0017,0.0246/0.0074,0.0139/0.0241,0.0214/0.007,0.0312/0.0046,0.0245/0.0183,0.0088/0.0674,0.0255/0.0064,0.0064/0.0236,0.0224/0.0089,0.012/0.0305,0.0095/0.0198,0.0075/0.0451,0.014/0.0079,0.0299/0.0068,0.0278/0.0121,0.0321/0.0208,-,0.0084/0.0119,0.0095/0.0252,0.0151/0.01,,0.025495189033038386,0.025495189033038386,0.21247952728135153,1.1477034476082575,[],"[0.014297317804488799, 0.0017197109176373317, 0.007410120852612737, 0.024108134919376783, 0.007006482319240659, 0.004555966900043684, 0.018308191894204795, 0.06736732418064134, 0.006448220973178184, 0.02360133281537216, 0.008949304632598536, 0.030458572820091095, 0.01981259047864102, 0.04512996298802519, 0.007929242493082862, 0.006822855799503685, 0.012077546528512575, 0.020799224401341847, 0.011881048306904321, 0.025244647700975138, 0.010040876770153551]","[0.05416760294254945, 0.033393646059631195, 0.039374825744070724, 0.06211001930903913, 0.035368272126412505, 0.04034068996200395, 0.06116263907088275, 0.1435124026830992, 0.03839163097939475, 0.05355340331174152, 0.04031120139092528, 0.07287760636654751, 0.04908703344104013, 0.09771020971651273, 0.02985097953663609, 0.0435897867472944, 0.05199500151915766, 0.07366420625723208, 0.032137424339391735, 0.05993961549140997, 0.03516525061328466]"
10%,"Jensen-Shannon
 divergence",age,-,0.0108/0.0114,0.0134/0.0021,0.0121/0.0067,0.0096/0.0115,0.0092/0.0065,0.0142/0.0045,0.0129/0.0139,0.0062/0.0265,0.0112/0.0037,0.0067/0.0103,0.009/0.0081,0.0097/0.0203,0.0074/0.0146,0.0073/0.024,0.0116/0.0078,0.0134/0.0061,0.0121/0.0098,0.015/0.0157,-,0.0072/0.0096,0.0077/0.01,0.0108/0.0078,,0.011196292721417095,0.011196292721417095,0.12668238664750922,0.44854631524223154,[],"[0.01137218614524249, 0.002106291580854, 0.0066823842734286204, 0.0115429732761807, 0.006498985292070864, 0.0044979456028388055, 0.013929773667871131, 0.026462787321771646, 0.0037308498662120162, 0.010302901108318122, 0.008120822381741331, 0.020319433324453146, 0.014577301355073147, 0.02400218583066723, 0.00779977430205589, 0.006091924742832995, 0.009766896273895358, 0.015678023924756743, 0.00964079151281879, 0.01000907788143618, 0.007838878187665042]","[0.022148592616266605, 0.015543878450175748, 0.01879668948327355, 0.021182792307654436, 0.015693052027725425, 0.018694126014009244, 0.02678148925091981, 0.032637567439606135, 0.014927142587629111, 0.017011304937263685, 0.017087743080328968, 0.030036543928162233, 0.021997776121570594, 0.031281380739256674, 0.019389279211077984, 0.019530064611405065, 0.02190252294284775, 0.03068141752437369, 0.016883560385961595, 0.017691928653982874, 0.0186474629287403]"
30%,"Hellinger
 distance",age,-,0.1043/0.0926,0.1112/0.0566,0.0907/0.0625,0.0934/0.1013,0.0842/0.0883,0.0983/0.0438,0.1155/0.1356,0.0789/0.1878,0.1107/0.0386,0.0799/0.104,0.0799/0.0811,0.1264/0.1716,0.0909/0.1467,0.1005/0.1815,0.0894/0.1022,0.0914/0.0802,0.1184/0.083,0.1098/0.1083,-,0.1026/0.0913,0.1009/0.1021,0.1145/0.0495,,0.10150601584163152,0.10150601584163152,1.1556965209487147,4.20017993464146,[],"[0.09263201371282978, 0.056562898566545596, 0.06252301594037486, 0.10127048833178297, 0.08826162301285219, 0.04375055332370536, 0.1356380282987167, 0.1877509735533703, 0.03855095231531756, 0.10399551669151652, 0.0810761513288264, 0.171589045220314, 0.14667098157725825, 0.18148885839780138, 0.10223330112002038, 0.08019170652160028, 0.08297724820971203, 0.10832116674369377, 0.09134601891138731, 0.10205727532886615, 0.04949319310767459]","[0.19697132926640848, 0.16779108461865788, 0.15319147789788104, 0.1946828444014398, 0.17244464176190666, 0.1420587866781102, 0.25109474894526485, 0.26665152886371746, 0.14925199742721293, 0.18392877577721012, 0.160964211451912, 0.29795771481288535, 0.23759122218222772, 0.2820159126728866, 0.1915930233637208, 0.17155101321972932, 0.20139006372052842, 0.21808338671523608, 0.1939445233343115, 0.2029901949973567, 0.16403145253285556]"
30%,"Wasserstein
 distance",age,-,0.0028/0.0029,0.0022/0.0013,0.0007/0.0022,0.0021/0.0028,0.002/0.0036,0.0023/0.0007,0.0064/0.006,0.0069/0.0167,0.0033/0.0009,0.0039/0.0027,0.0025/0.0015,0.0073/0.007,0.0015/0.0098,0.0027/0.0033,0.0039/0.0031,0.0048/0.001,0.0035/0.0014,0.0053/0.0015,-,0.0032/0.004,0.0014/0.0039,0.0032/0.0011,,0.003392554691004216,0.003392554691004216,0.04217465283881323,0.14962912648214857,[],"[0.0028861899016434157, 0.0012985632587269632, 0.0022374026855584, 0.0028384392053191266, 0.0035988279380973006, 0.0007474979939271263, 0.006001155661187968, 0.016743244604267266, 0.0009147420116095211, 0.0026508888545296212, 0.0015047181021289316, 0.006981854422677911, 0.009819669937691941, 0.00330520417302029, 0.003138627576843858, 0.0009882239276285264, 0.0014451835495654, 0.0014714382356685789, 0.004007687395103174, 0.003915333019780432, 0.001069303840642284]","[0.005702178094868958, 0.0035421280821672898, 0.002888771777221963, 0.004928640175259248, 0.005624466138890564, 0.003087064334076116, 0.012432000437072032, 0.023627102606144555, 0.00423111825791541, 0.006599778366831227, 0.003989581960877769, 0.01431879568649886, 0.011346808476141036, 0.005976180072919595, 0.006992319466248774, 0.005811830642514757, 0.004950301563953658, 0.006725592151920374, 0.0072430353558099216, 0.005359841387611721, 0.004251591447204763]"
30%,"Total variation
 distance",age,-,0.087/0.0494,0.0825/0.0209,0.0649/0.0341,0.0849/0.0813,0.0793/0.0576,0.0838/0.0109,0.0886/0.0768,0.0631/0.1901,0.1037/0.0124,0.0453/0.0509,0.0794/0.0257,0.1047/0.1154,0.0307/0.1092,0.0501/0.122,0.0483/0.0793,0.0656/0.0262,0.1052/0.0245,0.072/0.0399,-,0.0754/0.0545,0.075/0.0861,0.0947/0.0163,,0.10153248559252526,0.10153248559252526,0.7433101869609335,4.15132033961585,[],"[0.049428346228509175, 0.020880900508585497, 0.03413172651556863, 0.08130071933675376, 0.057644747674130546, 0.010915203352946568, 0.07683774885324617, 0.1901468996605477, 0.012362953119953684, 0.05090285024586943, 0.02569722523914102, 0.11543937785531973, 0.1091565363404048, 0.12195461109640097, 0.07929356281635877, 0.026189765344154868, 0.024462066439123863, 0.039908804685501134, 0.054452698731807914, 0.0861015839066313, 0.01634707478586094]","[0.18584577645278724, 0.12429745345557493, 0.1331560833554759, 0.24749056415679294, 0.1945716466288422, 0.10568005926181617, 0.2422749238869214, 0.44335888295363607, 0.1284605893923332, 0.1471478113391259, 0.13076920277847673, 0.3355703288661315, 0.24898328193148617, 0.2939685699422071, 0.20688910952047088, 0.1180008317380068, 0.1541625180955282, 0.15176857794452228, 0.18430307947523633, 0.24718821735184432, 0.12743283108863449]"
30%,"Jensen-Shannon
 divergence",age,-,0.0325/0.025,0.0337/0.0137,0.0265/0.0155,0.0307/0.0318,0.0275/0.0256,0.0313/0.0094,0.0358/0.0334,0.0223/0.0544,0.0362/0.0091,0.0209/0.0243,0.0272/0.0185,0.0362/0.0454,0.0191/0.0396,0.0236/0.049,0.0229/0.0311,0.0258/0.0189,0.0381/0.0177,0.0309/0.0232,-,0.0296/0.0245,0.0304/0.0318,0.0358/0.0106,,0.0342652606487978,0.0342652606487978,0.3103876614169054,1.169173032187654,[],"[0.024959189857273124, 0.01365403323122733, 0.015517578765774519, 0.03176554682524439, 0.02556691206481086, 0.009412356530745158, 0.033425187154742485, 0.05438322284705075, 0.009120309179240253, 0.024284078275528774, 0.0184776137879002, 0.04535983765808947, 0.03959266109557437, 0.04896474315895724, 0.031060678725810597, 0.0188615500071544, 0.017672830193231875, 0.023169063248347735, 0.024542125750756795, 0.031839689400126714, 0.010615593778628052]","[0.05746202568053309, 0.04738066213720691, 0.04205764062494594, 0.06243605864813685, 0.0530625629269684, 0.040738908458575175, 0.06923054424036411, 0.07665764977552346, 0.04533569067178309, 0.0452002330720315, 0.0457143795168529, 0.08151110587804086, 0.058664678167121134, 0.07252113279614263, 0.053987442031797624, 0.044629875341625595, 0.05572311963999143, 0.05404158675771187, 0.05416860085037477, 0.062202509645381904, 0.04644662532654463]"
50%,"Hellinger
 distance",age,-,0.1339/0.1178,0.154/0.0817,0.1475/0.067,0.137/0.1262,0.1412/0.1181,0.1473/0.0531,0.1567/0.1891,0.1097/0.2673,0.1427/0.0747,0.1217/0.1323,0.1289/0.1056,0.1494/0.2238,0.1291/0.1829,0.158/0.237,0.1467/0.1145,0.1324/0.0997,0.1534/0.1262,0.1389/0.1597,-,0.1345/0.1318,0.1438/0.1317,0.1497/0.0811,,0.14636311348670825,0.14636311348670825,1.556890092682938,5.7775856479213985,[],"[0.1178124422579722, 0.08169564186167842, 0.06696210058332118, 0.12624208787694222, 0.11807831723503173, 0.05306831986571381, 0.18907246761136293, 0.2672940887080398, 0.07468643031478142, 0.13225993462169613, 0.10559660807373313, 0.22375686971515835, 0.18289967091346382, 0.23695175132521315, 0.11445027383386583, 0.09967157760778046, 0.12624596247055417, 0.1597284368630156, 0.13178849939324586, 0.13168578124600666, 0.08110669601388303]","[0.25168855955930125, 0.23567963656592467, 0.21451187803232197, 0.2632679418159427, 0.2592515727413102, 0.2003833213975829, 0.3457775156692561, 0.37697138586750256, 0.21734990639995494, 0.2539725912778438, 0.23445332041079792, 0.37314890022187497, 0.3120304983896832, 0.39491221912737595, 0.26115808348561287, 0.2320649340781436, 0.27964265137696076, 0.298641376013248, 0.2663354724074729, 0.2754905785736647, 0.230853304509622]"
50%,"Wasserstein
 distance",age,-,0.0082/0.0035,0.007/0.0031,0.0052/0.0038,0.0042/0.0042,0.0049/0.0032,0.0044/0.0007,0.0053/0.004,0.0068/0.0223,0.0066/0.0047,0.0059/0.0049,0.0076/0.0019,0.0056/0.0096,0.0031/0.0087,0.0079/0.0052,0.0053/0.003,0.0034/0.0014,0.0093/0.0066,0.0049/0.006,-,0.0033/0.0038,0.0077/0.0045,0.0063/0.0028,,0.00863755943721392,0.00863755943721392,0.06262013463610297,0.23074963894064981,[],"[0.0034914104461498106, 0.003070714178305048, 0.003834544287842584, 0.004175909619778227, 0.0031765276374793685, 0.0007481596872205474, 0.0039679651926243, 0.022267479467684884, 0.004700932774873569, 0.0049316858590881, 0.001919870568759621, 0.009598073900564249, 0.008701105111152763, 0.005241371551463427, 0.0029799007437155897, 0.001422678188206879, 0.00659064057642559, 0.006025451648749132, 0.0037505980889838953, 0.00454396873908251, 0.0028261621296279895]","[0.011675292564352405, 0.010076013772615163, 0.009052553682215211, 0.00837682606529017, 0.008111762109559105, 0.005107630519827848, 0.009229163602532162, 0.029064706141293074, 0.011264583857033295, 0.010812107970411058, 0.00954141305752838, 0.015159347666347075, 0.011806866472038269, 0.013097797275648259, 0.008297340338787032, 0.004774452587898664, 0.015889995297185655, 0.010956780132007918, 0.0070730475807034374, 0.0122439686733731, 0.009137989574002558]"
