"Swap 
 Percentage",Measurement,Feature,sex,age,health,Pstatus,nursery,Medu,Fjob,schoolsup,absences,activities,higher,traveltime,paid,guardian,Walc,freetime,famsup,romantic,studytime,goout,reason,famrel,internet,AVG
50%,Hellinger distance,studytime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.36,0.32,0.34,0.28,1.298
50%,Wasserstein distance,studytime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.01,0.01,0.01,0.041
50%,Total variation distance,studytime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.33,0.25,0.31,0.22,1.095
50%,Jensen-Shannon divergence,studytime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.09,0.1,0.08,0.385
50%,Hellinger distance,goout,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0.3,0.24,0.806
50%,Wasserstein distance,goout,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.01,0.01,0.023
50%,Total variation distance,goout,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,0.23,0.17,0.616
50%,Jensen-Shannon divergence,goout,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,0.09,0.07,0.234
50%,Hellinger distance,reason,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29,0.19,0.482
50%,Wasserstein distance,reason,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.01,0.014
50%,Total variation distance,reason,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.26,0.13,0.393
50%,Jensen-Shannon divergence,reason,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.05,0.14
50%,Hellinger distance,famrel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.21,0.215
50%,Wasserstein distance,famrel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.007
50%,Total variation distance,famrel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16,0.156
50%,Jensen-Shannon divergence,famrel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,0.063
50%,Hellinger distance,internet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
50%,Wasserstein distance,internet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
50%,Total variation distance,internet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
50%,Jensen-Shannon divergence,internet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
