ID,Feature,Category,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,JS_Div,Casuality,Importance
F_0,age,17-37,0.0006584850936635321,1.205690374808243e-05,0.9844441509711045,0.004730676976445322,0.5014720154652624,0.003740303859865021,0.9850536043063804,0.06816589764372133,0.528506329113924,24.27693670886076
F_0,age,38-90,0.0006584850936635321,1.205690374808243e-05,0.9844441509711045,0.004730676976445322,0.48316205026956766,0.003031931200115434,0.9864689427700992,0.06279399200622483,0.4724177215189873,39.11225316455696
F_1,race,0,0.0032237730814411465,1.298326376209508e-06,0.9998543994557829,0.0,0.2201064785015604,0.006084146878158007,0.9921827502068101,0.09342242000828657,0.47875,27.588819444444443
F_1,race,1,0.0029386688213913262,1.1860048521601189e-06,0.9998669206732144,0.0,0.451311197605391,0.002899842639747953,0.9835060019964128,0.06645799939092062,0.270873417721519,29.04359493670886
F_2,sex,0,0.00047508285687160795,6.188483491426431e-07,0.9998647222761062,0.0,0.3407375803254142,0.0032544517609402425,0.9891496973468487,0.0729634409867513,0.33029487179487177,28.44421794871795
F_2,sex,1,0.00046906914982260025,6.110148257357742e-07,0.999866434652358,0.0,0.46658924066843804,0.0033218463346332125,0.9838349578565112,0.07071730793318433,0.3549620253164557,28.604746835443038
F_3,capital-gain,0-3471,0.0027860664326886738,0.007560452201509847,0.984903372893493,0.03955488019610935,1.19710522361597,0.006980617991700768,0.9882672643662631,0.05389902703582729,1.9940759493670888,29.647683544303796
F_3,capital-gain,3674-99999,0.003346566935534958,0.009141460271941206,0.9817690033622237,0.0461268669243364,0.29117710741826064,0.01218997668814832,0.9968549452608314,0.0755437359949643,2.151140625,74.74534375
F_4,capital-loss,0-1876,0.04160841896670695,0.003345754250444981,0.9867756974696887,0.03236243678214962,1.0996252813352607,0.006674084325257421,0.9882289135927729,0.052826300971522855,1.5203164556962026,31.224886075949367
F_4,capital-loss,1887-4356,0.05354738815005811,0.004259928471741927,0.9833011053577586,0.03974627886690339,0.12976960230500195,0.011447326760698852,0.9985010053600206,0.06225689812314812,1.1306379310344827,64.89305172413793
F_5,hours-per-week,1-40,0.0038885923874028214,2.489982763260154e-05,0.9835850006742953,0.009860585312312896,0.6124558329405456,0.005031600255851003,0.9882312847722633,0.058235368380622335,0.637,27.1190641025641
F_5,hours-per-week,41-99,0.0038885923874028214,2.489982763260154e-05,0.9835850006742953,0.009860585312312896,0.3749923414153467,0.005071817965138413,0.9927456898456205,0.058725122032340545,0.5608717948717948,43.029679487179486
