ID,Features,Swap,Swap_ratio,Distance_measure,Value
F_0,age,0.01,swat_0.01,Hellinger,0.0
F_0,age,0.01,swat_0.01,wasserstein,0.0
F_0,age,0.01,swat_0.01,cramers_v,1.0
F_0,age,0.01,swat_0.01,JS_Divergence,0.0
F_0,age,0.05,swat_0.05,Hellinger,0.00082771450225864
F_0,age,0.05,swat_0.05,wasserstein,3.713220702214e-05
F_0,age,0.05,swat_0.05,cramers_v,1.0
F_0,age,0.05,swat_0.05,JS_Divergence,0.00032200436536781996
F_0,age,0.1,swat_0.1,Hellinger,0.013977569240131864
F_0,age,0.1,swat_0.1,wasserstein,0.0002944702030649807
F_0,age,0.1,swat_0.1,cramers_v,0.9982667297232372
F_0,age,0.1,swat_0.1,JS_Divergence,0.0037058127333396405
F_0,age,0.2,swat_0.2,Hellinger,0.030864170933522554
F_0,age,0.2,swat_0.2,wasserstein,0.0004442951049724102
F_0,age,0.2,swat_0.2,cramers_v,0.9980446738757364
F_0,age,0.2,swat_0.2,JS_Divergence,0.005941317926379365
F_0,age,0.4,swat_0.4,Hellinger,0.08866583036971237
F_0,age,0.4,swat_0.4,wasserstein,0.0006655584617702699
F_0,age,0.4,swat_0.4,cramers_v,0.9860407110565719
F_0,age,0.4,swat_0.4,JS_Divergence,0.01201964609230831
F_0,age,0.6,swat_0.6,Hellinger,0.13510016762645563
F_0,age,0.6,swat_0.6,wasserstein,0.00068188475962092
F_0,age,0.6,swat_0.6,cramers_v,0.9776841886950747
F_0,age,0.6,swat_0.6,JS_Divergence,0.015020282927805089
F_0,age,0.8,swat_0.8,Hellinger,0.20505227417697042
F_0,age,0.8,swat_0.8,wasserstein,0.0008728102273061049
F_0,age,0.8,swat_0.8,cramers_v,0.9651869941209329
F_0,age,0.8,swat_0.8,JS_Divergence,0.019638565749378535
F_0,age,0.95,swat_0.95,Hellinger,0.2319664379612584
F_0,age,0.95,swat_0.95,wasserstein,0.000727034333613875
F_0,age,0.95,swat_0.95,cramers_v,0.9580033906491152
F_0,age,0.95,swat_0.95,JS_Divergence,0.02037866162553147
F_1,race,0.01,swat_0.01,Hellinger,0.0
F_1,race,0.01,swat_0.01,wasserstein,0.0
F_1,race,0.01,swat_0.01,cramers_v,0.8421052631578947
F_1,race,0.01,swat_0.01,JS_Divergence,0.0
F_1,race,0.05,swat_0.05,Hellinger,0.0021347277555060903
F_1,race,0.05,swat_0.05,wasserstein,4.973391741228e-05
F_1,race,0.05,swat_0.05,cramers_v,1.0
