ID,Features,Swap,Swap_ratio,Distance_measure,Value,Normalized
F_1,race,0.1,10%,"Wasserstein
 distance(+)",0.00016419368850754677,0.13197828060831396
F_1,race,0.1,10%,"Contingency
 coefficient(-)",0.6709426996684759,0.491857320263744
F_1,race,0.1,10%,"Total variation
 distance(+)",0.0031254097687169248,0.24206737444759982
F_1,race,0.1,10%,"Jensen–Shannon
 divergence(+)",0.0018521079120162852,0.0762126207420175
F_1,race,0.15,15%,"Hellinger
 distance(+)",0.01668254715161983,0.03853362470078709
F_1,race,0.15,15%,"Wasserstein
 distance(+)",0.0002782635240245445,0.13996389631921516
F_1,race,0.15,15%,"Contingency
 coefficient(-)",0.6987210176372824,0.5044989792739476
F_1,race,0.15,15%,"Total variation
 distance(+)",0.005078585558237335,0.25374407954870093
F_1,race,0.15,15%,"Jensen–Shannon
 divergence(+)",0.0028779323992185945,0.09460109523472653
F_1,race,0.2,20%,"Hellinger
 distance(+)",0.03688120036813859,0.07255387173292277
F_1,race,0.2,20%,"Wasserstein
 distance(+)",0.0004523091859070708,0.17752691269062784
F_1,race,0.2,20%,"Contingency
 coefficient(-)",0.7056419488027491,0.5089359613093137
F_1,race,0.2,20%,"Total variation
 distance(+)",0.008589868746648105,0.31270183823264297
F_1,race,0.2,20%,"Jensen–Shannon
 divergence(+)",0.0059346313767247045,0.1601254383837838
F_1,race,0.4,40%,"Hellinger
 distance(+)",0.05219151670080537,0.06942520324609751
F_1,race,0.4,40%,"Wasserstein
 distance(+)",0.0006588597295852733,0.12677640220513575
F_1,race,0.4,40%,"Contingency
 coefficient(-)",0.7000443927025531,0.5188609064046571
F_1,race,0.4,40%,"Total variation
 distance(+)",0.011642225667914455,0.22047781431805866
F_1,race,0.4,40%,"Jensen–Shannon
 divergence(+)",0.009516627074261085,0.17199836904968052
F_1,race,0.6,60%,"Hellinger
 distance(+)",0.05539180891880189,0.062321915079791575
F_1,race,0.6,60%,"Wasserstein
 distance(+)",0.00051471413325285,0.07455154377216594
F_1,race,0.6,60%,"Contingency
 coefficient(-)",0.7044593225410443,0.5291297902719114
F_1,race,0.6,60%,"Total variation
 distance(+)",0.009793163937778016,0.14309372811787108
F_1,race,0.6,60%,"Jensen–Shannon
 divergence(+)",0.009104347670720431,0.14394702156325073
F_1,race,0.8,80%,"Hellinger
 distance(+)",0.07266233760354959,0.07250628220943302
F_1,race,0.8,80%,"Wasserstein
 distance(+)",0.000763184781630045,0.08586526883671804
F_1,race,0.8,80%,"Contingency
 coefficient(-)",0.6996447016344495,0.5364400694818358
F_1,race,0.8,80%,"Total variation
 distance(+)",0.0156643473980292,0.17710834278804705
F_1,race,0.8,80%,"Jensen–Shannon
 divergence(+)",0.013030239625258025,0.17818234703093852
F_1,race,0.95,95%,"Hellinger
 distance(+)",0.0857726679028049,0.07517219117341181
F_1,race,0.95,95%,"Wasserstein
 distance(+)",0.0009099300368461901,0.08241787791018196
F_1,race,0.95,95%,"Contingency
 coefficient(-)",0.6962076915377212,0.5489927536995741
F_1,race,0.95,95%,"Total variation
 distance(+)",0.021423585080377124,0.18835076282714638
F_1,race,0.95,95%,"Jensen–Shannon
 divergence(+)",0.014914481257191064,0.18021489211003072
F_2,sex,0.1,10%,"Hellinger
 distance(+)",0.006837935391692069,0.019802244693596226
F_2,sex,0.1,10%,"Wasserstein
 distance(+)",0.00013780779799481052,0.19589689662246695
F_2,sex,0.1,10%,"Contingency
 coefficient(-)",0.7071067811865476,0.5028360311043122
F_2,sex,0.1,10%,"Total variation
 distance(+)",0.00248843074985657,0.1987298434801613
F_2,sex,0.1,10%,"Jensen–Shannon
 divergence(+)",0.001235121652926715,0.05460994633436159
F_2,sex,0.15,15%,"Hellinger
 distance(+)",0.027218165376676585,0.06137537968902115
F_2,sex,0.15,15%,"Wasserstein
 distance(+)",0.0004494330284732288,0.26492350300364054
F_2,sex,0.15,15%,"Contingency
 coefficient(-)",0.703441745949906,0.502921607982114
F_2,sex,0.15,15%,"Total variation
 distance(+)",0.0075828504453836956,0.30913237530132104
F_2,sex,0.15,15%,"Jensen–Shannon
 divergence(+)",0.004894631906470678,0.15730998760935172
