"Swap 
 Percentage",Measurement,Feature,chol,restecg,age,cp,exang,trestbps,oldpeak,sex,thal,fbs,thalach,ca,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.01192529990970969,0.01192529990970969,0.01192529990970969,0,[],[],[]
10%,"Wasserstein
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.00142701414438444,0.00142701414438444,0.00142701414438444,0,[],[],[]
10%,"Total variation
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.01696303696303696,0.01696303696303696,0.01696303696303696,0,[],[],[]
10%,"Jensen-Shannon
 divergence",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.006023335037455005,0.006023335037455005,0.006023335037455005,0,[],[],[]
30%,"Hellinger
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.02385059981941938,0.02385059981941938,0.02385059981941938,0,[],[],[]
30%,"Wasserstein
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.00266827503783162,0.00266827503783162,0.00266827503783162,0,[],[],[]
30%,"Total variation
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.032796370296370295,0.032796370296370295,0.032796370296370295,0,[],[],[]
30%,"Jensen-Shannon
 divergence",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.011519852094979466,0.011519852094979466,0.011519852094979466,0,[],[],[]
50%,"Hellinger
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.040715520687097474,0.040715520687097474,0.040715520687097474,0,[],[],[]
50%,"Wasserstein
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.0038486911239320855,0.0038486911239320855,0.0038486911239320855,0,[],[],[]
50%,"Total variation
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.05401723276723276,0.05401723276723276,0.05401723276723276,0,[],[],[]
50%,"Jensen-Shannon
 divergence",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.020229340067501374,0.020229340067501374,0.020229340067501374,0,[],[],[]
70%,"Hellinger
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.07710929098145683,0.07710929098145683,0.07710929098145683,0,[],[],[]
70%,"Wasserstein
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.007874753131881886,0.007874753131881886,0.007874753131881886,0,[],[],[]
70%,"Total variation
 distance",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.10465811965811962,0.10465811965811962,0.10465811965811962,0,[],[],[]
70%,"Jensen-Shannon
 divergence",chol,-,-,-,-,-,-,-,-,-,-,-,-,,0.03908858452412521,0.03908858452412521,0.03908858452412521,0,[],[],[]
10%,"Hellinger
 distance",restecg,0.0/0.0061,-,-,-,-,-,0.0/0.0318,-,-,0.0/0.0,-,-,,0.0,0.0,0.018960471152736077,0.037920942305472154,[],"[0.006074503436296774, 0.03184643886917538, 0.0]","[0.006074503436296774, 0.03184643886917538, 0.0]"
10%,"Wasserstein
 distance",restecg,0.0/0.0008,-,-,-,-,-,0.0/0.0032,-,-,0.0/0.0,-,-,,0.0,0.0,0.001959436174617598,0.003918872349235196,[],"[0.0007583166950835219, 0.003160555654151674, 0.0]","[0.0007583166950835219, 0.003160555654151674, 0.0]"
10%,"Total variation
 distance",restecg,0.0/0.0096,-,-,-,-,-,0.0/0.0459,-,-,0.0/0.0,-,-,,0.0,0.0,0.027750570685353287,0.11100228274141315,[],"[0.009555661729574774, 0.0459454796411318, 0.0]","[0.019111323459149548, 0.0918909592822636, 0.0]"
10%,"Jensen-Shannon
 divergence",restecg,0.0/0.0029,-,-,-,-,-,0.0/0.0179,-,-,0.0/0.0,-,-,,0.0,0.0,0.010381522698612606,0.020763045397225212,[],"[0.0028686503925794784, 0.017894395004645732, 0.0]","[0.0028686503925794784, 0.017894395004645732, 0.0]"
30%,"Hellinger
 distance",restecg,0.0/0.0164,-,-,-,-,-,0.0043/0.0722,-,-,0.0/0.0,-,-,,0.0,0.0,0.0443095720666252,0.09291446670539683,[],"[0.01644432944473998, 0.0721748146885104, 0.0]","[0.01644432944473998, 0.07647013726065684, 0.0]"
30%,"Wasserstein
 distance",restecg,0.0/0.002,-,-,-,-,-,0.0004/0.0063,-,-,0.0/0.0,-,-,,0.0,0.0,0.004120430426843248,0.008620019201228256,[],"[0.001990581324594244, 0.006250279529092252, 0.0]","[0.001990581324594244, 0.006629437876634013, 0.0]"
30%,"Total variation
 distance",restecg,0.0/0.0251,-,-,-,-,-,0.0059/0.1,-,-,0.0/0.0,-,-,,0.0,0.0,0.06255121689904297,0.2561054887141843,[],"[0.02511890283629414, 0.0999835309617918, 0.0]","[0.05023780567258828, 0.20586768304159603, 0.0]"
30%,"Jensen-Shannon
 divergence",restecg,0.0/0.008,-,-,-,-,-,0.0021/0.039,-,-,0.0/0.0,-,-,,0.0,0.0,0.023465031787858172,0.04902483423044378,[],"[0.007975157951160123, 0.038954905624556224, 0.0]","[0.007975157951160123, 0.04104967627928365, 0.0]"
50%,"Hellinger
 distance",restecg,0.0043/0.0268,-,-,-,-,-,0.0043/0.0945,-,-,0.0043/0.0043,-,-,,0.0,0.0,0.0628017217517026,0.13848941121984448,[],"[0.02681415545318319, 0.09449396547807556, 0.004295322572146434]","[0.031109478025329627, 0.098789288050222, 0.008590645144292869]"
50%,"Wasserstein
 distance",restecg,0.0034/0.0023,-,-,-,-,-,0.0034/0.0128,-,-,0.0034/0.0005,-,-,,0.0,0.0,0.0077552654475441,0.025747806278715757,[],"[0.002300801790764774, 0.012754739087273313, 0.00045499001705011306]","[0.0057132269186406254, 0.016167164215149164, 0.0038674151449259652]"
50%,"Total variation
 distance",restecg,0.0217/0.0336,-,-,-,-,-,0.0217/0.1601,-,-,0.0217/0.0054,-,-,,0.0,0.0,0.0995559693929259,0.46344126887605147,[],"[0.03361614231179448, 0.16006101386536167, 0.005434782608695648]","[0.08897141505837157, 0.341861158165506, 0.032608695652173905]"
50%,"Jensen-Shannon
 divergence",restecg,0.0046/0.0127,-,-,-,-,-,0.0046/0.0503,-,-,0.0046/0.0023,-,-,,0.0,0.0,0.0326624769463931,0.07911927402789373,[],"[0.012749353479109566, 0.05030532867512396, 0.002270271738552665]","[0.01734746019081208, 0.054903435386826474, 0.006868378450255178]"
70%,"Hellinger
 distance",restecg,0.0043/0.0456,-,-,-,-,-,0.0086/0.1356,-,-,0.0043/0.0043,-,-,,0.004295322572146434,0.004295322572146434,0.09702736222675207,0.202645369597797,[],"[0.04557494451444768, 0.13559381222261715, 0.004295322572146434]","[0.04987026708659411, 0.14418445736691002, 0.008590645144292869]"
70%,"Wasserstein
 distance",restecg,0.0034/0.0044,-,-,-,-,-,0.0038/0.0152,-,-,0.0034/0.0005,-,-,,0.003412425127875852,0.003412425127875852,0.013435723198810397,0.030663029873038403,[],"[0.00437669374355591, 0.015214912381263065, 0.00045499001705011306]","[0.007789118871431761, 0.019006495856680676, 0.0038674151449259652]"
70%,"Total variation
 distance",restecg,0.0217/0.0641,-,-,-,-,-,0.027/0.2377,-,-,0.0217/0.0054,-,-,,0.021739130434782608,0.021739130434782608,0.17536355552659894,0.685010520880086,[],"[0.06414835164835163, 0.23766571592658545, 0.005434782608695648]","[0.15003583373148588, 0.5023659914964261, 0.032608695652173905]"
70%,"Jensen-Shannon
 divergence",restecg,0.0046/0.0228,-,-,-,-,-,0.0067/0.0721,-,-,0.0046/0.0023,-,-,,0.004598106711702513,0.004598106711702513,0.05317994792431412,0.11304860745666542,[],"[0.022766191995822648, 0.07212721869084789, 0.002270271738552665]","[0.027364298707525162, 0.07881593029888509, 0.006868378450255178]"
10%,"Hellinger
 distance",age,0.0049/0.0218,0.0148/0.0,-,0.0148/0.0148,0.0198/0.0148,0.0099/0.0247,0.0148/0.0267,-,0.0/0.0198,0.0148/0.0,0.0049/0.0148,0.0119/0.0416,,0.0148188628739052,0.0148188628739052,0.10433131662901154,0.28974262657929034,[],"[0.02180454182564649, 0.0, 0.0148188628739052, 0.0148188628739052, 0.024698104789842, 0.02674416278361489, 0.019758483831873598, 0.0, 0.0148188628739052, 0.04156302565752009]","[0.02674416278361489, 0.0148188628739052, 0.0296377257478104, 0.0345773467057788, 0.0345773467057788, 0.04156302565752009, 0.019758483831873598, 0.0148188628739052, 0.019758483831873598, 0.05348832556722978]"
10%,"Wasserstein
 distance",age,0.0006/0.0025,0.0018/0.0,-,0.0018/0.0017,0.0022/0.0014,0.0013/0.0025,0.0018/0.0019,-,0.0/0.0019,0.0018/0.0,0.0006/0.0018,0.0013/0.0044,,0.00180777993771779,0.00180777993771779,0.01090830650132264,0.03152715779316525,[],"[0.00252128700991001, 0.0, 0.00173071202639447, 0.00140972784104812, 0.002510708892722505, 0.0019329663606557502, 0.0018870585012947052, 0.0, 0.00180777993771779, 0.00440081255746635]","[0.0031250237633034302, 0.00180777993771779, 0.00353849196411226, 0.003630590820561405, 0.0038279527183081447, 0.00374074629837354, 0.0018870585012947052, 0.00180777993771779, 0.0024115166911112098, 0.0057502171606649746]"
