"Swap 
 Percentage",Measurement,Feature,chol,restecg,age,cp,exang,trestbps,oldpeak,sex,thal,fbs,thalach,ca,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Jensen-Shannon
 divergence",exang,0.0052/0.0056,0.0052/0.0,-,0.0052/0.0082,-,0.004/0.0153,0.0053/0.0162,-,-,0.0052/0.0,-,-,,0.0060251468961750095,0.0060251468961750095,0.028694614366315423,0.07547067061735652,[],"[0.0055982882937154355, 0.0, 0.00824750345710401, 0.015336926607520524, 0.016156216581940854, 0.0]","[0.010792584287528915, 0.00519429599381354, 0.01344179945091755, 0.01938648739630814, 0.021461207494974835, 0.00519429599381354]"
30%,"Hellinger
 distance",exang,0.0169/0.0366,0.0247/0.0049,-,0.0353/0.0584,-,0.0304/0.0513,0.0119/0.0714,-,-,0.0247/0.007,-,-,,0.035299837252948205,0.035299837252948205,0.15017037913343934,0.373587567665982,[],"[0.036623404699551686, 0.0049396209579683995, 0.058427946525198185, 0.051317253150203676, 0.07144717947631903, 0.00698567895174129]","[0.05348832556722978, 0.0296377257478104, 0.09372778377814639, 0.08167746944518348, 0.08337247938602871, 0.03168378374158329]"
30%,"Wasserstein
 distance",exang,0.0022/0.0027,0.0026/0.0005,-,0.0031/0.0069,-,0.0037/0.0049,0.0018/0.0071,-,-,0.0027/0.0007,-,-,,0.0033554503014072297,0.0033554503014072297,0.014733675707705852,0.038954765437247386,[],"[0.0026776185828246103, 0.00046168104671261503, 0.006924938159635491, 0.00488079620798375, 0.007097909743248559, 0.00071350707219222]","[0.004889490506620495, 0.00310362427592762, 0.010007908283473341, 0.008593000045487095, 0.008917352777338725, 0.003443389548400105]"
30%,"Total variation
 distance",exang,0.0273/0.0487,0.0345/0.0056,-,0.0484/0.1013,-,0.0474/0.0719,0.022/0.1012,-,-,0.0352/0.0086,-,-,,0.04830357142857141,0.04830357142857141,0.21696251971068142,0.8895117851919319,[],"[0.04874351343101342, 0.0056249999999999955, 0.10126616439116436, 0.07188561030472794, 0.10122617986588571, 0.00857142857142857]","[0.12476877289377288, 0.04577380952380951, 0.2509152652902652, 0.19118193489517016, 0.2244910502079619, 0.05238095238095236]"
30%,"Jensen-Shannon
 divergence",exang,0.0092/0.0194,0.0129/0.0025,-,0.0182/0.0339,-,0.0156/0.0256,0.0063/0.0357,-,-,0.0132/0.003,-,-,,0.017928252186072996,0.017928252186072996,0.07793304937969331,0.19537192937856862,[],"[0.019391088275325256, 0.002462986708019075, 0.0339006300329986, 0.025585646623822476, 0.03565689779159983, 0.003012344955475375]","[0.02856537411359561, 0.01538600491158685, 0.05209405745016865, 0.04115901943496647, 0.04200091054963467, 0.01616656291861638]"
50%,"Hellinger
 distance",exang,0.0402/0.0387,0.0423/0.0099,-,0.0423/0.0841,-,0.0382/0.0862,0.0119/0.0997,-,-,0.0198/0.0148,-,-,,0.0550583210848218,0.0550583210848218,0.22171795202719097,0.528006936463761,[],"[0.03866946269332458, 0.009879241915936799, 0.08409496993319812, 0.08618071452053593, 0.09967600994783764, 0.0148188628739052]","[0.07890892090424119, 0.05216475812062629, 0.1263804861378876, 0.12437411473767965, 0.11160130985754732, 0.0345773467057788]"
50%,"Wasserstein
 distance",exang,0.0037/0.0028,0.003/0.0011,-,0.0031/0.0093,-,0.0049/0.007,0.0018/0.0096,-,-,0.0024/0.0012,-,-,,0.0040891217039005345,0.0040891217039005345,0.01960131868378595,0.04989894779981825,[],"[0.002832110097662325, 0.00110593596189794, 0.00929974069563779, 0.006993816743827595, 0.009581926988230745, 0.001210863472514445]","[0.00652683584975335, 0.004087154641796745, 0.012418386173085244, 0.011916884053845386, 0.0113656946687113, 0.0035839924126262203]"
50%,"Total variation
 distance",exang,0.0534/0.0484,0.0527/0.0137,-,0.0553/0.143,-,0.0568/0.1275,0.0198/0.1598,-,-,0.0307/0.0154,-,-,,0.07085641074611661,0.07085641074611661,0.32470989896541363,1.284184855177502,[],"[0.04838879870129868, 0.013690476190476187, 0.1429706853603912, 0.12749693321384498, 0.15975153318903318, 0.01540854978354978]","[0.1501926300823359, 0.08011236312706899, 0.3412705554249671, 0.31179130510012865, 0.3393353174603174, 0.06148268398268397]"
50%,"Jensen-Shannon
 divergence",exang,0.0199/0.0198,0.0215/0.0053,-,0.0218/0.0463,-,0.0193/0.0432,0.0062/0.0502,-,-,0.011/0.0069,-,-,,0.027161385001989308,0.027161385001989308,0.11300981010132607,0.27140060212631156,[],"[0.019849931740110204, 0.00529656169021227, 0.04626008717373402, 0.043192527373687985, 0.05016850353225847, 0.0069292386886706]","[0.03973234682855388, 0.02679954878820511, 0.06804019991327728, 0.06252938994574529, 0.05639739062277305, 0.017901726027756994]"
70%,"Hellinger
 distance",exang,0.0592/0.0636,0.0571/0.0049,-,0.0629/0.1136,-,0.0465/0.101,0.0407/0.132,-,-,0.0646/0.0049,-,-,,0.0825249744156061,0.0825249744156061,0.2925690872330037,0.7510188346018458,[],"[0.06361399555415512, 0.0049396209579683995, 0.1136076812577553, 0.10099957739444113, 0.13198772951250667, 0.0049396209579683995]","[0.1227644326265227, 0.06204400003656309, 0.17649918626474104, 0.14750222400992963, 0.17270325019960414, 0.06950574146448527]"
70%,"Wasserstein
 distance",exang,0.0066/0.0067,0.0064/0.0004,-,0.0077/0.0142,-,0.0072/0.0095,0.0058/0.0137,-,-,0.007/0.0007,-,-,,0.008342761329208805,0.008342761329208805,0.03097575875999014,0.0859018412605821,[],"[0.006732095799886516, 0.00039242888970572, 0.01423137207389615, 0.00949629949274851, 0.013700291533133546, 0.00071350707219222]","[0.013310462715964866, 0.006759974785246974, 0.021911711023693596, 0.01667302320825714, 0.019495899220012786, 0.007750770307406741]"
70%,"Total variation
 distance",exang,0.1025/0.0919,0.0912/0.0066,-,0.1101/0.1936,-,0.0871/0.1618,0.077/0.2288,-,-,0.1011/0.0094,-,-,,0.128683871275783,0.128683871275783,0.47469827354018523,1.9530947585910814,[],"[0.091896645021645, 0.0065624999999999946, 0.19364701270951268, 0.1617732961482961, 0.22877435064935062, 0.009374999999999994]","[0.2862570415695415, 0.1043426120448179, 0.4974430185827244, 0.4106596875346874, 0.5345718864468864, 0.11982051241242414]"
70%,"Jensen-Shannon
 divergence",exang,0.032/0.0318,0.0297/0.0023,-,0.0359/0.0619,-,0.0245/0.0498,0.0221/0.0673,-,-,0.0325/0.003,-,-,,0.04161956760920825,0.04161956760920825,0.14964001988891718,0.39278968407571274,[],"[0.03183318788339612, 0.00229445196924724, 0.06188648509858976, 0.049757020429489485, 0.0672519727544754, 0.00301778642421982]","[0.06379628131310651, 0.03197384627736272, 0.0978281597517765, 0.07427686058989094, 0.08937405532027304, 0.03554048082330301]"
10%,"Hellinger
 distance",trestbps,0.0148/0.0239,0.0148/0.0,-,-,-,-,0.0247/0.0296,-,-,0.0198/0.0,-,-,,0.01686492086767809,0.01686492086767809,0.043609083651292985,0.12758263993675578,[],"[0.023850599819419383, 0.0, 0.0296377257478104, 0.0]","[0.03866946269332458, 0.0148188628739052, 0.054335830537652396, 0.019758483831873598]"
10%,"Wasserstein
 distance",trestbps,0.0018/0.0028,0.0012/0.0,-,-,-,-,0.0026/0.0034,-,-,0.0024/0.0,-,-,,0.0015882711607003303,0.0015882711607003303,0.004696865248837143,0.014169834425362082,[],"[0.0028103084926786753, 0.0, 0.0034068796835949504, 0.0]","[0.0045800858384103605, 0.0011829196196871, 0.006005952529900925, 0.002400876437363695]"
10%,"Total variation
 distance",trestbps,0.021/0.0361,0.0157/0.0,-,-,-,-,0.0336/0.0428,-,-,0.0297/0.0,-,-,,0.019652777777777776,0.019652777777777776,0.059100656288156285,0.2578296703296703,[],"[0.03605006105006105, 0.0, 0.042845695970695964, 0.0]","[0.09313186813186812, 0.01572420634920635, 0.1193108974358974, 0.029662698412698408]"
10%,"Jensen-Shannon
 divergence",trestbps,0.0083/0.0119,0.0069/0.0,-,-,-,-,0.0129/0.0161,-,-,0.011/0.0,-,-,,0.00781547463607278,0.00781547463607278,0.021797105852332806,0.06698086107869006,[],"[0.01185624143714863, 0.0, 0.016107020995371417, 0.0]","[0.02010700450029102, 0.0068649344363716554, 0.029012070230111035, 0.010996851911916345]"
30%,"Hellinger
 distance",trestbps,0.0576/0.0267,0.0418/0.0,-,-,-,-,0.0683/0.0571,-,-,0.0592/0.0049,-,-,,0.07239930442868077,0.07239930442868077,0.11679338583876976,0.3156356836169647,[],"[0.02674416278361489, 0.0, 0.05710437907859469, 0.0049396209579683995]","[0.08432460433839045, 0.041809453728508625, 0.12541156751972968, 0.06409005803033599]"
30%,"Wasserstein
 distance",trestbps,0.006/0.003,0.0033/0.0,-,-,-,-,0.0089/0.0066,-,-,0.0055/0.0004,-,-,,0.008493272756169689,0.008493272756169689,0.01346826620370629,0.03365529424594306,[],"[0.003009026471118175, 0.0, 0.006567218624235291, 0.000373741799719735]","[0.00900515596272363, 0.0032641484651852347, 0.015488660491187186, 0.005897329326847006]"
30%,"Total variation
 distance",trestbps,0.0809/0.0374,0.0511/0.0,-,-,-,-,0.1088/0.0883,-,-,0.087/0.0046,-,-,,0.11499875124875122,0.11499875124875122,0.18016525141525136,0.5884950466200465,[],"[0.03744047619047618, 0.0, 0.08830919080919078, 0.00458333333333333]","[0.15575181762681758, 0.05112970362970361, 0.2854218697968697, 0.09619165556665554]"
30%,"Jensen-Shannon
 divergence",trestbps,0.0288/0.0138,0.0205/0.0,-,-,-,-,0.0356/0.0308,-,-,0.0316/0.0022,-,-,,0.038471268639701836,0.038471268639701836,0.06191030023100131,0.16340354919597488,[],"[0.013815864416665246, 0.0, 0.03083370775039789, 0.0022284910155358053]","[0.042608684059990326, 0.0205220584905803, 0.06644285057225247, 0.03382995607315177]"
50%,"Hellinger
 distance",trestbps,0.0861/0.0485,0.0914/0.0,-,-,-,-,0.0874/0.0755,-,-,0.0997/0.0049,-,-,,0.09139923024367996,0.09139923024367996,0.15591304075922724,0.4937084606999919,[],"[0.048548704609261376, 0.0, 0.07553929546386481, 0.0049396209579683995]","[0.1346897325362324, 0.09143891683724488, 0.1629317137265215, 0.10464809759999315]"
50%,"Wasserstein
 distance",trestbps,0.0094/0.004,0.0113/0.0,-,-,-,-,0.0103/0.0091,-,-,0.0083/0.0004,-,-,,0.009606766654546631,0.009606766654546631,0.01635670855483233,0.052846324039557385,[],"[0.003987975499578525, 0.0, 0.009138166501273134, 0.000373741799719735]","[0.013433520201304873, 0.011343873588242594, 0.0193883220026635, 0.00868060824734641]"
50%,"Total variation
 distance",trestbps,0.1232/0.059,0.1556/0.0,-,-,-,-,0.1405/0.1216,-,-,0.1585/0.0052,-,-,,0.14449730824730822,0.14449730824730822,0.23743933150183144,0.949525405150405,[],"[0.05901175213675212, 0.0, 0.12163419913419911, 0.005238095238095234]","[0.24117694805194798, 0.1555982212232212, 0.38379412254412243, 0.1689561133311133]"
50%,"Jensen-Shannon
 divergence",trestbps,0.0439/0.0235,0.0468/0.0,-,-,-,-,0.0442/0.0398,-,-,0.052/0.0022,-,-,,0.04721535505777147,0.04721535505777147,0.08000894930534493,0.25249220582643417,[],"[0.023529782805240766, 0.0, 0.039822719427631555, 0.0022346862622745897]","[0.0674376315594752, 0.04683100966103687, 0.0840122416598092, 0.054211322946112944]"
70%,"Hellinger
 distance",trestbps,0.1088/0.0785,0.0807/0.0049,-,-,-,-,0.0866/0.1569,-,-,0.1044/0.0049,-,-,,0.09945644080050077,0.09945644080050077,0.2221045134939698,0.625777917266669,[],"[0.07853747840999943, 0.0049396209579683995, 0.1568794250610018, 0.0049396209579683995]","[0.18733055313303953, 0.08566494162762435, 0.24346404876996658, 0.1093183737360385]"
70%,"Wasserstein
 distance",trestbps,0.0131/0.0063,0.0104/0.0004,-,-,-,-,0.0105/0.0207,-,-,0.0121/0.0004,-,-,,0.00971493753850718,0.00971493753850718,0.02362960642700937,0.07393669966220538,[],"[0.00634683545129603, 0.000373741799719735, 0.020735018726268876, 0.000373741799719735]","[0.0194804725777687, 0.010743919646587226, 0.03126218460886159, 0.012450122828987865]"
70%,"Total variation
 distance",trestbps,0.1825/0.1097,0.131/0.0057,-,-,-,-,0.1417/0.302,-,-,0.1738/0.0065,-,-,,0.15004537129537127,0.15004537129537127,0.3620103038301567,1.4768464378758495,[],"[0.10971681096681093, 0.005729166666666665, 0.30201329920079917, 0.006470588235294115]","[0.40196789321789317, 0.14242632367632366, 0.745742001054501, 0.18671021992713166]"
70%,"Jensen-Shannon
 divergence",trestbps,0.0551/0.0405,0.0398/0.0022,-,-,-,-,0.0427/0.0832,-,-,0.0538/0.0022,-,-,,0.04830198412269119,0.04830198412269119,0.11234490384927698,0.3195584200910703,[],"[0.040452611304916834, 0.0022384352340383998, 0.08315174273951031, 0.0022430501747060247]","[0.0955982478044687, 0.042050892008903024, 0.1258896825841993, 0.0560195976934993]"
10%,"Hellinger
 distance",oldpeak,0.0267/0.0169,-,-,-,-,-,-,-,-,-,-,-,,0.024698104789842,0.024698104789842,0.03313056522368105,0.043609083651292985,[],[0.01686492086767809],[0.043609083651292985]
10%,"Wasserstein
 distance",oldpeak,0.0036/0.0026,-,-,-,-,-,-,-,-,-,-,-,,0.003915781697350315,0.003915781697350315,0.005238096434402207,0.006234524571741961,[],[0.002644629474103785],[0.006234524571741961]
10%,"Total variation
 distance",oldpeak,0.0418/0.0285,-,-,-,-,-,-,-,-,-,-,-,,0.047912514364720236,0.047912514364720236,0.06215227276808158,0.09880871933793758,[],[0.02847951680672268],[0.09880871933793758]
10%,"Jensen-Shannon
 divergence",oldpeak,0.0138/0.0089,-,-,-,-,-,-,-,-,-,-,-,,0.014316529334393091,0.014316529334393091,0.018744464363918054,0.022624040085144556,[],[0.008855870059049925],[0.022624040085144556]
30%,"Hellinger
 distance",oldpeak,0.0641/0.0416,-,-,-,-,-,-,-,-,-,-,-,,0.06855361651212352,0.06855361651212352,0.08933512934088357,0.10565308368785609,[],[0.04156302565752009],[0.10565308368785609]
30%,"Wasserstein
 distance",oldpeak,0.0099/0.0054,-,-,-,-,-,-,-,-,-,-,-,,0.015635958635498576,0.015635958635498576,0.018318399779975337,0.015291124724237225,[],[0.005364882288953525],[0.015291124724237225]
30%,"Total variation
 distance",oldpeak,0.1137/0.0716,-,-,-,-,-,-,-,-,-,-,-,,0.15075134617704275,0.15075134617704275,0.18656848553278504,0.25701086291159814,[],[0.07163427871148458],[0.25701086291159814]
30%,"Jensen-Shannon
 divergence",oldpeak,0.0356/0.0223,-,-,-,-,-,-,-,-,-,-,-,,0.037319350521652715,0.037319350521652715,0.048468266034380154,0.05788740648051785,[],[0.022297831025454875],[0.05788740648051785]
50%,"Hellinger
 distance",oldpeak,0.0935/0.0452,-,-,-,-,-,-,-,-,-,-,-,,0.09896306934392082,0.09896306934392082,0.12155260892836332,0.13867720471867326,[],[0.04517907916888501],[0.13867720471867326]
50%,"Wasserstein
 distance",oldpeak,0.0103/0.0072,-,-,-,-,-,-,-,-,-,-,-,,0.01539031486073765,0.01539031486073765,0.018989220272043895,0.017513130576401994,[],[0.007197810822612489],[0.017513130576401994]
50%,"Total variation
 distance",oldpeak,0.1442/0.0925,-,-,-,-,-,-,-,-,-,-,-,,0.17652281541987422,0.17652281541987422,0.22277822667528546,0.3292360764235764,[],[0.0925108225108225],[0.3292360764235764]
50%,"Jensen-Shannon
 divergence",oldpeak,0.0449/0.0273,-,-,-,-,-,-,-,-,-,-,-,,0.0505872991626901,0.0505872991626901,0.06422534857204416,0.07221932746802391,[],[0.027276098818708128],[0.07221932746802391]
70%,"Hellinger
 distance",oldpeak,0.124/0.0692,-,-,-,-,-,-,-,-,-,-,-,,0.14006680236789046,0.14006680236789046,0.174668767342078,0.19317413549762588,[],[0.0692039299483751],[0.19317413549762588]
70%,"Wasserstein
 distance",oldpeak,0.0232/0.0126,-,-,-,-,-,-,-,-,-,-,-,,0.030234224367433376,0.030234224367433376,0.03651165260641052,0.03577263208511264,[],[0.012554856477954285],[0.03577263208511264]
70%,"Total variation
 distance",oldpeak,0.2418/0.1449,-,-,-,-,-,-,-,-,-,-,-,,0.3169753285929756,0.3169753285929756,0.3894088009621097,0.5314991503594444,[],[0.14486694473826825],[0.5314991503594444]
70%,"Jensen-Shannon
 divergence",oldpeak,0.0605/0.0392,-,-,-,-,-,-,-,-,-,-,-,,0.07568164699415057,0.07568164699415057,0.09528397913733022,0.09967432392921088,[],[0.039204664286359284],[0.09967432392921088]
10%,"Hellinger
 distance",sex,0.0099/0.0049,0.0049/0.0,0.0148/0.0148,0.0/0.0198,0.0049/0.0148,0.0049/0.0218,0.0/0.0337,-,0.0/0.0296,0.0049/0.0,0.0049/0.007,0.0148/0.0198,,0.0049396209579683995,0.0049396209579683995,0.08806567227300859,0.23046717508366957,[],"[0.0049396209579683995, 0.0, 0.0148188628739052, 0.019758483831873598, 0.0148188628739052, 0.02180454182564649, 0.03372984173535618, 0.0296377257478104, 0.0, 0.00698567895174129, 0.019758483831873598]","[0.014818862873905199, 0.0049396209579683995, 0.0296377257478104, 0.019758483831873598, 0.019758483831873598, 0.02674416278361489, 0.03372984173535618, 0.0296377257478104, 0.0049396209579683995, 0.01192529990970969, 0.0345773467057788]"
10%,"Wasserstein
 distance",sex,0.001/0.0004,0.0006/0.0,0.0018/0.0016,0.0/0.0022,0.0006/0.0016,0.0006/0.0015,0.0/0.0018,-,0.0/0.0035,0.0006/0.0,0.0006/0.0017,0.0019/0.0024,,0.00060373675339342,0.00060373675339342,0.008974098453895633,0.02449399955806484,[],"[0.00041308304179549503, 0.0, 0.0016057356018393549, 0.00217656682721397, 0.00158704851185337, 0.00148670175523129, 0.0018279442680188749, 0.00352711888330647, 0.0, 0.0017441283986921001, 0.0023723961130535003]","[0.0014299028369844102, 0.00060373675339342, 0.00345527835429856, 0.00217656682721397, 0.00219078526524679, 0.00209043850862471, 0.0018279442680188749, 0.00352711888330647, 0.00060373675339342, 0.00234786515208552, 0.00424062595549869]"
10%,"Total variation
 distance",sex,0.0122/0.005,0.0071/0.0,0.0221/0.0193,0.0/0.0257,0.0071/0.025,0.0073/0.022,0.0/0.0314,-,0.0/0.0475,0.0071/0.0,0.0071/0.0229,0.0276/0.0347,,0.00714285714285714,0.00714285714285714,0.12393941128316123,0.5649252136752134,[],"[0.004999999999999995, 0.0, 0.019305555555555545, 0.025694721944721933, 0.02501335470085469, 0.022014166389166378, 0.031408105783105766, 0.04753968253968253, 0.0, 0.02291666666666666, 0.03470085470085468]","[0.022193362193362178, 0.00714285714285714, 0.060664682539682505, 0.051389443889443866, 0.057169566544566515, 0.05131999944499942, 0.06281621156621153, 0.09507936507936506, 0.00714285714285714, 0.05297619047619046, 0.09703067765567762]"
10%,"Jensen-Shannon
 divergence",sex,0.0051/0.0023,0.0028/0.0,0.0083/0.0077,0.0/0.0104,0.0028/0.0077,0.0028/0.0106,0.0/0.016,-,0.0/0.0162,0.0028/0.0,0.0028/0.0044,0.0084/0.0109,,0.00278962869323791,0.00278962869323791,0.04592885841063999,0.12205754004328634,[],"[0.0023364719681317502, 0.0, 0.00771053288803121, 0.01040092492263946, 0.007686439633504449, 0.010621861981045646, 0.01598684844293698, 0.016249913753882943, 0.0, 0.00438354546726663, 0.0109019203773651]","[0.00746309248645128, 0.00278962869323791, 0.016024646862815836, 0.01040092492263946, 0.010476068326742359, 0.013412736819267615, 0.01598684844293698, 0.016249913753882943, 0.00278962869323791, 0.007173174160504539, 0.019290876881569503]"
30%,"Hellinger
 distance",sex,0.0148/0.0317,0.0099/0.0,0.0247/0.0288,0.0/0.0457,0.0148/0.0296,0.0148/0.0625,0.0099/0.0747,-,0.0/0.0929,0.0099/0.0,0.0148/0.0395,0.0198/0.0641,,0.009879241915936799,0.009879241915936799,0.244612256625857,0.6028357952849872,[],"[0.03168378374158329, 0.0, 0.02879022077738778, 0.04565514164506587, 0.0296377257478104, 0.06252006251274396, 0.07469179049344218, 0.09288027880772376, 0.0, 0.039516967663747196, 0.06409005803033599]","[0.04650264661548849, 0.009879241915936799, 0.05348832556722978, 0.04565514164506587, 0.0444565886217156, 0.07733892538664916, 0.08457103240937898, 0.09288027880772376, 0.009879241915936799, 0.054335830537652396, 0.08384854186220958]"
30%,"Wasserstein
 distance",sex,0.0014/0.0055,0.001/0.0,0.0026/0.0035,0.0/0.0035,0.0014/0.0032,0.0019/0.0057,0.001/0.0053,-,0.0/0.0116,0.001/0.0,0.0014/0.0055,0.0025/0.0072,,0.0010168197951889151,0.0010168197951889151,0.02651249172859968,0.06527408860271727,[],"[0.005503960926021385, 0.0, 0.003531787092284665, 0.0035380890373468256, 0.003178565675659905, 0.005699562445725966, 0.005255615771899825, 0.011575645664536616, 0.0, 0.005521170775692265, 0.007186946477654066]","[0.006933863763005795, 0.0010168197951889151, 0.0061681546862591, 0.0035380890373468256, 0.00458781436055454, 0.007588446440260931, 0.00627243556708874, 0.011575645664536616, 0.0010168197951889151, 0.0069304194605869, 0.009645580032699996]"
30%,"Total variation
 distance",sex,0.0174/0.0662,0.0124/0.0,0.032/0.042,0.0/0.0601,0.0172/0.0439,0.028/0.1015,0.0126/0.0921,-,0.0/0.1604,0.0124/0.0,0.0174/0.0715,0.0298/0.1019,,0.01235119047619047,0.01235119047619047,0.38216292388167383,1.6583531052281049,[],"[0.06621121933621932, 0.0, 0.042025613275613265, 0.060094905094905074, 0.043880876068376054, 0.1014775502275502, 0.09210067710067707, 0.16043831168831166, 0.0, 0.07148747086247084, 0.10190684315684313]","[0.14982413419913415, 0.01235119047619047, 0.11600739538239535, 0.12018981018981015, 0.10497405372405369, 0.23093129093129086, 0.1968387168387168, 0.3208766233766233, 0.01235119047619047, 0.1603850316350316, 0.23362366799866796]"
30%,"Jensen-Shannon
 divergence",sex,0.0075/0.0186,0.0051/0.0,0.0129/0.0148,0.0/0.0236,0.0074/0.0154,0.0084/0.0353,0.0051/0.0381,-,0.0/0.0496,0.0051/0.0,0.0074/0.0229,0.0109/0.0327,,0.005128182741573685,0.005128182741573685,0.1305660854275236,0.3207586830750314,[],"[0.01855505009608408, 0.0, 0.01478657295715773, 0.023572433277469128, 0.015351046160191381, 0.03530079567013708, 0.03808140913786033, 0.049643882123907926, 0.0, 0.022859840499689175, 0.032724775449403005]","[0.026020224662739386, 0.005128182741573685, 0.027668567458570985, 0.023572433277469128, 0.02276061953235936, 0.04374691559208291, 0.04321220446359906, 0.049643882123907926, 0.005128182741573685, 0.030271104330080574, 0.043606366151074744]"
50%,"Hellinger
 distance",sex,0.0234/0.0481,0.0184/0.0049,0.0353/0.0472,0.0148/0.0797,0.0283/0.0501,0.0333/0.1177,0.0148/0.1246,-,0.0/0.1249,0.0184/0.0,0.0135/0.0605,0.0395/0.126,,0.023374537343238515,0.023374537343238515,0.41521996381174037,1.023452986702972,[],"[0.04807264213308051, 0.0049396209579683995, 0.047225137162657894, 0.07967109804497549, 0.0501187001268534, 0.11769979724530108, 0.12463063188968944, 0.1248826439080476, 0.0, 0.06047400451897107, 0.12597657694945877]","[0.07144717947631903, 0.023374537343238515, 0.0825249744156061, 0.09448996091888069, 0.07843285842806032, 0.15095357650447638, 0.13944949476359464, 0.1248826439080476, 0.018434916385270114, 0.07396929994627278, 0.16549354461320598]"
50%,"Wasserstein
 distance",sex,0.003/0.0059,0.0026/0.0004,0.0038/0.0047,0.0016/0.006,0.0038/0.0047,0.0046/0.0141,0.0016/0.0139,-,0.0/0.0152,0.0026/0.0,0.0022/0.0072,0.006/0.017,,0.003382892881106935,0.003382892881106935,0.04795106554026822,0.12084987616541293,[],"[0.00589327530072944, 0.00041308304179549503, 0.004697025506016125, 0.0060441261575728406, 0.004692219964524831, 0.014135164067468536, 0.013875242936275239, 0.01516200280650773, 0.0, 0.00718546923733897, 0.01703873630009335]","[0.008883739292130651, 0.003011118143490985, 0.008453660186842796, 0.007615808778499516, 0.008467541735337486, 0.018763862947641256, 0.015446925557201915, 0.01516200280650773, 0.00259803510169549, 0.00938910838722495, 0.023058073228840154]"
50%,"Total variation
 distance",sex,0.0343/0.078,0.0292/0.005,0.0519/0.0726,0.0217/0.1154,0.0455/0.0781,0.0589/0.2024,0.0222/0.2138,-,0.0/0.2239,0.0292/0.0,0.0238/0.1007,0.0737/0.2496,,0.040624999999999994,0.040624999999999994,0.7103134967565113,3.068986046633105,[],"[0.07796987734487731, 0.004999999999999995, 0.07256972194472193, 0.11540785603285601, 0.07809804778554777, 0.20237998112998107, 0.21378774003774, 0.22390422077922073, 0.0, 0.10069409756909756, 0.24956545088898027]","[0.1902065295815295, 0.039166666666666655, 0.19700632700632698, 0.25256264568764564, 0.20168220668220666, 0.46362900987900973, 0.44976641414141405, 0.44780844155844146, 0.029166666666666664, 0.22520854145854144, 0.5727825973046561]"
50%,"Jensen-Shannon
 divergence",sex,0.0113/0.0268,0.009/0.0023,0.0181/0.0252,0.0077/0.0421,0.0144/0.0273,0.0177/0.0629,0.0077/0.0638,-,0.0/0.0661,0.009/0.0,0.0067/0.0344,0.0213/0.0665,,0.012158090928636489,0.012158090928636489,0.2208499320691503,0.5403208755870303,[],"[0.026841834205682417, 0.002336471968131885, 0.025196452321925474, 0.04208237613849443, 0.027339115284659838, 0.0628862369526092, 0.06382816446462829, 0.06606187395057801, 0.0, 0.03435967437199532, 0.06645148262232278]","[0.03812699761294526, 0.011338267556913216, 0.04328578116379814, 0.049810349565705764, 0.041778596843890625, 0.080580641583729, 0.07156031269925889, 0.06606187395057801, 0.009001795588781331, 0.04107159746864769, 0.08770466155278234]"
70%,"Hellinger
 distance",sex,0.0254/0.0501,0.0304/0.0049,0.0423/0.0641,0.0169/0.1115,0.0324/0.0571,0.0353/0.1169,0.0148/0.1519,-,0.0049/0.1377,0.0254/0.0049,0.0254/0.0859,0.0445/0.1608,,0.030360216294979803,0.030360216294979803,0.5033549947565843,1.2436831802968806,[],"[0.0501187001268534, 0.0049396209579683995, 0.06409005803033599, 0.11150621599569502, 0.05710437907859469, 0.11690512958721386, 0.15192971502201216, 0.13774439574172814, 0.0049396209579683995, 0.08589459985598248, 0.1608171215688565]","[0.0755392954638648, 0.035299837252948205, 0.10637557423502549, 0.12837113686337312, 0.08951065336734738, 0.15220496684016205, 0.16674857789591735, 0.14268401669969655, 0.0303602162949798, 0.11131519519299388, 0.2052737101905721]"
70%,"Wasserstein
 distance",sex,0.0025/0.0041,0.0033/0.0004,0.0046/0.009,0.0012/0.0107,0.0038/0.006,0.0047/0.0149,0.0011/0.0187,-,0.0004/0.0156,0.0025/0.0006,0.0034/0.01,0.006/0.0236,,0.003296833914066205,0.003296833914066205,0.060004779912055696,0.14683453784336964,[],"[0.00408354606865996, 0.00041308304179549503, 0.00898484834263328, 0.010659302856365984, 0.00602028457541857, 0.01485961859184674, 0.018663711287416403, 0.015591819856141845, 0.00060373675339342, 0.00996707158330976, 0.023568869038997527]","[0.0065955222033147205, 0.0037099169558617, 0.01360690838820571, 0.011817902435497164, 0.009774952194141455, 0.019573556829850278, 0.019777560203686397, 0.01600490289793734, 0.0031157128880481798, 0.0133239008915415, 0.029533701955285194]"
