Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak,,Measurement&Feature&thalach&thal&sex&trestbps&restecg&age&exang&ca&fbs&chol&cp&oldpeak\\
0.5,Jensen–Shannon divergence,sex,0.047,0.073,1,0.05,0.028,0.025,0.031,0.078,0.023,0.039,0.082,0.064,,Jensen–Shannon divergence&sex&0.047&0.073&1&0.05&0.028&0.025&0.031&0.078&0.023&0.039&0.082&0.064\\
0.5,Jensen–Shannon divergence,trestbps,0.071,0.085,0.051,1,0.051,0.067,0.065,0.079,0.044,0.064,0.08,0.071,,Jensen–Shannon divergence&trestbps&0.071&0.085&0.051&1&0.051&0.067&0.065&0.079&0.044&0.064&0.08&0.071\\
0.5,Jensen–Shannon divergence,restecg,0.049,0.07,0.023,0.055,1,0.028,0.024,0.071,0.013,0.025,0.075,0.068,,Jensen–Shannon divergence&restecg&0.049&0.07&0.023&0.055&1&0.028&0.024&0.071&0.013&0.025&0.075&0.068\\
0.5,Jensen–Shannon divergence,age,0.049,0.076,0.025,0.064,0.026,1,0.029,0.082,0.015,0.043,0.072,0.065,,Jensen–Shannon divergence&age&0.049&0.076&0.025&0.064&0.026&1&0.029&0.082&0.015&0.043&0.072&0.065\\
0.5,Jensen–Shannon divergence,exang,0.046,0.077,0.033,0.058,0.022,0.032,1,0.07,0.015,0.038,0.072,0.07,,Jensen–Shannon divergence&exang&0.046&0.077&0.033&0.058&0.022&0.032&1&0.07&0.015&0.038&0.072&0.07\\
0.5,Jensen–Shannon divergence,ca,0.081,0.088,0.077,0.082,0.071,0.083,0.077,1,0.074,0.074,0.098,0.079,,Jensen–Shannon divergence&ca&0.081&0.088&0.077&0.082&0.071&0.083&0.077&1&0.074&0.074&0.098&0.079\\
0.5,Jensen–Shannon divergence,fbs,0.04,0.073,0.017,0.044,0.011,0.026,0.024,0.073,1,0.035,0.073,0.059,,Jensen–Shannon divergence&fbs&0.04&0.073&0.017&0.044&0.011&0.026&0.024&0.073&1&0.035&0.073&0.059\\
0.5,Jensen–Shannon divergence,chol,0.06,0.079,0.048,0.063,0.041,0.042,0.045,0.072,0.043,1,0.071,0.07,,Jensen–Shannon divergence&chol&0.06&0.079&0.048&0.063&0.041&0.042&0.045&0.072&0.043&1&0.071&0.07\\
0.5,Jensen–Shannon divergence,cp,0.086,0.095,0.08,0.085,0.075,0.073,0.073,0.097,0.075,0.073,1,0.087,,Jensen–Shannon divergence&cp&0.086&0.095&0.08&0.085&0.075&0.073&0.073&0.097&0.075&0.073&1&0.087\\
0.5,Jensen–Shannon divergence,oldpeak,0.063,0.088,0.062,0.08,0.065,0.064,0.068,0.084,0.055,0.067,0.087,1,,Jensen–Shannon divergence&oldpeak&0.063&0.088&0.062&0.08&0.065&0.064&0.068&0.084&0.055&0.067&0.087&1\\
