Features,Swap,Swap_ratio,Combined_scores,Scores,Std,Protected,NonProtected
age,0.1,10%,"Combined
 scores(+)",-1.094656623352993e-06,5.473283116764964e-07,1.0,0.0
age,0.3,30%,"Combined
 scores(+)",-3.1835419080768374e-06,1.5917709540384187e-06,1.0,0.0
age,0.5,50%,"Combined
 scores(+)",-1.793398416258892e-05,8.96699208129446e-06,1.0,0.0
age,0.7,70%,"Combined
 scores(+)",-8.843767176962659e-05,4.421883588481329e-05,1.0,0.0
sex,0.1,10%,"Combined
 scores(+)",6.724608110203893e-07,3.3623040551019465e-07,0.0,1.0
sex,0.3,30%,"Combined
 scores(+)",7.749363154027669e-06,3.8746815770138345e-06,0.0,1.0
sex,0.5,50%,"Combined
 scores(+)",3.276515814262669e-05,1.6382579071313344e-05,0.0,1.0
sex,0.7,70%,"Combined
 scores(+)",0.0001507780918430636,7.53890459215318e-05,0.0,1.0
ca,0.1,10%,"Combined
 scores(+)",-4.058647077526978e-07,2.029323538763489e-07,>=2.0,<=1.0
ca,0.3,30%,"Combined
 scores(+)",0.0006427125767370714,0.0003213562883685357,>=2.0,<=1.0
ca,0.5,50%,"Combined
 scores(+)",0.004184804712542145,0.0020924023562710727,>=2.0,<=1.0
ca,0.7,70%,"Combined
 scores(+)",0.018650612728583458,0.009325306364291729,>=2.0,<=1.0
thal,0.1,10%,"Combined
 scores(+)",-0.0011471187834885756,0.0005735593917442879,6.0,3.0
thal,0.3,30%,"Combined
 scores(+)",-0.02545939521237034,0.01272969760618517,6.0,3.0
thal,0.5,50%,"Combined
 scores(+)",-0.018225132526354063,0.00911256626317703,6.0,3.0
thal,0.7,70%,"Combined
 scores(+)",0.038840925388851914,0.019420462694425957,6.0,3.0
cp,0.1,10%,"Combined
 scores(+)",0.00019676053947934315,9.838026973967159e-05,4.0,<=3.0
cp,0.3,30%,"Combined
 scores(+)",0.003538613055711991,0.0017693065278559952,4.0,<=3.0
cp,0.5,50%,"Combined
 scores(+)",-0.0023757434214620923,0.0011878717107310461,4.0,<=3.0
cp,0.7,70%,"Combined
 scores(+)",-0.0014356639504121,0.00071783197520605,4.0,<=3.0
fbs,0.1,10%,"Combined
 scores(+)",0.0,0.0,1.0,0.0
fbs,0.3,30%,"Combined
 scores(+)",0.0,0.0,1.0,0.0
fbs,0.5,50%,"Combined
 scores(+)",0.0,0.0,1.0,0.0
fbs,0.7,70%,"Combined
 scores(+)",0.0,0.0,1.0,0.0
restecg,0.1,10%,"Combined
 scores(+)",0.0,0.0,1.0,0.0
restecg,0.3,30%,"Combined
 scores(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Combined
 scores(+)",1.5721215381203138e-06,7.860607690601569e-07,1.0,0.0
restecg,0.7,70%,"Combined
 scores(+)",1.5721215381203138e-06,7.860607690601569e-07,1.0,0.0
exang,0.1,10%,"Combined
 scores(+)",0.0,0.0,1.0,0.0
exang,0.3,30%,"Combined
 scores(+)",1.1535073569368326e-05,5.767536784684163e-06,1.0,0.0
exang,0.5,50%,"Combined
 scores(+)",-1.032617157245352e-05,5.16308578622676e-06,1.0,0.0
exang,0.7,70%,"Combined
 scores(+)",0.0005026864594438212,0.00025134322972191056,1.0,0.0
oldpeak,0.1,10%,"Combined
 scores(+)",4.5406341183318196e-05,2.2703170591659098e-05,>=0.9,<=0.8
oldpeak,0.3,30%,"Combined
 scores(+)",-0.00010695029263975716,5.347514631987858e-05,>=0.9,<=0.8
oldpeak,0.5,50%,"Combined
 scores(+)",-0.0033414140787663754,0.0016707070393831877,>=0.9,<=0.8
oldpeak,0.7,70%,"Combined
 scores(+)",0.0009400738958236601,0.00047003694791183004,>=0.9,<=0.8
