Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak
0.5,Combined score,ca,0.0022(0.0029),0.0238(0.0339),0.0017(0.0011),0.0034(0.0033),0.0007(0.0005),0.0021(0.0016),0.0017(0.0016),1,0.0015(0.0014),0.0013(0.0022),0.0217(0.0208),0.0018(0.002)
0.5,Hellinger distance,fbs,0.14586369432844548(0.04634267662665192),0.2722613468916904(0.044735972538133495),0.06393979681227348(0.08731341754643149),0.1601690667069823(0.0973738238455859),0.039516967663747196(0.048398203479121646),0.09349814937295406(0.054497950088650854),0.08721816730258596(0.07782615376004708),0.27361223147109515(0.03555130151791764),1,0.12787959362454696(0.08408727926675558),0.27500725353879735(0.09114007032006216),0.22043023048655724(0.08954427715456048)
0.5,Wasserstein distance,fbs,0.00423025040428538(0.0021265055108551454),0.011138772553003079(0.008499445367885366),0.00211955942688512(0.003101219562198813),0.00315716801661552(0.0025780202834817896),0.00105534548870012(0.0012926050341346374),0.00211955942688512(0.0010599188536205928),0.0015963209072775001(0.00212842787637),0.01321398973246384(0.0055482057644308976),1,0.00317490491558524(0.0026104895304989743),0.01214090734479396(0.008305926740952964),0.0089660024292087(0.007341040860729386)
0.5,Contingency coefficient,fbs,0.6763702584431128(0.020114419275417284),0.5969385537526017(0.04250764236332012),0.6914970964822387(0.025681294821743444),0.6567920034631293(0.042682538128354194),0.7019960732684606(0.006284672524500515),0.6918098434784198(0.01273578225226181),0.6883786548410249(0.02022501427685636),0.5983947603904815(0.030088041282641483),1,0.675724128425708(0.028947557228025316),0.5740808626832614(0.0963017687379866),0.6243935964055242(0.0599060179617016)
0.5,Total variation distance,fbs,0.06628599210495757(0.027837066989396152),0.1880041799598251(0.06600540022435988),0.0324066091954023(0.050026563082089866),0.07932084469871548(0.05981019775270207),0.0140591397849462(0.017283002114785014),0.03414021531860794(0.021243715816383936),0.035209538501577035(0.031975159658512595),0.19902164059213556(0.05319323275833106),1,0.058786566603585486(0.04751400298021814),0.20319698450369947(0.1183126205147409),0.14426542167921474(0.10005118493487188)
0.5,Jensen–Shannon divergence,fbs,0.03957084117703798(0.01255077166826756),0.07264770549773672(0.011949274952225137),0.017347659102126038(0.023697365006229393),0.04370091920586338(0.026576974777247055),0.0107672340107461(0.01318743305821797),0.0255709906956749(0.014964686218250029),0.02388051259961174(0.021367398787733076),0.07287672159669861(0.00866889008065676),1,0.03479910754118936(0.022880900800933468),0.07341230778460547(0.023582272717379834),0.05914568019947704(0.023256168173604413)
0.5,Propensity score,fbs,4.0282(2.4907459444913282),13.163599999999999(4.270591790372851),2.0284(3.2873235678892336),6.045(4.920738034075783),0.6724(0.8235660507815995),2.0284(1.6619344872768),2.373(2.536843708232732),13.1186(3.225351366905628),1,4.034000000000001(3.6207912947310286),14.434999999999999(8.597652167888626),9.757(6.716111762024214)
0.5,Combined score,fbs,0.0(0.0),0.0015(0.0017),0.0(0.0001),0.0001(0.0002),0.0(0.0),0.0(0.0),0.0(0.0),0.0017(0.0016),1,0.0(0.0001),0.0057(0.0079),0.0017(0.0027)
0.5,Hellinger distance,chol,0.21967259579112225(0.023316540806721565),0.29884022681103006(0.022045090302526146),0.17656650554733988(0.044811518633338696),0.23216322871759892(0.02749383382210081),0.15277360086857486(0.045122902105095786),0.15743794618522752(0.10173045070712272),0.16743691761237925(0.05653930745258708),0.2696624797545987(0.03817992726732984),0.16003919993023388(0.060558077378425744),1,0.2659483895015956(0.07347790396927248),0.25544542812357635(0.055382558935865335)
0.5,Wasserstein distance,chol,0.005817702862078019(0.0030939832929564033),0.013763833600526118(0.008333823118043654),0.0047534889238930005(0.0025818309261278014),0.006349809831170521(0.0035675425577438727),0.005808834412593141(0.003057493620623073),0.00633207293220078(0.005683659131741563),0.005276727443500639(0.0028580633821110595),0.00956018854469532(0.01032984418072648),0.00685531145180842(0.006360947555616912),1,0.011112167204548482(0.009559744289222792),0.00581770286207804(0.0026143731816788292)
0.5,Contingency coefficient,chol,0.6394628895971529(0.01592890809238096),0.5762221580540106(0.025466420536213247),0.6628059326074196(0.01953267255988632),0.6302320530753031(0.019331907944369293),0.6741233257209512(0.017586056139974545),0.6588365543337851(0.04592144286124003),0.6644460646498642(0.031773128650798364),0.6021285719536983(0.029712558460863535),0.669708710854315(0.025868981684461608),1,0.5956160979785088(0.06217373873870225),0.604178278068331(0.051347695902710766)
0.5,Total variation distance,chol,0.11820575697939428(0.022683261458800064),0.22242668345253733(0.04528927713848967),0.08527596800678(0.03651967231988951),0.13062128060111927(0.03080833205429231),0.07875586538246131(0.03825544936111928),0.09446246012815074(0.0805946027867414),0.08592786240867441(0.03831777815988286),0.17456821682210996(0.07547320757834922),0.08845704397567578(0.06659422060218027),1,0.185887214216567(0.08754119874011047),0.15132101908103016(0.039543740230343655)
0.5,Jensen–Shannon divergence,chol,0.059683328943426664(0.006377687890803861),0.07935287306395115(0.006253934646275656),0.04803046918007832(0.011966804878742092),0.06305040045606226(0.007131202475930705),0.04120514125117468(0.011985816151136974),0.0422596045763739(0.02716791320968744),0.04534536676277022(0.015561959659179465),0.07200339718185914(0.008345856976374152),0.042699118371814525(0.015272778967228675),1,0.0706542042629701(0.019214902511645517),0.06956961000180686(0.015613502377632697)
0.5,Propensity score,chol,8.407(1.7850466660566606),15.502799999999999(2.3232177168745936),5.7176(2.511573817350388),9.412600000000001(2.209223628336434),4.3788(2.282848256017031),6.0564(5.414730375558879),5.3956(3.616738232164446),12.791(3.6305207890879783),5.0454(3.5125299486267725),1,13.1016(6.1828379762047785),11.7854(4.994701376458857)
